City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,2015-01-28,73.24,,25.84,,5.72,36.52,62.42,146.0,Moderate
Ahmedabad,2015-01-29,83.13,,33.72,,6.93,49.52,59.76,209.0,Poor
Ahmedabad,2015-01-30,79.84,,41.08,,13.85,48.49,97.07,328.0,Very Poor
Ahmedabad,2015-01-31,94.52,,52.61,,24.39,67.39,111.33,514.0,Severe
Ahmedabad,2015-02-01,135.99,,84.57,,43.48,75.23,102.7,782.0,Severe
Ahmedabad,2015-02-02,178.33,,72.8,,54.56,55.04,107.38,914.0,Severe
Ahmedabad,2015-02-03,139.7,,56.73,,30.61,33.79,73.6,660.0,Severe
Ahmedabad,2015-02-04,80.65,,24.0,,2.37,25.73,47.3,294.0,Poor
Ahmedabad,2015-02-05,58.36,,23.31,,2.6,32.66,53.54,149.0,Moderate
Ahmedabad,2015-02-06,79.29,,26.83,,1.16,67.41,59.3,190.0,Moderate
Ahmedabad,2015-02-07,88.7,,37.73,,7.29,80.09,44.76,247.0,Poor
Ahmedabad,2015-02-08,74.28,,33.42,,8.92,54.28,47.42,379.0,Very Poor
Ahmedabad,2015-02-09,113.93,,26.86,,4.32,48.73,39.94,341.0,Very Poor
Ahmedabad,2015-02-10,105.39,,18.75,,1.41,35.91,56.15,256.0,Poor
Ahmedabad,2015-02-11,66.52,,28.24,,6.34,66.58,53.14,388.0,Very Poor
Ahmedabad,2015-02-12,65.04,,44.21,,14.19,65.91,31.88,288.0,Poor
Ahmedabad,2015-02-13,103.36,,57.33,,18.18,80.43,40.11,510.0,Severe
Ahmedabad,2015-02-14,177.33,,77.85,,37.49,99.72,36.47,761.0,Severe
Ahmedabad,2015-02-15,113.25,,44.87,,15.55,69.71,33.78,475.0,Severe
Ahmedabad,2015-02-16,99.7,,47.31,,19.85,73.23,30.57,536.0,Severe
Ahmedabad,2015-02-17,80.61,,35.67,,15.96,54.7,36.2,479.0,Severe
Ahmedabad,2015-02-18,100.79,,41.91,,16.24,43.11,37.43,592.0,Severe
Ahmedabad,2015-02-19,107.99,,40.47,,11.25,84.86,31.94,427.0,Severe
Ahmedabad,2015-02-20,140.29,,68.85,,33.84,101.53,40.98,588.0,Severe
Ahmedabad,2015-02-21,239.96,,106.92,,61.95,84.87,33.55,1141.0,Severe
Ahmedabad,2015-02-22,142.96,,92.32,,45.45,62.96,34.77,669.0,Severe
Ahmedabad,2015-02-23,238.41,,131.32,,77.7,89.07,37.3,1247.0,Severe
Ahmedabad,2015-02-24,118.72,,42.56,,12.56,61.54,38.8,411.0,Severe
Ahmedabad,2015-02-25,52.99,,10.39,,2.23,32.76,67.25,292.0,Poor
Ahmedabad,2015-03-01,61.12,,20.92,,3.58,28.44,30.48,120.0,Moderate
Ahmedabad,2015-03-02,60.78,,27.34,,9.07,29.48,34.75,189.0,Moderate
Ahmedabad,2015-03-03,91.83,,40.76,,12.99,39.71,38.46,408.0,Severe
Ahmedabad,2015-03-04,93.88,,47.01,,18.21,62.75,46.79,383.0,Very Poor
Ahmedabad,2015-03-05,173.01,,90.73,,48.44,78.76,59.39,780.0,Severe
