City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Aizawl,2020-03-11,32.69,47.91,11.93,26.64,0.6,4.53,4.48,54.0,Satisfactory
Aizawl,2020-03-12,31.21,38.66,10.65,25.63,0.56,4.22,2.81,52.0,Satisfactory
Aizawl,2020-03-13,38.39,46.68,10.37,29.16,0.57,4.46,0.18,60.0,Satisfactory
Aizawl,2020-03-14,43.23,50.83,10.48,28.95,0.57,4.53,0.41,62.0,Satisfactory
Aizawl,2020-03-15,33.82,41.03,9.73,28.41,0.48,4.63,0.3,70.0,Satisfactory
Aizawl,2020-03-16,27.14,35.04,8.09,23.98,0.5,4.71,13.02,54.0,Satisfactory
Aizawl,2020-03-17,27.32,35.75,3.41,24.57,0.48,4.84,6.03,40.0,Good
Aizawl,2020-03-18,31.76,41.51,5.24,23.42,0.47,5.04,8.76,51.0,Satisfactory
Aizawl,2020-03-19,43.8,53.59,4.97,23.41,0.48,5.3,9.96,63.0,Satisfactory
Aizawl,2020-03-20,35.48,44.02,4.64,24.85,0.49,5.32,6.43,69.0,Satisfactory
Aizawl,2020-03-21,51.27,60.05,4.62,24.44,0.49,5.63,8.62,70.0,Satisfactory
Aizawl,2020-03-22,33.24,40.33,3.65,18.55,0.37,5.41,5.64,71.0,Satisfactory
Aizawl,2020-03-23,35.34,41.55,3.71,20.24,0.32,5.63,5.73,53.0,Satisfactory
Aizawl,2020-03-24,47.34,56.65,3.66,20.21,0.37,6.17,5.59,66.0,Satisfactory
Aizawl,2020-03-25,53.64,62.86,3.77,25.43,0.44,6.75,6.44,92.0,Satisfactory
Aizawl,2020-03-26,54.9,62.7,3.69,25.48,0.42,6.8,5.87,89.0,Satisfactory
Aizawl,2020-03-27,44.64,53.86,3.59,28.26,0.4,7.34,6.42,82.0,Satisfactory
Aizawl,2020-03-28,51.33,60.03,3.89,29.89,0.44,7.69,8.76,71.0,Satisfactory
Aizawl,2020-03-29,34.54,41.95,3.64,28.47,0.36,7.8,7.99,81.0,Satisfactory
Aizawl,2020-03-30,39.47,48.07,3.79,29.05,0.42,7.67,7.4,60.0,Satisfactory
Aizawl,2020-03-31,27.27,33.9,3.8,30.99,0.4,7.9,6.74,51.0,Satisfactory
Aizawl,2020-04-01,38.6,49.19,3.94,32.95,0.45,8.11,6.12,62.0,Satisfactory
Aizawl,2020-04-02,36.22,48.66,3.86,32.94,0.4,8.36,9.24,64.0,Satisfactory
Aizawl,2020-04-03,30.35,39.84,3.75,23.37,0.29,8.25,10.87,54.0,Satisfactory
Aizawl,2020-04-04,24.05,41.95,3.79,21.6,0.26,8.16,11.09,43.0,Good
Aizawl,2020-04-05,26.47,33.51,3.5,26.0,0.31,8.79,5.76,44.0,Good
Aizawl,2020-04-06,35.13,43.65,3.69,25.1,0.31,8.49,7.94,48.0,Good
Aizawl,2020-04-07,33.19,42.17,3.85,22.71,0.3,8.78,13.38,61.0,Satisfactory
Aizawl,2020-04-08,24.92,31.74,3.74,23.73,0.27,8.69,9.67,45.0,Good
Aizawl,2020-04-09,39.15,45.79,4.47,22.95,0.39,7.81,7.66,59.0,Satisfactory
Aizawl,2020-04-10,38.01,45.39,5.7,27.97,0.41,4.52,5.62,64.0,Satisfactory
Aizawl,2020-04-11,30.06,35.53,5.74,30.0,0.37,4.77,6.71,55.0,Satisfactory
Aizawl,2020-04-12,21.7,27.32,5.6,26.24,0.27,4.54,8.47,41.0,Good
Aizawl,2020-04-13,28.33,33.24,8.44,28.53,0.36,5.3,10.16,42.0,Good
Aizawl,2020-04-14,46.26,49.81,14.04,31.28,0.47,5.66,2.97,64.0,Satisfactory
Aizawl,2020-04-15,40.72,48.87,15.65,30.38,0.42,5.71,0.72,76.0,Satisfactory
Aizawl,2020-04-16,22.63,28.06,15.49,23.59,0.28,5.52,0.79,49.0,Good
Aizawl,2020-04-17,15.06,19.85,15.51,14.87,0.22,5.43,2.46,33.0,Good
Aizawl,2020-04-18,19.5,25.12,15.38,17.65,0.25,6.06,1.17,31.0,Good
Aizawl,2020-04-19,10.48,14.73,15.2,19.03,0.22,6.4,1.27,24.0,Good
Aizawl,2020-04-20,11.79,18.9,16.08,19.13,0.25,6.79,8.71,24.0,Good
Aizawl,2020-04-21,9.53,20.94,15.94,16.64,0.27,6.62,7.67,23.0,Good
Aizawl,2020-04-22,8.53,11.26,15.48,15.61,0.24,6.61,1.3,20.0,Good
Aizawl,2020-04-23,10.42,14.56,15.49,16.78,0.26,6.96,1.75,19.0,Good
Aizawl,2020-04-24,5.74,9.67,15.57,12.4,0.21,6.79,1.16,19.0,Good
Aizawl,2020-04-25,3.14,5.83,14.68,17.91,0.18,7.47,0.55,19.0,Good
Aizawl,2020-04-26,1.97,4.06,15.25,12.44,0.18,6.98,1.78,18.0,Good
Aizawl,2020-04-27,5.4,9.88,15.57,17.69,0.25,7.21,0.22,19.0,Good
Aizawl,2020-04-28,3.55,7.84,15.6,17.07,0.26,6.97,,19.0,Good
Aizawl,2020-04-29,3.85,6.78,15.4,15.28,0.21,7.23,,19.0,Good
Aizawl,2020-04-30,4.49,8.9,15.65,14.49,0.24,6.6,1.55,19.0,Good
Aizawl,2020-05-01,7.92,12.97,15.71,18.21,0.3,6.47,1.61,20.0,Good
Aizawl,2020-05-02,8.24,13.13,15.48,16.69,0.28,6.46,0.1,20.0,Good
Aizawl,2020-05-03,5.48,9.88,15.15,14.56,0.19,6.42,0.07,19.0,Good
Aizawl,2020-05-04,6.32,11.92,15.43,15.74,0.23,6.93,0.41,19.0,Good
Aizawl,2020-05-05,10.16,14.63,15.58,18.64,0.27,7.6,0.12,19.0,Good
Aizawl,2020-05-06,6.15,8.99,16.56,15.26,0.24,7.36,2.82,20.0,Good
Aizawl,2020-05-07,3.93,6.85,15.43,19.43,0.27,8.04,0.19,20.0,Good
Aizawl,2020-05-08,13.61,17.4,15.75,22.37,0.32,8.51,2.66,20.0,Good
Aizawl,2020-05-09,13.29,19.14,15.65,27.89,0.37,8.6,0.24,24.0,Good
Aizawl,2020-05-10,16.09,20.04,15.21,32.66,0.31,8.61,0.06,24.0,Good
Aizawl,2020-05-11,25.35,31.71,15.98,29.77,0.39,8.87,7.63,35.0,Good
