City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Amaravati,2017-11-24,71.36,115.75,12.4,12.19,0.1,10.76,109.26,138.0,Moderate
Amaravati,2017-11-25,81.4,124.5,12.08,10.72,0.12,15.24,127.09,184.0,Moderate
Amaravati,2017-11-26,78.32,129.06,14.85,10.28,0.14,26.96,117.44,197.0,Moderate
Amaravati,2017-11-27,88.76,135.32,21.77,12.91,0.11,33.59,111.81,198.0,Moderate
Amaravati,2017-11-28,64.18,104.09,17.01,11.42,0.09,19.0,138.18,188.0,Moderate
Amaravati,2017-11-29,72.47,114.84,16.59,12.25,0.16,10.55,109.74,173.0,Moderate
Amaravati,2017-11-30,69.8,114.86,14.54,10.95,0.12,14.07,118.09,165.0,Moderate
Amaravati,2017-12-01,73.96,113.56,13.97,10.95,0.1,13.9,123.8,191.0,Moderate
Amaravati,2017-12-02,89.9,140.2,19.87,13.12,0.1,19.37,128.73,191.0,Moderate
Amaravati,2017-12-03,87.14,130.52,12.12,14.36,0.15,11.41,114.8,227.0,Poor
Amaravati,2017-12-04,84.64,125.0,17.58,14.41,0.18,9.84,112.41,168.0,Moderate
Amaravati,2017-12-05,88.36,121.77,13.75,13.72,0.12,14.02,117.93,198.0,Moderate
Amaravati,2017-12-06,96.83,139.36,14.99,15.12,0.11,16.54,117.21,201.0,Poor
Amaravati,2017-12-07,117.46,181.64,25.32,17.34,0.13,28.79,94.63,252.0,Poor
Amaravati,2017-12-08,122.88,208.86,33.71,17.96,0.27,22.97,68.6,310.0,Very Poor
Amaravati,2017-12-09,74.28,141.22,28.88,15.73,0.09,21.9,60.62,196.0,Moderate
Amaravati,2017-12-10,50.32,102.77,19.41,12.56,0.1,13.65,68.15,132.0,Moderate
Amaravati,2017-12-11,58.47,115.27,26.15,15.2,0.16,18.37,73.75,147.0,Moderate
Amaravati,2017-12-12,89.35,131.48,28.88,21.24,0.24,7.42,44.67,179.0,Moderate
Amaravati,2017-12-13,64.42,99.74,24.36,17.63,0.15,5.81,50.16,145.0,Moderate
Amaravati,2017-12-14,69.4,98.94,20.67,19.34,0.14,5.8,55.0,115.0,Moderate
