City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Amritsar,2017-02-27,13.42,14.92,,1.6,0.81,11.0,12.96,40.0,Good
Amritsar,2017-02-28,12.45,13.8,,1.73,0.67,16.06,11.88,52.0,Satisfactory
Amritsar,2017-03-01,19.52,21.88,,1.48,0.43,26.24,11.53,31.0,Good
Amritsar,2017-03-02,77.71,80.27,,1.29,0.36,22.35,18.68,106.0,Moderate
Amritsar,2017-03-03,19.7,33.08,,1.15,0.37,14.29,22.22,98.0,Satisfactory
Amritsar,2017-03-04,22.91,56.19,,1.86,0.47,8.42,26.62,61.0,Satisfactory
Amritsar,2017-03-05,29.56,44.5,,1.26,0.39,10.95,27.03,62.0,Satisfactory
Amritsar,2017-03-06,46.13,62.88,,1.99,0.54,30.27,26.3,78.0,Satisfactory
Amritsar,2017-03-07,44.3,52.12,,2.4,0.36,28.74,20.63,72.0,Satisfactory
Amritsar,2017-03-08,41.23,52.75,,2.51,0.39,21.4,22.44,71.0,Satisfactory
Amritsar,2017-03-09,29.88,33.2,,2.31,0.36,4.26,21.11,59.0,Satisfactory
Amritsar,2017-03-10,37.93,43.69,,2.05,0.2,6.38,25.06,73.0,Satisfactory
Amritsar,2017-03-11,32.46,50.76,,6.82,0.0,4.71,18.79,56.0,Satisfactory
Amritsar,2017-03-12,25.65,54.59,,11.73,0.0,8.32,15.64,55.0,Satisfactory
Amritsar,2017-03-13,41.36,77.43,,11.71,0.0,4.75,20.27,69.0,Satisfactory
Amritsar,2017-03-14,51.88,86.64,,11.76,0.0,7.72,30.34,80.0,Satisfactory
Amritsar,2017-03-15,51.59,86.11,,12.33,0.0,9.06,24.63,89.0,Satisfactory
Amritsar,2017-03-16,45.46,82.73,,12.56,0.0,2.94,19.36,79.0,Satisfactory
Amritsar,2017-03-17,152.17,93.68,,12.45,0.0,3.17,21.78,262.0,Poor
Amritsar,2017-03-18,72.87,98.47,,12.03,0.0,3.56,12.86,184.0,Moderate
Amritsar,2017-03-19,73.26,97.64,,11.99,0.0,1.85,11.77,138.0,Moderate
Amritsar,2017-03-20,65.26,95.91,,12.4,0.0,1.31,19.98,138.0,Moderate
Amritsar,2017-03-21,56.39,92.68,,12.67,0.0,2.97,19.83,100.0,Satisfactory
Amritsar,2017-03-22,55.43,88.17,,13.0,0.0,1.91,13.71,89.0,Satisfactory
Amritsar,2017-03-23,40.95,77.09,,12.72,0.0,1.03,21.21,84.0,Satisfactory
Amritsar,2017-03-24,40.99,67.5,,12.41,0.0,0.86,20.82,72.0,Satisfactory
Amritsar,2017-03-25,57.49,80.09,,11.87,0.0,2.29,24.66,90.0,Satisfactory
Amritsar,2017-03-26,45.98,72.74,,12.35,0.0,7.96,24.14,84.0,Satisfactory
Amritsar,2017-03-27,47.2,78.45,,12.16,0.0,3.29,31.95,74.0,Satisfactory
Amritsar,2017-03-28,58.95,83.09,,12.03,0.0,4.97,33.22,96.0,Satisfactory
Amritsar,2017-03-29,39.4,66.81,,12.31,0.0,2.04,33.88,76.0,Satisfactory
Amritsar,2017-03-30,39.47,71.86,,12.66,0.0,3.9,28.11,71.0,Satisfactory
Amritsar,2017-03-31,52.77,72.49,,13.3,0.0,2.11,26.72,91.0,Satisfactory
Amritsar,2017-04-01,16.38,25.27,,12.84,0.0,3.28,23.22,45.0,Good
Amritsar,2017-04-02,20.11,34.76,,12.37,0.0,4.88,25.45,30.0,Good
Amritsar,2017-04-03,42.05,88.9,,10.01,0.0,2.61,21.0,72.0,Satisfactory
Amritsar,2017-04-04,40.64,63.97,,16.51,0.0,2.64,16.77,76.0,Satisfactory
Amritsar,2017-04-05,31.96,59.43,,19.88,0.0,2.96,18.72,60.0,Satisfactory
Amritsar,2017-04-08,33.2,49.73,,29.59,0.0,4.31,22.8,55.0,Satisfactory
Amritsar,2017-04-09,24.29,39.48,,30.36,0.0,5.14,18.12,44.0,Good
Amritsar,2017-04-10,30.05,55.59,,29.24,0.0,3.23,27.2,57.0,Satisfactory
Amritsar,2017-04-11,41.4,62.53,,29.47,0.0,5.88,22.06,66.0,Satisfactory
Amritsar,2017-04-12,33.11,58.18,,28.98,0.0,1.1,15.98,63.0,Satisfactory
Amritsar,2017-04-13,50.72,70.44,,29.37,0.0,7.12,24.73,85.0,Satisfactory
Amritsar,2017-04-14,25.84,28.59,,29.11,0.0,2.6,28.36,61.0,Satisfactory
Amritsar,2017-04-15,24.3,27.21,,29.06,0.0,3.13,31.65,49.0,Good
Amritsar,2017-04-16,33.02,45.93,,28.81,0.0,11.78,31.99,53.0,Satisfactory
Amritsar,2017-04-17,53.08,101.55,,28.7,0.0,7.66,24.0,82.0,Satisfactory
Amritsar,2017-04-18,82.91,116.95,,28.86,0.0,8.74,29.95,170.0,Moderate
Amritsar,2017-04-19,32.08,94.3,,28.73,0.0,12.41,25.46,109.0,Moderate
Amritsar,2017-04-20,27.6,39.29,,28.94,0.0,15.52,19.14,65.0,Satisfactory
Amritsar,2017-04-21,56.22,94.96,,27.97,0.0,7.77,24.91,95.0,Satisfactory
Amritsar,2017-04-24,23.98,,,28.71,0.0,4.86,14.81,40.0,Good
Amritsar,2017-04-25,25.74,,,28.63,0.0,5.49,14.42,42.0,Good
Amritsar,2017-04-26,28.28,,,28.5,0.0,5.78,15.2,46.0,Good
Amritsar,2017-04-27,25.1,,,28.27,0.0,7.31,13.77,43.0,Good
Amritsar,2017-04-28,25.99,,,28.26,0.0,12.18,15.0,43.0,Good
Amritsar,2017-04-29,27.14,,,28.42,0.0,7.85,14.22,45.0,Good
Amritsar,2017-04-30,25.81,,,28.3,0.0,5.27,13.02,43.0,Good
Amritsar,2017-05-01,23.96,,,28.38,0.0,9.33,13.83,41.0,Good
Amritsar,2017-05-02,41.54,124.19,,28.71,0.0,9.99,31.76,97.0,Satisfactory
Amritsar,2017-05-03,52.43,105.5,,30.36,0.0,7.51,13.82,102.0,Moderate
Amritsar,2017-05-04,53.42,91.16,,30.45,0.0,11.67,14.19,100.0,Satisfactory
Amritsar,2017-05-05,194.39,100.51,,30.32,0.0,14.47,16.02,121.0,Moderate
Amritsar,2017-05-06,296.84,138.35,,30.49,0.0,15.32,15.81,117.0,Moderate
Amritsar,2017-05-07,105.49,125.37,,30.52,0.0,18.78,14.66,123.0,Moderate
Amritsar,2017-05-08,868.66,116.29,,30.05,0.0,27.92,15.99,110.0,Moderate
Amritsar,2017-05-09,,156.75,,30.0,0.0,15.77,14.46,122.0,Moderate
