City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Bengaluru,2015-03-20,30.65,,18.68,27.2,4.55,2.76,43.25,132.0,Moderate
Bengaluru,2015-03-21,48.59,,18.04,28.02,3.89,1.94,52.96,91.0,Satisfactory
Bengaluru,2015-03-22,47.38,,15.33,23.19,11.29,2.05,71.85,120.0,Moderate
Bengaluru,2015-03-23,65.65,,17.45,27.76,9.95,6.3,72.84,154.0,Moderate
Bengaluru,2015-03-24,60.47,,20.88,35.1,1.46,6.07,64.12,119.0,Moderate
Bengaluru,2015-03-25,62.56,,16.39,27.13,10.05,4.98,82.34,232.0,Poor
Bengaluru,2015-03-26,60.73,,21.03,34.71,1.44,1.67,67.21,132.0,Moderate
Bengaluru,2015-03-27,42.1,,17.37,30.96,2.85,2.46,51.93,123.0,Moderate
Bengaluru,2015-03-28,40.0,,11.36,28.74,8.07,2.5,44.65,152.0,Moderate
Bengaluru,2015-03-29,32.16,,8.3,21.5,8.53,2.08,56.31,143.0,Moderate
Bengaluru,2015-03-30,30.78,,14.63,26.96,1.46,2.63,49.52,80.0,Satisfactory
Bengaluru,2015-03-31,38.99,,12.7,27.52,1.79,2.79,47.67,90.0,Satisfactory
Bengaluru,2015-04-01,36.42,,9.13,31.37,9.6,3.17,48.25,151.0,Moderate
Bengaluru,2015-04-02,38.15,,9.99,43.09,4.06,7.65,53.26,123.0,Moderate
Bengaluru,2015-04-03,35.11,,6.82,26.04,5.34,2.32,57.75,178.0,Moderate
Bengaluru,2015-04-04,36.68,,10.88,40.71,1.47,3.29,76.36,101.0,Moderate
Bengaluru,2015-04-05,36.92,,7.6,26.22,9.58,4.07,65.62,160.0,Moderate
Bengaluru,2015-04-06,31.78,,8.06,22.34,0.55,7.22,54.31,71.0,Satisfactory
Bengaluru,2015-04-07,37.25,,11.25,17.78,2.3,5.88,60.42,76.0,Satisfactory
Bengaluru,2015-04-08,29.8,,7.52,24.2,6.84,1.84,49.55,153.0,Moderate
Bengaluru,2015-04-09,25.06,,7.2,29.83,5.82,2.6,42.63,80.0,Satisfactory
Bengaluru,2015-04-10,24.4,,8.7,23.17,5.19,2.03,44.47,129.0,Moderate
Bengaluru,2015-04-11,32.08,,8.82,30.95,1.7,3.22,53.91,107.0,Moderate
Bengaluru,2015-04-12,19.72,,5.51,34.85,2.65,5.16,44.53,122.0,Moderate
Bengaluru,2015-04-13,17.03,,9.95,34.3,2.23,2.75,39.03,85.0,Satisfactory
Bengaluru,2015-04-14,19.73,,6.13,27.48,1.4,4.66,57.7,62.0,Satisfactory
Bengaluru,2015-04-15,22.52,,14.02,15.15,5.45,4.9,77.05,177.0,Moderate
Bengaluru,2015-04-16,21.36,,12.69,16.61,0.97,29.11,96.88,152.0,Moderate
Bengaluru,2015-04-17,24.35,,7.42,38.54,12.93,2.58,97.2,210.0,Poor
Bengaluru,2015-04-18,18.33,,6.47,21.02,3.84,3.99,101.63,170.0,Moderate
Bengaluru,2015-04-19,17.66,,5.89,21.93,0.48,2.49,81.34,135.0,Moderate
Bengaluru,2015-04-20,27.46,,7.1,24.78,4.58,5.53,37.22,118.0,Moderate
Bengaluru,2015-04-21,27.94,,9.94,17.34,6.14,4.43,34.74,127.0,Moderate
Bengaluru,2015-04-22,23.81,,13.57,5.42,,26.42,32.79,47.0,Good
Bengaluru,2015-04-23,23.11,,14.07,18.77,3.65,12.35,15.88,44.0,Good
Bengaluru,2015-04-24,15.12,,12.52,35.77,1.13,5.12,109.66,67.0,Satisfactory
Bengaluru,2015-04-25,19.59,,12.28,17.93,3.1,26.92,157.2,44.0,Good
Bengaluru,2015-04-26,69.85,,19.55,15.8,1.22,15.91,123.32,82.0,Satisfactory
Bengaluru,2015-04-27,24.62,,11.71,13.92,1.26,18.89,65.38,156.0,Moderate
Bengaluru,2015-04-28,32.92,,18.7,11.62,2.31,14.79,57.59,96.0,Satisfactory
Bengaluru,2015-04-29,44.53,,22.68,11.4,1.34,8.34,27.11,72.0,Satisfactory
Bengaluru,2015-04-30,26.68,,12.64,10.15,,11.54,51.81,117.0,Moderate
Bengaluru,2015-05-01,39.06,,12.05,6.09,1.59,4.96,26.93,67.0,Satisfactory
Bengaluru,2015-05-02,50.83,,14.93,21.03,4.44,2.99,16.83,217.0,Poor
Bengaluru,2015-05-03,62.58,,10.05,14.62,1.32,7.47,17.81,64.0,Satisfactory
Bengaluru,2015-05-04,45.26,,15.91,18.09,4.17,6.79,21.39,162.0,Moderate
Bengaluru,2015-05-05,40.37,,13.3,5.94,0.0,8.6,36.56,75.0,Satisfactory
Bengaluru,2015-05-06,43.21,,10.79,10.23,28.28,11.77,80.02,141.0,Moderate
Bengaluru,2015-05-07,41.53,,14.16,15.4,0.5,4.67,31.73,70.0,Satisfactory
Bengaluru,2015-05-08,27.85,,11.04,14.93,4.82,7.18,88.24,142.0,Moderate
Bengaluru,2015-05-09,36.83,,13.81,17.12,23.56,6.64,39.61,140.0,Moderate
Bengaluru,2015-05-10,40.81,,14.91,14.21,2.57,3.46,32.11,71.0,Satisfactory
Bengaluru,2015-05-11,36.11,,17.29,15.84,0.3,11.84,14.0,66.0,Satisfactory
Bengaluru,2015-05-12,28.76,,18.34,15.13,,2.96,15.17,56.0,Satisfactory
Bengaluru,2015-05-13,40.74,,20.96,14.66,0.0,2.77,7.96,45.0,Good
Bengaluru,2015-05-14,23.77,,20.16,14.28,1.19,2.83,12.14,61.0,Satisfactory
Bengaluru,2015-05-15,17.34,,14.1,18.55,2.06,3.08,12.14,70.0,Satisfactory
Bengaluru,2015-05-16,30.45,,18.53,24.08,1.19,3.9,8.48,59.0,Satisfactory
Bengaluru,2015-05-17,15.8,,11.25,14.2,12.23,5.8,21.44,125.0,Moderate
Bengaluru,2015-05-18,20.12,,13.5,13.27,12.77,5.83,32.76,106.0,Moderate
Bengaluru,2015-05-19,25.27,,20.24,17.26,1.14,3.92,37.13,84.0,Satisfactory
Bengaluru,2015-05-20,26.7,,16.97,15.5,1.26,4.24,36.42,57.0,Satisfactory
Bengaluru,2015-05-21,27.84,,9.15,13.64,1.21,4.38,25.96,56.0,Satisfactory
Bengaluru,2015-05-22,29.52,,8.93,12.62,10.68,4.89,28.02,140.0,Moderate
Bengaluru,2015-05-23,27.97,,13.42,11.58,17.21,12.38,22.59,156.0,Moderate
Bengaluru,2015-05-24,28.17,,10.15,5.01,9.13,3.98,23.52,156.0,Moderate
Bengaluru,2015-05-25,27.71,,10.4,3.25,4.19,4.81,21.85,111.0,Moderate
Bengaluru,2015-05-26,28.01,,9.33,0.28,4.21,3.92,23.36,158.0,Moderate
Bengaluru,2015-05-27,31.7,,9.27,2.77,4.79,4.02,27.83,93.0,Satisfactory
Bengaluru,2015-05-28,48.08,,23.43,4.91,1.22,0.96,42.06,97.0,Satisfactory
Bengaluru,2015-05-29,30.77,,13.99,4.88,1.4,0.92,31.65,94.0,Satisfactory
Bengaluru,2015-05-30,26.15,,10.67,5.61,4.52,7.13,54.35,147.0,Moderate
Bengaluru,2015-05-31,40.71,,5.01,2.89,2.84,4.24,22.32,100.0,Satisfactory
Bengaluru,2015-06-01,23.69,,7.77,2.34,1.7,6.9,68.17,101.0,Moderate
Bengaluru,2015-06-02,23.95,,3.25,2.31,1.77,7.93,54.65,84.0,Satisfactory
Bengaluru,2015-06-03,21.51,,9.87,2.21,1.52,4.44,46.8,84.0,Satisfactory
Bengaluru,2015-06-04,25.56,,7.52,1.93,1.4,4.47,29.64,74.0,Satisfactory
Bengaluru,2015-06-05,22.41,,19.41,18.87,5.65,5.85,27.39,130.0,Moderate
Bengaluru,2015-06-06,16.02,,36.51,30.36,1.78,11.64,20.75,74.0,Satisfactory
Bengaluru,2015-06-07,12.69,,27.39,28.0,4.45,4.22,19.63,74.0,Satisfactory
Bengaluru,2015-06-08,13.29,,13.65,23.12,3.93,17.45,17.13,162.0,Moderate
Bengaluru,2015-06-09,12.11,,13.22,25.86,1.4,15.06,20.96,55.0,Satisfactory
Bengaluru,2015-06-10,13.66,,11.83,21.15,1.96,6.09,24.49,72.0,Satisfactory
Bengaluru,2015-06-11,14.56,,8.95,20.88,1.54,11.59,15.75,66.0,Satisfactory
Bengaluru,2015-06-12,14.76,,7.08,5.29,1.89,10.35,20.52,81.0,Satisfactory
Bengaluru,2015-06-13,12.29,,4.86,7.02,3.21,15.0,19.08,94.0,Satisfactory
Bengaluru,2015-06-14,11.72,,4.7,7.86,2.36,1.96,20.38,128.0,Moderate
Bengaluru,2015-06-15,15.7,,10.43,8.92,1.56,5.04,34.42,86.0,Satisfactory
Bengaluru,2015-06-16,22.94,,5.6,9.22,3.74,1.58,13.24,136.0,Moderate
Bengaluru,2015-06-17,19.54,,5.01,7.0,2.0,4.12,13.5,67.0,Satisfactory
Bengaluru,2015-06-18,22.68,,9.83,8.31,1.3,1.35,16.42,45.0,Good
Bengaluru,2015-06-19,21.86,,11.85,8.08,1.54,4.34,11.12,70.0,Satisfactory
Bengaluru,2015-06-20,18.74,,9.69,7.31,2.89,1.95,8.62,93.0,Satisfactory
Bengaluru,2015-06-21,18.81,,8.19,6.89,3.84,2.02,10.31,166.0,Moderate
Bengaluru,2015-06-22,15.11,,11.71,27.31,4.29,5.53,10.68,183.0,Moderate
Bengaluru,2015-06-23,17.47,,4.01,10.32,2.08,7.51,10.97,107.0,Moderate
Bengaluru,2015-06-24,15.92,,1.82,8.75,5.48,5.41,21.62,140.0,Moderate
Bengaluru,2015-06-25,13.58,,3.37,7.95,2.83,5.49,11.83,107.0,Moderate
