City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Bhopal,2019-09-17,23.12,43.95,31.4,34.63,1.52,10.53,41.86,76.0,Satisfactory
Bhopal,2019-09-18,21.25,38.2,33.18,44.14,1.38,8.95,24.7,89.0,Satisfactory
Bhopal,2019-09-19,16.94,41.09,23.96,47.43,0.95,8.08,31.66,77.0,Satisfactory
Bhopal,2019-09-20,15.29,43.1,23.56,42.29,0.95,7.52,30.93,76.0,Satisfactory
Bhopal,2019-09-21,20.75,62.7,28.55,46.25,1.41,7.31,27.19,82.0,Satisfactory
Bhopal,2019-09-22,11.21,42.45,23.8,44.52,1.16,5.82,38.87,90.0,Satisfactory
Bhopal,2019-09-23,11.81,44.21,22.72,48.42,1.07,5.34,32.97,82.0,Satisfactory
Bhopal,2019-09-24,17.7,53.29,22.95,40.42,1.18,4.96,38.57,80.0,Satisfactory
Bhopal,2019-09-25,20.41,50.27,24.02,46.34,1.11,7.96,36.42,81.0,Satisfactory
Bhopal,2019-09-26,17.21,31.31,26.86,47.0,1.05,9.32,28.2,77.0,Satisfactory
Bhopal,2019-09-27,12.65,31.54,18.72,50.15,0.84,9.64,29.49,69.0,Satisfactory
Bhopal,2019-09-28,3.4,16.32,14.05,47.07,0.64,6.72,37.28,52.0,Satisfactory
Bhopal,2019-09-29,7.23,27.84,17.41,51.91,0.66,5.91,28.85,49.0,Good
Bhopal,2019-09-30,8.7,36.97,23.21,46.82,0.7,8.9,26.74,56.0,Satisfactory
Bhopal,2019-10-01,6.53,21.31,13.09,42.77,0.71,7.08,43.46,68.0,Satisfactory
Bhopal,2019-10-02,20.86,72.34,23.31,37.95,0.87,7.08,50.24,75.0,Satisfactory
Bhopal,2019-10-03,24.92,106.41,24.6,37.23,0.75,9.36,66.15,97.0,Satisfactory
Bhopal,2019-10-04,28.1,122.06,25.63,36.82,1.04,8.53,65.06,112.0,Moderate
Bhopal,2019-10-05,26.41,99.6,28.3,40.41,1.01,8.38,63.02,117.0,Moderate
Bhopal,2019-10-06,32.5,90.64,26.8,16.79,1.19,9.9,40.2,101.0,Moderate
Bhopal,2019-10-07,39.74,102.93,34.22,17.08,1.45,8.29,40.72,109.0,Moderate
Bhopal,2019-10-08,52.66,130.64,23.13,18.88,1.26,11.29,77.47,143.0,Moderate
Bhopal,2019-10-09,36.92,114.12,20.39,13.56,0.83,12.3,79.94,123.0,Moderate
Bhopal,2019-10-10,42.55,126.36,31.74,15.13,1.05,10.09,66.05,118.0,Moderate
Bhopal,2019-10-11,53.12,155.77,28.64,17.43,0.96,7.99,57.36,141.0,Moderate
Bhopal,2019-10-12,48.92,175.24,44.45,15.28,1.37,10.03,61.57,140.0,Moderate
Bhopal,2019-10-13,55.86,199.68,58.11,19.45,1.47,9.7,63.59,168.0,Moderate
Bhopal,2019-10-14,44.56,159.02,22.29,16.73,0.88,10.87,86.69,159.0,Moderate
Bhopal,2019-10-15,49.07,160.57,33.14,19.9,0.96,10.06,71.97,141.0,Moderate
Bhopal,2019-10-16,53.62,185.45,41.46,19.78,1.03,10.75,69.49,148.0,Moderate
Bhopal,2019-10-17,60.57,168.04,43.92,19.13,1.11,11.46,68.71,155.0,Moderate
Bhopal,2019-10-18,69.65,176.36,41.14,22.23,1.5,8.69,62.63,159.0,Moderate
Bhopal,2019-10-19,70.39,152.01,18.64,19.85,0.99,13.41,59.11,146.0,Moderate
Bhopal,2019-10-20,86.57,141.8,28.36,19.25,1.18,13.41,44.4,144.0,Moderate
Bhopal,2019-10-21,98.98,163.5,28.46,20.61,1.17,8.65,45.51,225.0,Poor
Bhopal,2019-10-22,84.03,176.99,35.47,19.0,1.3,9.64,46.25,209.0,Poor
Bhopal,2019-10-23,49.01,115.92,31.79,16.1,1.09,9.81,51.28,135.0,Moderate
Bhopal,2019-10-24,50.81,153.3,31.54,14.41,1.24,15.89,57.63,116.0,Moderate
Bhopal,2019-10-25,82.8,224.32,40.76,21.55,1.48,11.75,67.26,181.0,Moderate
