City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Brajrajnagar,2017-12-07,171.38,311.68,,7.78,3.26,5.83,4.69,340.0,Very Poor
Brajrajnagar,2017-12-08,126.67,192.81,,7.97,2.94,5.43,10.51,304.0,Very Poor
Brajrajnagar,2017-12-09,105.11,154.39,,8.15,2.83,5.1,10.33,291.0,Poor
Brajrajnagar,2017-12-10,65.25,99.73,,7.9,2.74,4.75,8.37,189.0,Moderate
Brajrajnagar,2017-12-12,144.54,218.14,,8.48,2.72,8.54,30.14,319.0,Very Poor
Brajrajnagar,2017-12-13,153.61,227.43,,8.9,2.78,7.84,16.28,320.0,Very Poor
Brajrajnagar,2017-12-14,129.38,199.46,,9.13,2.76,6.52,7.1,319.0,Very Poor
Brajrajnagar,2017-12-15,115.35,178.56,,8.88,2.7,6.04,7.03,302.0,Very Poor
Brajrajnagar,2017-12-16,102.0,165.18,,8.54,2.58,5.74,7.0,267.0,Poor
Brajrajnagar,2017-12-17,76.19,128.13,,8.03,2.45,5.51,7.53,191.0,Moderate
Brajrajnagar,2017-12-18,72.55,124.51,,7.18,2.5,5.91,7.15,138.0,Moderate
Brajrajnagar,2017-12-19,70.49,118.77,0.06,6.96,2.78,4.29,6.41,155.0,Moderate
Brajrajnagar,2018-02-02,131.83,276.46,56.08,8.92,4.72,12.65,18.97,308.0,Very Poor
Brajrajnagar,2018-02-03,106.75,216.39,50.97,8.84,4.7,11.73,18.93,282.0,Poor
Brajrajnagar,2018-02-04,114.74,223.01,48.11,9.16,4.69,11.49,18.67,285.0,Poor
Brajrajnagar,2018-02-05,129.1,262.29,54.35,9.48,4.64,10.65,12.73,267.0,Poor
Brajrajnagar,2018-02-06,138.58,268.78,47.81,10.17,4.71,10.92,15.47,310.0,Very Poor
Brajrajnagar,2018-02-07,122.68,226.39,48.53,10.63,4.71,10.49,10.78,316.0,Very Poor
Brajrajnagar,2018-02-08,141.36,263.44,49.79,10.27,4.48,11.55,15.09,300.0,Poor
Brajrajnagar,2018-02-09,107.02,206.24,44.01,9.86,4.48,10.8,17.8,307.0,Very Poor
Brajrajnagar,2018-02-10,76.89,148.86,34.03,9.6,4.14,8.26,13.14,179.0,Moderate
Brajrajnagar,2018-02-11,75.71,145.18,33.81,9.13,4.1,9.56,13.63,160.0,Moderate
Brajrajnagar,2018-02-12,64.48,106.39,28.16,9.61,4.01,8.13,12.38,145.0,Moderate
Brajrajnagar,2018-02-13,38.64,84.51,24.37,8.96,3.89,7.21,13.41,125.0,Moderate
Brajrajnagar,2018-02-14,32.99,62.38,26.62,8.42,3.59,9.2,13.92,124.0,Moderate
Brajrajnagar,2018-02-15,74.1,135.13,35.01,8.89,3.62,8.3,13.72,127.0,Moderate
Brajrajnagar,2018-02-16,76.03,158.72,37.8,8.62,3.63,8.64,14.53,133.0,Moderate
Brajrajnagar,2018-02-17,84.71,191.72,46.95,9.2,3.7,7.61,9.66,191.0,Moderate
Brajrajnagar,2018-02-18,109.21,276.97,45.95,8.62,3.81,13.52,13.3,196.0,Moderate
Brajrajnagar,2018-02-19,133.97,296.79,46.29,9.47,3.96,12.02,16.2,303.0,Very Poor
Brajrajnagar,2018-02-20,109.11,228.41,47.19,10.31,3.95,10.01,11.94,302.0,Very Poor
Brajrajnagar,2018-02-21,82.44,182.86,40.92,10.98,3.84,10.91,10.93,214.0,Poor
Brajrajnagar,2018-02-22,88.45,214.45,49.38,10.39,3.86,20.18,15.95,176.0,Moderate
Brajrajnagar,2018-02-23,132.04,277.7,53.14,11.25,4.06,19.71,15.9,265.0,Poor
Brajrajnagar,2018-02-24,111.8,247.37,53.56,11.9,4.09,18.65,18.07,300.0,Poor
Brajrajnagar,2018-02-25,113.7,237.12,50.49,12.22,4.03,16.0,15.44,282.0,Poor
Brajrajnagar,2018-02-26,74.27,154.49,40.33,11.48,3.75,14.98,10.83,184.0,Moderate
Brajrajnagar,2018-02-27,66.41,152.61,48.0,12.9,3.88,15.16,11.3,175.0,Moderate
Brajrajnagar,2018-02-28,79.47,175.17,37.71,12.43,3.86,15.25,10.51,129.0,Moderate
Brajrajnagar,2018-03-01,97.62,216.82,46.95,13.25,4.04,15.44,10.33,194.0,Moderate
Brajrajnagar,2018-03-02,107.49,202.08,35.7,13.3,4.29,17.98,18.73,249.0,Poor
Brajrajnagar,2018-03-03,138.61,270.48,37.73,12.69,4.45,17.19,15.51,298.0,Poor
Brajrajnagar,2018-03-04,138.76,280.15,44.61,11.49,4.34,17.91,18.27,312.0,Very Poor
Brajrajnagar,2018-03-05,105.42,225.99,37.84,11.05,4.2,16.3,12.29,312.0,Very Poor
Brajrajnagar,2018-03-06,107.43,198.72,44.26,10.97,3.97,16.42,13.16,208.0,Poor
Brajrajnagar,2018-03-07,101.91,195.56,39.12,10.54,4.02,16.17,15.68,241.0,Poor
Brajrajnagar,2018-03-08,74.6,138.09,33.16,9.71,3.96,15.13,14.92,238.0,Poor
Brajrajnagar,2018-03-09,101.02,194.6,41.21,9.57,3.9,15.67,15.6,135.0,Moderate
Brajrajnagar,2018-03-10,111.29,226.09,48.81,9.98,4.26,16.68,17.43,301.0,Very Poor
Brajrajnagar,2018-03-11,191.33,318.98,49.48,10.58,4.53,17.73,16.97,316.0,Very Poor
Brajrajnagar,2018-03-12,175.92,332.84,55.81,10.63,4.45,17.75,18.33,355.0,Very Poor
Brajrajnagar,2018-03-13,142.27,252.49,50.91,9.8,4.36,17.18,17.68,325.0,Very Poor
Brajrajnagar,2018-03-14,165.82,294.65,51.19,9.69,4.43,18.57,22.26,325.0,Very Poor
Brajrajnagar,2018-03-15,165.11,294.93,55.0,10.56,4.6,18.19,15.22,341.0,Very Poor
Brajrajnagar,2018-03-16,70.35,98.68,45.66,11.91,4.06,16.1,7.82,245.0,Poor
Brajrajnagar,2018-03-17,84.67,156.42,42.94,11.94,3.93,15.71,14.21,149.0,Moderate
Brajrajnagar,2018-03-18,98.35,205.38,44.13,11.1,4.02,15.03,13.23,217.0,Poor
Brajrajnagar,2018-03-19,84.18,185.76,34.87,9.49,3.91,14.55,16.45,195.0,Moderate
Brajrajnagar,2018-03-20,123.81,273.73,44.82,9.25,4.07,15.87,17.03,237.0,Poor
Brajrajnagar,2018-03-21,142.71,264.81,53.94,10.39,4.44,17.09,9.57,321.0,Very Poor
Brajrajnagar,2018-03-22,81.95,150.97,38.83,10.33,3.99,15.48,15.65,243.0,Poor
Brajrajnagar,2018-03-23,109.51,211.11,50.59,10.07,4.17,15.2,14.9,246.0,Poor
Brajrajnagar,2018-03-24,104.98,206.05,50.16,9.65,4.17,14.84,14.63,247.0,Poor
Brajrajnagar,2018-03-25,112.66,234.69,42.32,9.72,4.14,14.75,16.8,232.0,Poor
Brajrajnagar,2018-03-26,102.38,241.51,45.76,9.11,4.19,15.85,20.36,272.0,Poor
Brajrajnagar,2018-03-27,138.98,296.39,47.54,10.59,4.62,16.99,22.25,296.0,Poor
Brajrajnagar,2018-03-28,190.61,284.15,48.47,11.78,4.49,19.25,23.54,334.0,Very Poor
Brajrajnagar,2018-03-29,170.06,326.35,52.73,11.13,4.61,20.89,16.73,337.0,Very Poor
Brajrajnagar,2018-03-30,152.57,316.75,57.05,11.23,4.77,20.84,16.11,345.0,Very Poor
