City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Chandigarh,2019-09-02,13.62,87.4,12.15,0.78,0.55,10.12,45.86,87.0,Satisfactory
Chandigarh,2019-09-03,27.93,95.68,14.19,0.88,0.79,9.36,30.18,93.0,Satisfactory
Chandigarh,2019-09-04,34.05,90.68,25.86,1.68,0.93,4.27,17.23,96.0,Satisfactory
Chandigarh,2019-09-05,,59.99,16.06,1.11,0.58,14.1,26.81,77.0,Satisfactory
Chandigarh,2019-09-06,,65.86,9.88,1.38,0.9,9.26,9.36,66.0,Satisfactory
Chandigarh,2019-09-07,,91.04,14.09,1.7,0.78,10.48,16.77,84.0,Satisfactory
Chandigarh,2019-09-08,,64.62,4.68,1.53,0.49,8.71,23.08,88.0,Satisfactory
Chandigarh,2019-09-09,,89.94,8.91,1.06,0.67,9.52,40.5,90.0,Satisfactory
Chandigarh,2019-09-10,,97.12,10.41,1.37,0.75,8.71,33.4,88.0,Satisfactory
Chandigarh,2019-09-11,,122.52,11.04,1.34,0.75,8.51,34.62,107.0,Moderate
Chandigarh,2019-09-12,,125.4,11.28,1.53,0.7,6.02,29.28,121.0,Moderate
Chandigarh,2019-09-13,,62.29,10.71,1.09,0.49,7.76,26.61,90.0,Satisfactory
Chandigarh,2019-09-14,,65.68,10.75,1.06,0.6,7.55,24.06,69.0,Satisfactory
Chandigarh,2019-09-15,,72.54,9.98,1.25,0.55,10.1,31.07,68.0,Satisfactory
Chandigarh,2019-09-16,,106.87,8.38,1.08,0.54,9.84,36.46,96.0,Satisfactory
Chandigarh,2019-09-17,,119.42,9.65,1.17,0.64,10.68,41.84,102.0,Moderate
Chandigarh,2019-09-18,,118.59,10.49,1.25,0.66,11.07,44.79,120.0,Moderate
Chandigarh,2019-09-19,38.1,61.67,10.9,1.37,0.65,14.74,26.14,88.0,Satisfactory
Chandigarh,2019-09-20,40.41,67.91,12.79,3.76,0.55,9.97,28.6,71.0,Satisfactory
Chandigarh,2019-09-21,27.21,62.04,10.64,5.9,0.53,9.63,34.72,69.0,Satisfactory
Chandigarh,2019-09-22,29.75,64.56,11.21,5.98,0.55,8.67,21.21,68.0,Satisfactory
Chandigarh,2019-09-23,18.35,49.86,10.1,5.94,0.51,8.83,27.24,59.0,Satisfactory
Chandigarh,2019-09-24,34.43,89.26,10.04,5.87,0.66,8.71,37.1,74.0,Satisfactory
Chandigarh,2019-09-25,33.66,105.3,11.8,5.97,0.73,8.19,21.1,102.0,Moderate
Chandigarh,2019-09-26,22.93,73.73,10.8,6.34,0.79,12.05,17.26,94.0,Satisfactory
Chandigarh,2019-09-27,16.0,57.51,17.25,6.51,0.83,12.05,24.57,80.0,Satisfactory
Chandigarh,2019-09-28,22.41,59.18,17.87,6.57,0.56,13.4,31.23,77.0,Satisfactory
Chandigarh,2019-09-29,13.93,49.87,7.67,6.1,0.5,14.95,16.21,48.0,Good
Chandigarh,2019-09-30,,87.46,19.89,6.79,0.81,18.05,9.66,87.0,Satisfactory
Chandigarh,2019-10-01,24.45,49.4,24.85,7.27,0.85,16.05,12.58,68.0,Satisfactory
Chandigarh,2019-10-02,15.77,44.47,13.63,6.2,0.54,15.9,20.96,58.0,Satisfactory
Chandigarh,2019-10-03,29.59,71.0,12.9,6.24,0.71,16.42,19.05,58.0,Satisfactory
Chandigarh,2019-10-04,30.27,73.77,10.54,5.76,0.46,18.14,16.87,74.0,Satisfactory
Chandigarh,2019-10-05,25.9,77.68,10.27,5.9,0.44,15.09,17.33,72.0,Satisfactory
Chandigarh,2019-10-06,38.69,82.66,10.31,6.01,0.49,14.44,15.07,83.0,Satisfactory
Chandigarh,2019-10-07,53.09,112.6,9.58,5.96,0.51,11.35,17.72,94.0,Satisfactory
Chandigarh,2019-10-08,43.67,104.59,10.57,5.99,0.61,12.42,13.96,106.0,Moderate
Chandigarh,2019-10-09,53.12,120.09,16.77,6.57,0.85,13.54,16.92,108.0,Moderate
Chandigarh,2019-10-10,56.82,121.89,13.7,6.21,0.74,12.52,19.27,117.0,Moderate
Chandigarh,2019-10-11,50.45,106.22,14.27,6.27,0.74,10.38,11.03,107.0,Moderate
Chandigarh,2019-10-12,58.03,106.62,14.67,6.25,0.72,12.45,26.84,107.0,Moderate
Chandigarh,2019-10-13,57.61,112.63,14.77,6.21,0.71,11.66,19.64,98.0,Satisfactory
Chandigarh,2019-10-14,74.8,128.72,14.43,6.31,0.83,13.5,19.87,135.0,Moderate
Chandigarh,2019-10-15,73.44,135.12,16.6,6.47,0.95,12.4,15.35,138.0,Moderate
Chandigarh,2019-10-16,83.96,151.62,17.59,6.62,1.0,10.71,19.99,158.0,Moderate
Chandigarh,2019-10-17,80.65,133.85,17.78,6.95,0.88,10.2,22.35,187.0,Moderate
Chandigarh,2019-10-18,56.2,108.33,12.92,6.42,0.61,10.23,24.06,122.0,Moderate
Chandigarh,2019-10-19,51.84,109.52,14.22,6.49,0.62,11.54,18.3,110.0,Moderate
Chandigarh,2019-10-20,53.9,111.12,11.43,6.04,0.59,11.04,18.54,105.0,Moderate
Chandigarh,2019-10-21,53.79,117.94,11.97,6.14,0.54,10.41,19.03,111.0,Moderate
Chandigarh,2019-10-22,47.72,106.01,10.48,6.15,0.54,9.55,22.98,108.0,Moderate
Chandigarh,2019-10-23,46.9,108.1,17.37,6.75,0.73,10.67,16.13,104.0,Moderate
Chandigarh,2019-10-24,71.66,130.66,21.56,7.01,0.91,9.69,15.62,110.0,Moderate
Chandigarh,2019-10-25,92.3,159.18,17.86,6.61,0.99,10.21,17.21,190.0,Moderate
