City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Chennai,2015-03-23,173.51,,14.48,11.76,1.38,8.86,30.17,341.0,Very Poor
Chennai,2015-03-24,149.04,,12.77,9.68,0.93,14.04,38.67,333.0,Very Poor
Chennai,2015-03-25,205.65,,14.71,13.31,1.32,10.16,39.17,366.0,Very Poor
Chennai,2015-03-26,140.21,,25.73,10.91,1.41,11.94,44.52,318.0,Very Poor
Chennai,2015-03-27,266.29,,20.48,11.51,1.27,25.45,27.64,408.0,Severe
Chennai,2015-03-28,88.65,,20.64,10.97,2.21,11.76,27.68,448.0,Severe
Chennai,2015-03-29,81.34,,19.74,10.35,1.34,5.59,27.69,171.0,Moderate
Chennai,2015-03-30,144.46,,16.36,10.41,1.24,8.05,27.57,319.0,Very Poor
Chennai,2015-03-31,51.69,,16.09,11.41,1.23,6.53,27.62,312.0,Very Poor
Chennai,2015-04-01,103.75,,14.4,10.04,1.33,4.65,27.54,289.0,Poor
Chennai,2015-04-02,106.27,,14.8,11.53,1.08,6.22,27.65,206.0,Poor
Chennai,2015-04-03,42.82,,16.86,10.17,1.21,6.23,27.6,248.0,Poor
Chennai,2015-04-04,187.51,,17.5,10.1,1.23,4.74,27.57,352.0,Very Poor
Chennai,2015-04-05,85.86,,17.04,12.33,1.14,3.96,27.58,302.0,Very Poor
Chennai,2015-04-06,83.19,,15.85,12.35,3.42,5.63,23.22,193.0,Moderate
Chennai,2015-04-07,48.35,,15.86,10.95,7.69,5.73,13.38,151.0,Moderate
Chennai,2015-04-08,73.66,,17.64,10.83,1.1,3.76,24.4,137.0,Moderate
Chennai,2015-04-09,66.72,,15.37,12.76,5.14,4.31,22.29,208.0,Poor
Chennai,2015-04-10,80.79,,17.21,10.7,6.35,5.7,19.22,172.0,Moderate
Chennai,2015-04-11,75.59,,18.36,11.54,1.57,5.16,27.01,149.0,Moderate
Chennai,2015-04-12,75.82,,15.86,11.58,1.13,3.58,27.57,157.0,Moderate
Chennai,2015-04-13,80.23,,13.51,9.86,5.69,5.58,23.1,242.0,Poor
Chennai,2015-04-14,87.48,,17.24,10.79,1.02,6.25,27.62,205.0,Poor
Chennai,2015-04-15,72.65,,13.71,9.6,3.87,4.7,28.02,245.0,Poor
Chennai,2015-04-16,90.72,,13.63,9.91,6.25,1.75,24.24,244.0,Poor
Chennai,2015-04-17,73.28,,20.41,9.81,1.02,4.53,27.79,152.0,Moderate
Chennai,2015-04-18,73.33,,19.72,10.07,0.98,3.82,27.81,152.0,Moderate
Chennai,2015-04-19,71.17,,18.05,10.46,0.92,4.36,27.86,148.0,Moderate
Chennai,2015-04-20,78.58,,19.01,10.33,1.06,5.99,27.82,149.0,Moderate
Chennai,2015-04-21,74.55,,18.13,9.97,1.13,5.08,27.79,158.0,Moderate
Chennai,2015-04-22,73.8,,18.57,10.47,0.92,6.3,27.76,145.0,Moderate
Chennai,2015-04-23,69.28,,18.28,13.36,2.44,4.14,27.59,142.0,Moderate
Chennai,2015-04-24,70.45,,14.56,12.32,5.53,5.1,27.91,180.0,Moderate
Chennai,2015-04-25,60.15,,10.76,11.38,10.28,8.42,,130.0,Moderate
Chennai,2015-04-26,57.57,,6.91,10.85,10.92,1.23,,102.0,Moderate
Chennai,2015-04-27,67.8,,8.07,15.0,12.02,0.91,,113.0,Moderate
Chennai,2015-04-28,70.85,,7.91,13.97,13.1,32.85,,136.0,Moderate
Chennai,2015-04-29,63.16,,9.38,14.0,8.02,9.32,,130.0,Moderate
Chennai,2015-04-30,55.47,,10.16,18.24,4.31,6.67,,115.0,Moderate
Chennai,2015-05-01,51.62,,8.77,16.77,10.29,3.44,,108.0,Moderate
Chennai,2015-05-02,85.26,,9.61,20.97,9.7,2.69,,139.0,Moderate
Chennai,2015-05-03,44.26,,20.42,16.24,6.09,4.29,11.32,140.0,Moderate
Chennai,2015-05-04,28.97,,7.19,16.06,8.1,5.86,11.91,100.0,Satisfactory
Chennai,2015-05-05,35.16,,10.33,14.54,5.16,6.65,17.11,107.0,Moderate
Chennai,2015-05-06,44.1,,12.74,14.63,7.07,11.24,19.53,124.0,Moderate
Chennai,2015-05-07,57.31,,21.64,18.01,1.72,9.54,23.77,130.0,Moderate
Chennai,2015-05-08,54.28,,17.05,23.82,9.48,18.14,31.3,201.0,Poor
Chennai,2015-05-09,60.64,,17.23,32.5,5.22,16.28,28.72,126.0,Moderate
Chennai,2015-05-10,53.69,,37.17,19.91,2.05,9.01,20.45,153.0,Moderate
Chennai,2015-05-11,49.2,,31.25,17.07,2.73,21.84,21.28,176.0,Moderate
Chennai,2015-05-12,82.63,,43.94,18.78,1.8,17.42,22.25,146.0,Moderate
Chennai,2015-05-13,100.77,,21.94,17.5,1.95,10.63,23.81,208.0,Poor
Chennai,2015-05-14,120.24,,24.47,27.53,2.47,10.36,24.4,285.0,Poor
Chennai,2015-05-15,70.64,,18.36,53.13,1.6,10.03,25.08,178.0,Moderate
Chennai,2015-05-16,91.69,,18.4,56.05,2.47,10.54,24.75,209.0,Poor
Chennai,2015-05-17,79.98,,18.38,50.22,3.12,9.98,25.84,201.0,Poor
Chennai,2015-05-18,87.7,,18.2,58.39,2.46,11.85,26.06,196.0,Moderate
Chennai,2015-05-19,83.47,,35.47,55.27,4.75,15.11,26.21,156.0,Moderate
Chennai,2015-05-20,97.96,,18.92,52.02,6.45,16.19,24.28,135.0,Moderate
Chennai,2015-05-21,97.74,,18.82,53.87,2.56,14.97,39.53,197.0,Moderate
Chennai,2015-05-22,85.55,,18.43,51.63,3.13,13.12,40.22,200.0,Moderate
Chennai,2015-05-23,90.87,,19.78,55.21,2.23,10.51,40.41,166.0,Moderate
