City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Coimbatore,2019-06-12,38.46,43.49,10.98,9.32,1.16,10.25,29.8,64.0,Satisfactory
Coimbatore,2019-06-13,21.57,27.05,11.52,8.8,1.14,9.75,25.46,65.0,Satisfactory
Coimbatore,2019-06-14,25.27,32.08,12.21,8.21,1.18,10.92,23.45,66.0,Satisfactory
Coimbatore,2019-06-15,30.04,35.85,13.6,7.35,1.15,10.51,17.24,60.0,Satisfactory
Coimbatore,2019-06-16,24.54,31.41,10.33,6.65,1.11,9.0,22.96,62.0,Satisfactory
Coimbatore,2019-06-17,33.9,46.17,11.01,5.88,1.2,10.29,21.44,64.0,Satisfactory
Coimbatore,2019-06-18,52.45,60.71,11.23,8.29,1.29,13.17,21.6,76.0,Satisfactory
Coimbatore,2019-06-19,41.86,53.51,11.54,7.91,1.23,10.78,26.17,82.0,Satisfactory
Coimbatore,2019-06-20,31.96,40.35,18.53,8.5,1.06,10.19,24.67,68.0,Satisfactory
Coimbatore,2019-06-21,30.91,41.09,22.0,25.32,1.37,16.35,32.98,68.0,Satisfactory
Coimbatore,2019-06-22,25.27,31.0,16.92,17.23,1.13,12.64,24.69,67.0,Satisfactory
Coimbatore,2019-06-23,14.62,21.66,13.37,11.82,0.92,9.3,29.76,58.0,Satisfactory
Coimbatore,2019-06-24,31.72,40.05,17.39,12.78,1.01,10.14,25.1,53.0,Satisfactory
Coimbatore,2019-06-25,45.61,58.71,16.17,16.78,1.07,12.19,23.55,73.0,Satisfactory
Coimbatore,2019-06-26,47.61,60.24,16.77,17.37,1.08,11.53,22.5,75.0,Satisfactory
Coimbatore,2019-06-27,40.11,58.23,15.73,16.98,1.09,12.98,20.05,72.0,Satisfactory
Coimbatore,2019-06-28,40.07,54.75,14.68,16.77,1.09,11.29,22.67,66.0,Satisfactory
Coimbatore,2019-06-29,39.21,54.24,14.62,16.48,1.05,11.11,24.46,68.0,Satisfactory
Coimbatore,2019-06-30,24.28,33.56,11.47,13.2,0.91,9.87,23.45,56.0,Satisfactory
Coimbatore,2019-07-01,25.21,39.66,14.36,13.79,0.89,9.53,21.47,46.0,Good
Coimbatore,2019-07-02,32.92,46.75,18.61,23.1,1.13,12.05,21.03,61.0,Satisfactory
Coimbatore,2019-07-03,32.66,44.95,18.14,17.79,1.14,10.79,16.94,64.0,Satisfactory
Coimbatore,2019-07-04,40.89,49.26,18.79,,1.11,10.44,16.05,64.0,Satisfactory
Coimbatore,2019-07-05,31.52,39.65,17.39,,1.19,10.58,17.62,70.0,Satisfactory
Coimbatore,2019-07-06,34.24,42.61,16.91,,1.29,12.44,18.07,78.0,Satisfactory
Coimbatore,2019-07-07,18.28,24.06,13.25,,1.02,9.08,17.73,64.0,Satisfactory
Coimbatore,2019-07-08,20.57,30.17,16.33,28.83,1.08,9.95,18.84,57.0,Satisfactory
Coimbatore,2019-07-09,22.24,30.83,28.67,33.46,1.1,9.17,15.45,60.0,Satisfactory
Coimbatore,2019-07-10,32.66,42.31,26.86,32.64,1.12,10.15,20.99,60.0,Satisfactory
Coimbatore,2019-07-11,38.05,50.06,29.73,31.08,1.16,9.78,21.53,62.0,Satisfactory
Coimbatore,2019-07-12,43.69,57.64,30.02,30.6,1.21,9.97,15.25,70.0,Satisfactory
Coimbatore,2019-07-13,33.18,43.18,28.28,28.84,1.2,9.32,17.25,68.0,Satisfactory
Coimbatore,2019-07-14,20.3,28.53,26.39,26.22,1.08,8.76,16.49,58.0,Satisfactory
Coimbatore,2019-07-15,25.52,37.46,25.7,26.58,1.17,10.05,23.05,61.0,Satisfactory
Coimbatore,2019-07-16,33.77,60.13,26.88,27.95,1.11,9.86,20.52,67.0,Satisfactory
Coimbatore,2019-07-17,26.0,34.04,27.87,28.33,1.03,9.67,20.58,59.0,Satisfactory
Coimbatore,2019-07-18,,34.95,31.9,27.8,1.05,9.47,16.45,52.0,Satisfactory
Coimbatore,2019-07-19,34.66,21.7,28.51,29.42,1.34,9.52,22.32,67.0,Satisfactory
Coimbatore,2019-07-20,40.3,45.39,25.85,29.97,1.44,10.44,25.51,72.0,Satisfactory
Coimbatore,2019-07-21,23.53,25.85,23.64,28.17,1.34,9.47,22.82,75.0,Satisfactory
Coimbatore,2019-07-22,18.46,23.48,23.95,26.82,1.28,9.1,21.57,67.0,Satisfactory
Coimbatore,2019-07-23,24.63,30.93,25.05,28.25,1.33,9.93,21.48,71.0,Satisfactory
Coimbatore,2019-07-24,28.19,45.47,26.17,31.24,1.32,9.12,21.14,71.0,Satisfactory
Coimbatore,2019-07-25,29.67,39.09,25.98,32.4,1.34,9.24,22.49,74.0,Satisfactory
Coimbatore,2019-07-26,22.93,30.85,24.24,32.32,1.36,9.29,22.83,73.0,Satisfactory
Coimbatore,2019-07-27,42.15,49.46,24.77,32.74,1.41,9.82,23.49,77.0,Satisfactory
Coimbatore,2019-07-28,33.16,46.87,21.58,29.66,1.3,8.54,25.3,77.0,Satisfactory
Coimbatore,2019-07-29,37.3,49.5,27.08,28.0,1.43,9.65,20.4,76.0,Satisfactory
Coimbatore,2019-07-30,36.5,47.87,25.28,29.73,1.4,9.56,18.9,80.0,Satisfactory
Coimbatore,2019-07-31,46.54,60.6,26.11,32.5,1.47,9.95,19.73,80.0,Satisfactory
Coimbatore,2019-08-01,30.42,46.23,25.18,33.14,1.4,9.48,19.32,78.0,Satisfactory
Coimbatore,2019-08-02,32.04,42.82,23.05,30.34,1.47,9.52,17.73,79.0,Satisfactory
Coimbatore,2019-08-03,17.83,24.72,20.87,28.32,1.42,8.84,18.86,78.0,Satisfactory
Coimbatore,2019-08-04,8.99,13.35,18.89,25.25,1.3,8.41,18.23,66.0,Satisfactory
Coimbatore,2019-08-05,16.17,22.18,19.47,25.99,1.4,8.92,17.98,72.0,Satisfactory
Coimbatore,2019-08-06,26.24,31.0,20.83,27.56,1.53,9.18,15.36,81.0,Satisfactory
Coimbatore,2019-08-07,28.94,36.56,21.99,26.66,1.59,10.32,11.49,80.0,Satisfactory
Coimbatore,2019-08-08,27.31,33.33,21.34,26.66,1.48,9.88,11.47,85.0,Satisfactory
Coimbatore,2019-08-09,13.02,21.58,16.71,26.76,1.3,9.44,21.12,73.0,Satisfactory
Coimbatore,2019-08-10,16.04,18.93,14.86,32.28,1.38,9.54,21.33,76.0,Satisfactory
Coimbatore,2019-08-11,17.98,22.41,14.85,31.14,1.32,8.38,18.33,78.0,Satisfactory
Coimbatore,2019-08-12,23.38,28.34,17.58,28.44,1.33,8.69,13.68,69.0,Satisfactory
Coimbatore,2019-08-13,30.14,36.58,18.03,26.29,1.37,8.93,17.27,73.0,Satisfactory
Coimbatore,2019-08-14,27.15,32.37,17.8,26.68,1.47,9.08,21.6,79.0,Satisfactory
Coimbatore,2019-08-15,18.39,21.44,15.44,26.69,1.32,8.27,23.87,77.0,Satisfactory
Coimbatore,2019-08-16,22.4,28.27,16.96,25.25,1.37,8.48,18.16,75.0,Satisfactory
Coimbatore,2019-08-17,34.0,39.77,19.37,23.99,1.46,8.93,15.78,78.0,Satisfactory
Coimbatore,2019-08-18,20.52,25.03,16.34,22.55,1.38,8.42,17.08,72.0,Satisfactory
Coimbatore,2019-08-19,25.72,30.68,18.32,22.26,1.45,8.95,17.0,76.0,Satisfactory
Coimbatore,2019-08-20,35.3,44.65,18.5,22.16,1.48,8.77,16.9,80.0,Satisfactory
Coimbatore,2019-08-21,26.08,38.26,17.12,21.85,1.48,8.83,15.24,78.0,Satisfactory
Coimbatore,2019-08-22,23.94,36.68,17.34,20.73,1.44,9.55,13.29,79.0,Satisfactory
Coimbatore,2019-08-23,24.59,36.39,16.04,21.57,1.45,9.78,14.73,75.0,Satisfactory
Coimbatore,2019-08-24,26.58,37.85,16.21,21.71,1.51,10.3,18.66,80.0,Satisfactory
Coimbatore,2019-08-25,12.12,17.22,14.97,19.4,1.38,8.85,17.4,73.0,Satisfactory
Coimbatore,2019-08-26,18.07,29.03,14.96,,1.44,9.4,20.4,78.0,Satisfactory
Coimbatore,2019-08-27,18.29,26.21,16.12,,1.58,9.69,24.99,89.0,Satisfactory
Coimbatore,2019-08-28,32.63,26.27,18.05,,1.51,9.98,19.63,76.0,Satisfactory
Coimbatore,2019-08-31,18.46,32.25,17.71,1.47,1.53,8.8,19.41,76.0,Satisfactory
Coimbatore,2019-09-01,14.18,19.5,16.04,2.69,1.51,8.63,18.18,87.0,Satisfactory
Coimbatore,2019-09-02,10.99,16.31,17.69,2.13,1.6,8.24,17.71,90.0,Satisfactory
Coimbatore,2019-09-03,19.54,25.15,19.28,1.93,1.66,8.74,15.98,94.0,Satisfactory
Coimbatore,2019-09-04,20.2,34.12,20.25,2.09,1.65,9.41,13.42,94.0,Satisfactory
Coimbatore,2019-09-05,22.45,32.45,16.9,2.71,1.86,8.99,14.89,98.0,Satisfactory
Coimbatore,2019-09-06,16.71,26.91,12.64,3.73,1.73,8.26,15.78,96.0,Satisfactory
Coimbatore,2019-09-07,15.74,22.09,13.76,3.46,1.68,8.3,15.92,98.0,Satisfactory
Coimbatore,2019-09-08,10.25,14.91,10.14,4.32,1.52,7.53,16.01,85.0,Satisfactory
Coimbatore,2019-09-09,15.48,27.15,12.22,3.9,1.5,8.97,17.62,78.0,Satisfactory
Coimbatore,2019-09-10,19.25,26.54,15.52,3.31,1.48,8.47,13.55,76.0,Satisfactory
Coimbatore,2019-09-11,18.36,25.52,10.84,4.11,1.58,8.11,17.55,79.0,Satisfactory
Coimbatore,2019-09-12,18.33,24.32,12.05,4.01,1.56,8.41,18.33,83.0,Satisfactory
Coimbatore,2019-09-13,24.77,30.35,15.37,3.4,1.62,8.85,18.34,84.0,Satisfactory
Coimbatore,2019-09-14,30.56,38.2,15.62,3.7,1.63,9.0,17.11,88.0,Satisfactory
Coimbatore,2019-09-15,17.2,21.19,13.2,4.38,1.51,8.72,15.53,82.0,Satisfactory
Coimbatore,2019-09-16,23.29,28.7,10.87,4.64,1.59,8.86,17.23,86.0,Satisfactory
Coimbatore,2019-09-17,24.66,30.55,10.97,4.6,1.61,8.65,19.0,85.0,Satisfactory
Coimbatore,2019-09-18,21.46,30.93,11.9,4.5,1.64,9.03,19.51,88.0,Satisfactory
Coimbatore,2019-09-19,15.12,17.74,14.73,3.9,1.6,8.56,19.64,90.0,Satisfactory
Coimbatore,2019-09-20,28.17,92.79,19.81,1.87,1.63,9.17,20.65,95.0,Satisfactory
Coimbatore,2019-09-21,32.52,32.53,21.53,1.81,1.39,9.46,19.73,98.0,Satisfactory
Coimbatore,2019-09-22,23.5,28.44,17.18,2.59,1.42,9.57,22.24,78.0,Satisfactory
Coimbatore,2019-09-23,24.67,35.74,22.47,2.7,1.43,10.44,18.83,73.0,Satisfactory
Coimbatore,2019-09-24,29.16,34.32,28.21,1.7,1.47,10.75,17.68,78.0,Satisfactory
Coimbatore,2019-09-25,32.48,39.58,18.91,2.73,1.49,10.23,16.96,82.0,Satisfactory
Coimbatore,2019-09-26,22.37,33.05,17.41,3.08,1.49,9.78,16.06,81.0,Satisfactory
Coimbatore,2019-09-27,32.43,40.51,24.14,2.19,1.68,10.61,18.72,93.0,Satisfactory
Coimbatore,2019-09-28,28.91,36.33,25.49,2.1,1.75,10.2,25.25,95.0,Satisfactory
Coimbatore,2019-09-29,27.22,33.02,15.86,3.26,1.69,10.07,25.24,95.0,Satisfactory
Coimbatore,2019-09-30,25.04,32.78,15.33,3.01,1.72,10.29,29.28,94.0,Satisfactory
Coimbatore,2019-10-01,33.09,37.68,16.69,3.16,1.71,9.8,22.04,94.0,Satisfactory
Coimbatore,2019-10-02,31.11,34.26,13.04,3.59,1.71,9.57,39.08,96.0,Satisfactory
