City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Ernakulam,2020-01-22,37.48,80.65,135.57,101.97,1.94,3.34,,156.0,Moderate
Ernakulam,2020-01-24,41.13,68.71,133.71,102.66,1.12,3.46,,154.0,Moderate
Ernakulam,2020-01-25,53.0,84.58,134.02,104.05,1.17,3.48,,154.0,Moderate
Ernakulam,2020-01-26,58.31,85.47,133.09,103.2,1.2,3.54,,153.0,Moderate
Ernakulam,2020-01-27,53.06,80.24,156.21,133.25,1.24,3.49,,159.0,Moderate
Ernakulam,2020-01-28,60.99,95.07,140.31,107.43,1.37,3.64,,180.0,Moderate
Ernakulam,2020-01-29,57.41,96.7,83.55,36.6,1.35,3.59,,127.0,Moderate
Ernakulam,2020-01-30,43.89,79.3,63.72,19.41,1.35,3.54,,96.0,Satisfactory
Ernakulam,2020-01-31,35.45,78.48,62.85,28.95,1.27,3.58,,89.0,Satisfactory
Ernakulam,2020-02-01,38.01,74.51,61.12,27.62,1.17,3.53,,86.0,Satisfactory
Ernakulam,2020-02-02,38.63,67.05,59.74,26.53,1.08,3.54,,77.0,Satisfactory
Ernakulam,2020-02-03,40.97,72.23,57.08,26.07,1.13,3.53,,80.0,Satisfactory
Ernakulam,2020-02-04,54.34,89.68,52.02,24.66,1.41,3.44,,92.0,Satisfactory
Ernakulam,2020-02-05,52.85,95.99,43.67,23.18,1.41,3.48,,97.0,Satisfactory
Ernakulam,2020-02-06,35.61,69.55,29.33,21.83,1.36,3.64,,95.0,Satisfactory
Ernakulam,2020-02-07,42.18,70.64,53.2,44.3,1.51,3.78,,98.0,Satisfactory
Ernakulam,2020-02-08,36.49,69.27,69.87,59.59,1.3,3.56,,96.0,Satisfactory
Ernakulam,2020-02-09,36.94,65.81,64.43,54.52,1.15,3.53,,86.0,Satisfactory
Ernakulam,2020-02-10,39.27,68.24,65.59,56.08,1.33,3.64,,91.0,Satisfactory
Ernakulam,2020-02-11,38.45,70.37,84.43,74.95,1.23,3.61,,104.0,Moderate
Ernakulam,2020-02-12,51.09,85.94,73.89,64.53,1.42,3.46,,101.0,Moderate
Ernakulam,2020-02-13,39.8,72.06,98.17,58.5,1.36,3.67,,92.0,Satisfactory
Ernakulam,2020-02-14,49.84,83.54,78.9,17.96,1.46,3.66,,108.0,Moderate
Ernakulam,2020-02-15,33.41,51.47,79.9,14.05,1.36,3.87,,99.0,Satisfactory
Ernakulam,2020-02-16,39.71,58.34,81.43,15.4,1.04,4.08,,106.0,Moderate
Ernakulam,2020-02-17,50.63,79.13,70.2,12.57,1.33,3.54,,96.0,Satisfactory
Ernakulam,2020-02-18,49.29,78.67,67.0,11.86,1.28,3.47,,93.0,Satisfactory
Ernakulam,2020-02-19,78.27,116.73,64.85,11.41,1.64,3.53,,133.0,Moderate
Ernakulam,2020-02-20,55.37,88.08,62.59,10.94,1.39,3.45,,114.0,Moderate
Ernakulam,2020-02-21,59.74,89.73,61.22,10.68,1.61,3.47,,102.0,Moderate
Ernakulam,2020-02-22,47.75,75.74,61.55,10.8,1.39,3.51,,96.0,Satisfactory
Ernakulam,2020-02-23,37.76,59.35,60.76,10.66,1.22,3.52,,76.0,Satisfactory
Ernakulam,2020-02-24,44.43,72.73,59.79,10.47,1.5,3.52,,90.0,Satisfactory
Ernakulam,2020-02-25,42.85,69.29,59.25,10.41,1.53,3.65,,94.0,Satisfactory
Ernakulam,2020-02-26,52.33,79.96,59.34,10.52,1.35,3.65,,96.0,Satisfactory
Ernakulam,2020-02-27,46.96,69.25,58.86,10.45,1.55,3.7,,95.0,Satisfactory
Ernakulam,2020-02-28,47.25,72.04,59.16,10.71,1.73,3.99,,102.0,Moderate
Ernakulam,2020-02-29,35.35,56.01,56.05,9.75,1.41,3.52,,94.0,Satisfactory
Ernakulam,2020-03-01,34.65,54.4,55.34,9.59,1.24,3.53,,79.0,Satisfactory
Ernakulam,2020-03-02,35.76,54.77,55.32,9.66,1.58,3.6,,89.0,Satisfactory
Ernakulam,2020-03-03,27.97,43.68,53.49,9.34,1.63,3.67,,101.0,Moderate
Ernakulam,2020-03-04,30.85,61.79,7.86,0.18,1.76,4.29,,102.0,Moderate
Ernakulam,2020-03-05,37.26,73.37,7.53,0.11,1.87,4.12,,104.0,Moderate
Ernakulam,2020-03-06,30.91,63.61,7.16,0.05,1.79,3.98,,104.0,Moderate
Ernakulam,2020-03-07,18.17,44.89,7.0,0.02,1.25,3.62,,86.0,Satisfactory
Ernakulam,2020-03-08,27.59,52.22,7.01,0.02,1.35,3.57,,88.0,Satisfactory
Ernakulam,2020-03-09,24.22,48.87,7.08,0.15,1.48,3.62,,90.0,Satisfactory
Ernakulam,2020-03-10,32.43,58.49,6.98,0.01,1.32,3.63,,77.0,Satisfactory
Ernakulam,2020-03-11,22.94,67.87,6.03,1.04,1.68,3.91,,84.0,Satisfactory
Ernakulam,2020-03-12,13.87,40.87,5.99,1.0,1.37,3.86,,88.0,Satisfactory
Ernakulam,2020-03-13,21.11,59.54,2.4,2.0,1.68,4.05,,84.0,Satisfactory
Ernakulam,2020-03-14,27.79,66.92,2.43,2.04,1.48,3.58,,94.0,Satisfactory
Ernakulam,2020-03-15,37.26,72.16,2.43,2.05,1.38,3.51,,87.0,Satisfactory
Ernakulam,2020-03-16,37.0,75.59,2.44,2.07,1.58,3.52,,93.0,Satisfactory
Ernakulam,2020-03-17,45.49,84.85,2.42,2.04,1.6,4.04,,98.0,Satisfactory
Ernakulam,2020-03-18,46.85,90.0,2.44,2.05,1.85,4.0,,99.0,Satisfactory
Ernakulam,2020-03-19,39.62,81.13,2.44,2.05,1.7,3.53,,100.0,Satisfactory
Ernakulam,2020-03-20,33.6,64.61,3.27,2.43,1.54,3.43,,98.0,Satisfactory
Ernakulam,2020-03-21,31.66,64.3,5.31,3.44,1.52,3.5,,92.0,Satisfactory
Ernakulam,2020-03-22,20.49,38.97,5.27,3.41,1.11,3.45,,69.0,Satisfactory
Ernakulam,2020-03-23,17.84,47.35,5.31,3.44,1.25,3.41,,70.0,Satisfactory
Ernakulam,2020-03-24,24.79,48.95,5.29,3.42,1.25,3.22,,74.0,Satisfactory
Ernakulam,2020-03-25,15.93,31.35,5.28,3.41,1.15,3.47,,61.0,Satisfactory
Ernakulam,2020-03-26,20.66,40.24,5.25,3.39,1.1,3.19,,59.0,Satisfactory
Ernakulam,2020-03-27,30.79,54.13,5.28,3.41,1.17,3.12,,64.0,Satisfactory
Ernakulam,2020-03-28,30.1,56.39,5.33,3.48,1.15,3.13,,63.0,Satisfactory
Ernakulam,2020-03-30,22.27,45.67,5.28,3.44,1.16,3.39,,58.0,Satisfactory
Ernakulam,2020-03-31,22.11,45.3,5.26,3.39,1.26,3.57,,68.0,Satisfactory
Ernakulam,2020-04-01,22.8,47.92,5.63,3.43,1.23,3.48,,66.0,Satisfactory
Ernakulam,2020-04-02,29.16,50.88,6.79,3.44,1.29,3.48,,68.0,Satisfactory
Ernakulam,2020-04-03,23.25,45.45,6.75,3.38,1.29,3.53,,69.0,Satisfactory
Ernakulam,2020-04-04,21.57,41.74,6.76,3.4,1.25,3.46,,67.0,Satisfactory
Ernakulam,2020-04-05,16.04,32.53,6.77,3.43,1.21,3.43,,64.0,Satisfactory
Ernakulam,2020-04-06,9.54,21.63,6.78,3.41,1.17,3.18,,63.0,Satisfactory
Ernakulam,2020-04-07,11.39,22.39,6.76,3.38,1.31,3.41,,67.0,Satisfactory
Ernakulam,2020-04-08,18.28,38.37,6.77,3.41,1.38,3.54,,75.0,Satisfactory
Ernakulam,2020-04-09,17.75,41.78,6.76,3.4,1.23,3.19,,66.0,Satisfactory
Ernakulam,2020-04-10,14.42,30.64,6.77,3.4,1.13,3.08,,61.0,Satisfactory
Ernakulam,2020-04-11,17.2,30.64,6.77,3.4,1.18,3.1,,62.0,Satisfactory
Ernakulam,2020-04-12,14.17,30.3,6.35,3.41,1.23,3.21,,65.0,Satisfactory
Ernakulam,2020-04-13,22.86,45.51,5.54,3.43,1.48,3.67,,77.0,Satisfactory
Ernakulam,2020-04-14,24.44,47.76,5.29,3.42,1.44,3.61,,77.0,Satisfactory
Ernakulam,2020-04-15,14.38,30.69,5.28,3.42,1.34,3.37,,71.0,Satisfactory
Ernakulam,2020-04-16,16.74,29.7,5.28,3.41,1.3,3.11,,69.0,Satisfactory
Ernakulam,2020-04-17,17.05,33.38,5.3,3.44,1.29,3.1,,72.0,Satisfactory
Ernakulam,2020-04-18,15.67,29.75,5.29,3.43,1.45,3.64,,75.0,Satisfactory
Ernakulam,2020-04-19,21.2,36.86,5.28,3.42,1.48,3.63,,78.0,Satisfactory
Ernakulam,2020-04-20,16.12,26.0,5.15,3.4,1.46,3.41,,78.0,Satisfactory
Ernakulam,2020-04-21,9.52,21.54,72.09,109.88,1.12,3.35,,77.0,Satisfactory
Ernakulam,2020-04-22,12.31,27.08,30.79,52.92,1.13,2.38,,68.0,Satisfactory
Ernakulam,2020-04-23,23.42,35.87,30.29,55.42,1.18,2.47,,70.0,Satisfactory
Ernakulam,2020-04-24,20.69,40.92,9.19,18.23,1.12,2.72,,64.0,Satisfactory
Ernakulam,2020-04-25,19.38,46.33,10.61,25.49,1.05,4.95,,55.0,Satisfactory
Ernakulam,2020-04-26,18.44,44.38,13.95,38.43,1.15,2.89,,59.0,Satisfactory
Ernakulam,2020-04-27,14.88,31.67,11.91,34.45,1.3,2.84,,72.0,Satisfactory
Ernakulam,2020-04-28,16.31,35.39,10.59,33.78,1.52,2.88,,80.0,Satisfactory
Ernakulam,2020-04-29,14.14,30.88,8.72,27.8,1.51,2.82,,80.0,Satisfactory
Ernakulam,2020-04-30,19.22,43.47,8.25,27.33,1.71,2.92,,88.0,Satisfactory
Ernakulam,2020-05-01,17.29,38.99,7.66,25.28,1.62,2.85,,86.0,Satisfactory
Ernakulam,2020-05-02,19.22,37.85,7.45,25.01,1.74,2.88,,91.0,Satisfactory
Ernakulam,2020-05-03,19.66,39.87,7.35,25.1,1.65,2.87,,88.0,Satisfactory
Ernakulam,2020-05-04,19.04,45.18,7.11,25.0,1.87,2.96,,94.0,Satisfactory
Ernakulam,2020-05-05,24.34,51.54,6.78,23.75,1.92,2.89,,99.0,Satisfactory
Ernakulam,2020-05-06,24.61,51.19,6.51,22.79,1.98,2.85,,101.0,Moderate
Ernakulam,2020-05-07,10.07,31.03,9.98,38.21,1.78,3.04,,83.0,Satisfactory
Ernakulam,2020-05-08,9.96,23.91,9.83,39.63,1.72,2.7,,92.0,Satisfactory
Ernakulam,2020-05-09,13.76,32.56,8.38,34.09,1.85,2.76,,99.0,Satisfactory
Ernakulam,2020-05-10,18.07,37.56,7.92,32.48,1.74,2.74,,94.0,Satisfactory
Ernakulam,2020-05-11,11.07,27.33,7.56,31.08,1.87,2.76,,93.0,Satisfactory
Ernakulam,2020-05-12,23.83,50.41,7.49,30.93,2.13,2.79,,104.0,Moderate
Ernakulam,2020-05-13,13.66,32.04,7.2,29.65,1.98,2.75,,102.0,Moderate
Ernakulam,2020-05-14,18.49,44.23,6.86,28.49,2.2,2.77,,105.0,Moderate
Ernakulam,2020-05-15,16.93,44.12,6.67,27.82,2.06,2.8,,103.0,Moderate
Ernakulam,2020-05-16,11.0,34.63,6.56,27.68,2.46,2.85,,96.0,Satisfactory
Ernakulam,2020-05-17,14.54,36.56,6.4,26.9,1.97,2.84,,100.0,Satisfactory
Ernakulam,2020-05-18,20.78,45.3,6.16,25.78,2.53,2.82,,106.0,Moderate
Ernakulam,2020-05-19,18.82,49.32,7.13,31.5,2.54,2.81,,113.0,Moderate
Ernakulam,2020-05-20,9.3,35.64,6.68,30.69,2.22,2.8,,107.0,Moderate
Ernakulam,2020-05-21,8.23,19.94,7.04,32.64,1.79,2.77,,97.0,Satisfactory
Ernakulam,2020-05-22,9.15,23.94,6.35,28.85,1.73,2.58,,92.0,Satisfactory
Ernakulam,2020-05-23,16.41,48.58,5.76,25.29,1.9,2.43,,101.0,Moderate
Ernakulam,2020-05-24,15.75,43.42,5.59,24.5,1.55,2.43,,88.0,Satisfactory
Ernakulam,2020-05-25,17.83,46.41,5.38,23.62,1.88,2.44,,96.0,Satisfactory
Ernakulam,2020-05-26,12.81,33.45,5.38,23.85,1.9,2.49,,100.0,Satisfactory
Ernakulam,2020-05-27,18.49,39.77,5.29,23.53,2.04,2.52,,105.0,Moderate
Ernakulam,2020-05-28,12.41,27.44,5.2,23.11,2.0,2.47,,103.0,Moderate
Ernakulam,2020-05-29,12.57,34.03,5.12,22.71,1.89,2.51,,102.0,Moderate
Ernakulam,2020-05-30,8.58,21.13,5.07,22.4,1.7,2.47,,93.0,Satisfactory
Ernakulam,2020-05-31,5.54,13.53,4.92,21.71,1.54,2.48,,81.0,Satisfactory
Ernakulam,2020-06-01,8.58,19.66,4.84,21.35,1.82,2.44,,95.0,Satisfactory
Ernakulam,2020-06-02,4.85,13.02,4.79,21.05,1.77,2.5,,95.0,Satisfactory
Ernakulam,2020-06-03,5.91,14.94,4.65,20.31,1.68,2.46,,96.0,Satisfactory
Ernakulam,2020-06-04,3.48,15.31,4.61,20.2,1.69,2.45,,90.0,Satisfactory
Ernakulam,2020-06-05,6.91,18.27,4.5,19.71,1.87,2.54,,102.0,Moderate
Ernakulam,2020-06-06,5.95,14.15,4.39,19.11,2.03,2.62,,103.0,Moderate
Ernakulam,2020-06-07,10.01,20.15,4.33,18.88,1.73,2.49,,98.0,Satisfactory
Ernakulam,2020-06-08,10.29,29.53,4.29,18.74,2.15,2.58,,105.0,Moderate
Ernakulam,2020-06-09,16.7,41.66,4.3,19.07,2.3,2.68,,110.0,Moderate
