City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Gurugram,2016-01-22,120.47,,14.31,,1.41,12.48,3.95,300.0,Poor
Gurugram,2016-01-23,87.51,,14.43,,0.45,8.05,13.38,202.0,Poor
Gurugram,2016-01-24,106.22,,13.78,,1.52,9.24,1.23,209.0,Poor
Gurugram,2016-01-25,82.48,,14.78,,1.16,15.42,16.45,175.0,Moderate
Gurugram,2016-01-26,124.33,,15.5,,0.96,9.14,4.05,257.0,Poor
Gurugram,2016-02-02,36.12,,15.13,,0.5,16.15,25.7,60.0,Satisfactory
Gurugram,2016-02-03,58.63,,15.12,,,4.96,27.26,90.0,Satisfactory
Gurugram,2016-02-04,52.91,,14.43,,1.49,7.79,23.45,95.0,Satisfactory
Gurugram,2016-02-05,103.23,,10.3,,1.5,8.75,16.66,164.0,Moderate
Gurugram,2016-02-16,70.74,,12.25,,1.55,,66.42,136.0,Moderate
Gurugram,2016-02-18,188.98,,15.78,,1.28,13.56,,353.0,Very Poor
Gurugram,2016-02-19,199.01,,12.93,,0.28,6.66,0.55,357.0,Very Poor
Gurugram,2016-02-23,88.27,,13.12,,1.13,7.07,22.54,194.0,Moderate
Gurugram,2016-02-24,175.8,,12.39,,0.48,12.93,20.69,336.0,Very Poor
Gurugram,2016-02-25,137.28,,9.46,,1.38,11.45,25.59,322.0,Very Poor
Gurugram,2016-02-26,143.83,,7.91,,1.44,13.17,28.19,312.0,Very Poor
Gurugram,2016-02-27,180.83,,11.32,,1.37,15.57,18.82,343.0,Very Poor
Gurugram,2016-02-28,201.17,,8.06,,1.45,12.01,24.09,359.0,Very Poor
Gurugram,2016-02-29,182.54,,7.98,,1.49,6.89,18.51,346.0,Very Poor
Gurugram,2016-03-01,211.21,,8.1,,1.43,12.72,24.8,364.0,Very Poor
Gurugram,2016-03-02,247.27,,7.67,,1.48,11.04,29.09,379.0,Very Poor
Gurugram,2016-03-03,348.88,,7.56,,1.4,14.26,25.18,460.0,Severe
Gurugram,2016-03-07,78.56,,47.62,,0.27,10.04,30.93,162.0,Moderate
Gurugram,2016-03-08,97.88,,17.26,,,9.58,28.46,244.0,Poor
Gurugram,2016-03-09,539.41,,36.5,,1.36,7.28,21.86,442.0,Severe
Gurugram,2016-03-10,914.94,,42.71,,1.45,0.64,0.8,676.0,Severe
Gurugram,2016-03-16,58.9,,12.51,,0.87,10.62,43.65,98.0,Satisfactory
Gurugram,2016-03-17,894.75,,17.45,,1.43,13.43,37.98,896.0,Severe
Gurugram,2016-03-18,581.05,,17.93,,1.22,17.42,30.51,655.0,Severe
Gurugram,2016-03-25,62.4,,16.74,,0.79,,46.85,108.0,Moderate
Gurugram,2016-03-26,40.5,,14.5,,1.37,11.97,17.07,68.0,Satisfactory
Gurugram,2016-03-27,79.43,,13.22,,1.12,11.31,30.98,180.0,Moderate
Gurugram,2016-03-28,197.75,,17.27,,1.46,16.38,26.13,341.0,Very Poor
Gurugram,2016-03-29,124.42,,11.24,,1.4,19.4,43.79,208.0,Poor
Gurugram,2016-03-30,264.74,,22.91,,1.57,33.97,27.58,367.0,Very Poor
Gurugram,2016-03-31,186.4,,45.41,,2.03,23.38,24.63,401.0,Severe
Gurugram,2016-04-01,66.52,,14.63,,1.13,20.44,29.48,325.0,Very Poor
Gurugram,2016-04-04,76.29,,25.75,,1.37,21.97,17.55,154.0,Moderate
Gurugram,2016-04-05,70.05,,12.28,,1.05,12.95,34.73,134.0,Moderate
Gurugram,2016-04-08,115.6,,20.65,,1.39,15.05,33.45,285.0,Poor
Gurugram,2016-04-09,99.83,,39.6,,2.05,24.69,36.16,266.0,Poor
Gurugram,2016-04-10,83.23,,15.64,,1.23,25.1,39.34,190.0,Moderate
Gurugram,2016-04-11,84.45,,13.37,,0.95,18.06,34.36,186.0,Moderate
Gurugram,2016-04-12,70.79,,12.36,,0.91,15.18,41.77,144.0,Moderate
Gurugram,2016-04-13,82.6,,13.51,,1.16,18.19,34.96,156.0,Moderate
Gurugram,2016-04-14,84.9,,18.82,,1.43,11.16,32.53,202.0,Poor
Gurugram,2016-04-15,109.9,,37.84,,1.81,14.57,27.98,228.0,Poor
Gurugram,2016-04-16,107.76,,25.07,,1.63,12.52,17.46,276.0,Poor
Gurugram,2016-04-17,81.36,,12.65,,1.11,5.38,17.69,192.0,Moderate
Gurugram,2016-04-18,77.24,,19.01,,1.23,9.91,25.27,144.0,Moderate
Gurugram,2016-04-19,115.4,,20.62,,1.65,15.79,25.94,244.0,Poor
Gurugram,2016-04-20,163.99,,15.68,,1.01,7.7,29.75,300.0,Poor
Gurugram,2016-04-21,128.32,,12.0,,1.08,12.25,36.55,325.0,Very Poor
Gurugram,2016-04-22,123.29,,7.01,,1.0,6.8,42.31,305.0,Very Poor
Gurugram,2016-04-23,92.07,,11.31,,1.46,10.24,34.89,250.0,Poor
Gurugram,2016-04-24,128.13,,9.85,,1.98,20.12,49.05,278.0,Poor
Gurugram,2016-04-25,114.51,,19.74,,1.77,14.31,49.87,287.0,Poor
Gurugram,2016-04-26,63.16,,8.61,,1.01,11.01,122.38,278.0,Poor
