City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Hyderabad,2015-03-31,47.03,,26.65,,0.81,13.2,25.13,120.0,Moderate
Hyderabad,2015-04-01,40.62,,21.59,,0.81,7.89,34.19,112.0,Moderate
Hyderabad,2015-04-05,50.87,,35.91,,0.99,13.35,38.52,85.0,Satisfactory
Hyderabad,2015-04-06,83.0,,22.63,,0.89,8.89,33.67,141.0,Moderate
Hyderabad,2015-04-07,112.21,,31.52,,1.05,11.21,30.68,197.0,Moderate
Hyderabad,2015-04-08,38.67,,17.66,,0.73,7.58,23.53,177.0,Moderate
Hyderabad,2015-04-09,33.88,,31.61,,0.8,8.28,21.58,104.0,Moderate
Hyderabad,2015-04-10,30.88,,34.32,,0.76,8.46,22.8,106.0,Moderate
Hyderabad,2015-04-11,42.88,,32.06,,0.87,8.13,32.93,105.0,Moderate
Hyderabad,2015-04-12,26.38,,13.55,,1.41,2.93,32.86,128.0,Moderate
Hyderabad,2015-04-13,56.39,,27.53,,1.13,13.04,40.11,133.0,Moderate
Hyderabad,2015-04-14,158.32,,29.34,,0.95,8.23,40.52,312.0,Very Poor
Hyderabad,2015-04-15,44.79,,23.62,,0.8,7.6,30.83,179.0,Moderate
Hyderabad,2015-04-16,30.21,,20.24,,0.76,8.08,33.59,112.0,Moderate
Hyderabad,2015-04-17,39.04,,26.86,,0.84,9.56,39.94,106.0,Moderate
Hyderabad,2015-04-18,76.0,,67.91,,1.3,11.04,35.28,147.0,Moderate
Hyderabad,2015-04-19,54.25,,31.05,,1.0,8.83,41.52,139.0,Moderate
Hyderabad,2015-04-20,41.38,,24.21,,0.86,8.48,32.44,118.0,Moderate
Hyderabad,2015-04-21,75.08,,27.87,,0.81,9.56,29.91,123.0,Moderate
Hyderabad,2015-04-22,39.71,,36.38,,1.02,8.24,23.51,157.0,Moderate
Hyderabad,2015-04-23,87.54,,28.48,,1.14,5.43,37.94,149.0,Moderate
Hyderabad,2015-04-24,39.38,,21.07,,0.76,9.61,42.52,165.0,Moderate
Hyderabad,2015-04-25,35.61,,35.3,,0.81,3.43,51.44,119.0,Moderate
Hyderabad,2015-04-27,40.78,,32.78,,0.89,15.72,39.31,86.0,Satisfactory
Hyderabad,2015-04-28,46.62,,25.34,,0.83,9.63,39.74,124.0,Moderate
Hyderabad,2015-04-29,94.29,,24.05,,0.72,10.58,38.94,148.0,Moderate
Hyderabad,2015-04-30,53.79,,35.02,,1.01,12.34,52.57,176.0,Moderate
Hyderabad,2015-05-01,89.62,,69.42,,1.41,13.38,38.94,206.0,Poor
Hyderabad,2015-05-02,49.38,,19.37,,0.75,8.54,48.14,134.0,Moderate
Hyderabad,2015-05-03,38.96,,20.07,,0.69,8.33,46.87,115.0,Moderate
Hyderabad,2015-05-04,45.0,,24.32,,0.74,9.03,42.93,113.0,Moderate
Hyderabad,2015-05-05,42.62,,20.37,,0.76,9.62,50.1,116.0,Moderate
Hyderabad,2015-05-06,43.29,,24.92,,1.52,13.7,51.13,150.0,Moderate
Hyderabad,2015-05-07,40.12,,23.92,,1.83,9.0,32.89,157.0,Moderate
Hyderabad,2015-05-08,56.88,,39.41,,0.88,10.17,39.26,121.0,Moderate
Hyderabad,2015-05-09,62.38,,29.61,,0.89,8.96,43.05,149.0,Moderate
Hyderabad,2015-05-10,54.08,,22.64,,0.73,9.57,42.66,125.0,Moderate
Hyderabad,2015-05-11,67.08,,34.34,,0.89,9.43,28.16,140.0,Moderate
Hyderabad,2015-05-12,40.88,,19.29,,0.65,8.13,33.0,130.0,Moderate
Hyderabad,2015-05-13,83.21,,54.46,,0.76,8.06,19.97,125.0,Moderate
Hyderabad,2015-05-14,40.58,,16.64,,0.85,7.7,22.67,177.0,Moderate
Hyderabad,2015-05-15,36.5,,20.92,,0.86,8.17,16.09,123.0,Moderate
Hyderabad,2015-05-16,41.67,,20.26,,0.99,8.54,20.62,120.0,Moderate
Hyderabad,2015-05-17,32.75,,17.56,,0.73,8.38,33.49,114.0,Moderate
Hyderabad,2015-05-18,42.96,,24.13,,1.01,10.08,40.72,116.0,Moderate
Hyderabad,2015-05-19,60.79,,40.48,,1.33,10.98,39.48,143.0,Moderate
Hyderabad,2015-05-20,53.67,,37.38,,1.23,10.65,36.86,145.0,Moderate
Hyderabad,2015-05-21,68.96,,41.97,,1.73,12.39,45.08,158.0,Moderate
Hyderabad,2015-05-22,66.38,,40.71,,1.4,11.44,36.66,171.0,Moderate
Hyderabad,2015-05-23,43.29,,22.64,,0.67,10.57,39.2,117.0,Moderate
Hyderabad,2015-05-24,44.79,,28.05,,0.72,11.55,29.71,117.0,Moderate
Hyderabad,2015-05-25,41.21,,22.46,,0.9,9.15,29.88,132.0,Moderate
Hyderabad,2015-05-26,54.12,,36.63,,0.88,11.79,32.89,113.0,Moderate
Hyderabad,2015-05-27,60.5,,27.23,,1.21,11.62,39.2,160.0,Moderate
Hyderabad,2015-05-28,45.38,,21.64,,0.23,7.26,44.57,83.0,Satisfactory
Hyderabad,2015-05-29,49.54,,24.3,,0.79,9.52,44.58,120.0,Moderate
Hyderabad,2015-05-30,48.12,,20.51,,0.79,9.16,46.28,120.0,Moderate
Hyderabad,2015-05-31,53.42,,21.33,,0.8,9.25,50.6,125.0,Moderate
Hyderabad,2015-06-01,237.79,,17.42,,0.78,8.05,48.34,165.0,Moderate
Hyderabad,2015-06-02,539.13,,16.2,,0.73,9.1,37.95,661.0,Severe
Hyderabad,2015-06-03,49.54,,22.35,,0.88,9.06,42.6,294.0,Poor
Hyderabad,2015-06-04,50.58,,19.82,,0.81,8.57,49.06,125.0,Moderate
Hyderabad,2015-06-05,43.62,,22.2,,0.82,8.09,43.08,117.0,Moderate
Hyderabad,2015-06-06,83.88,,25.63,,0.85,8.31,41.62,127.0,Moderate
Hyderabad,2015-06-07,43.12,,35.47,,1.14,7.65,22.47,179.0,Moderate
Hyderabad,2015-06-08,30.71,,23.0,,0.75,7.8,23.72,118.0,Moderate
Hyderabad,2015-06-09,25.79,,22.6,,0.72,8.76,18.8,98.0,Satisfactory
Hyderabad,2015-06-10,25.58,,25.51,,0.76,8.8,24.68,100.0,Satisfactory
Hyderabad,2015-06-11,26.0,,24.11,,0.69,8.78,24.27,102.0,Moderate
Hyderabad,2015-06-12,24.88,,21.41,,0.75,8.43,20.85,95.0,Satisfactory
Hyderabad,2015-06-13,29.33,,27.11,,0.94,8.22,16.93,106.0,Moderate
Hyderabad,2015-06-14,87.21,,20.39,,1.14,4.05,9.61,142.0,Moderate
Hyderabad,2015-06-15,25.07,,14.69,,0.64,7.58,15.04,163.0,Moderate
Hyderabad,2015-06-16,31.0,,16.59,,0.67,8.3,15.78,98.0,Satisfactory
Hyderabad,2015-06-17,26.38,,16.5,,0.68,8.08,15.3,98.0,Satisfactory
Hyderabad,2015-06-18,23.83,,14.77,,0.62,8.19,15.7,94.0,Satisfactory
Hyderabad,2015-06-19,26.92,,20.75,,0.63,8.71,17.3,93.0,Satisfactory
Hyderabad,2015-06-20,26.82,,17.37,,0.64,9.14,15.62,96.0,Satisfactory
Hyderabad,2015-06-21,23.67,,17.35,,0.73,7.84,9.46,94.0,Satisfactory
Hyderabad,2015-06-22,66.78,,14.35,,0.67,7.71,15.55,105.0,Moderate
Hyderabad,2015-06-23,14.75,,12.69,,0.62,7.75,15.72,132.0,Moderate
Hyderabad,2015-06-24,467.67,,12.59,,0.62,7.04,16.44,348.0,Very Poor
Hyderabad,2015-06-25,22.75,,12.93,,0.61,7.86,16.51,342.0,Very Poor
Hyderabad,2015-06-26,33.29,,16.56,,0.63,8.38,15.3,96.0,Satisfactory
Hyderabad,2015-06-27,39.62,,19.82,,0.66,8.32,15.64,104.0,Moderate
Hyderabad,2015-06-28,35.88,,25.45,,0.89,8.49,21.59,114.0,Moderate
Hyderabad,2015-06-29,45.88,,50.1,,1.3,8.53,12.32,141.0,Moderate
Hyderabad,2015-06-30,35.54,,23.84,,0.79,8.21,16.23,119.0,Moderate
Hyderabad,2015-07-01,26.29,,14.52,,0.62,8.61,21.08,99.0,Satisfactory
Hyderabad,2015-07-02,29.67,,31.13,,0.76,9.31,15.48,97.0,Satisfactory
Hyderabad,2015-07-03,37.0,,18.81,,0.72,7.3,23.39,108.0,Moderate
Hyderabad,2015-07-04,34.92,,17.72,,0.65,9.5,24.33,103.0,Moderate
Hyderabad,2015-07-05,29.54,,13.33,,0.58,8.88,22.7,102.0,Moderate
Hyderabad,2015-07-06,27.42,,23.26,,0.58,2.66,20.65,97.0,Satisfactory
Hyderabad,2015-07-07,31.38,,16.83,,0.58,6.79,14.79,99.0,Satisfactory
Hyderabad,2015-07-08,26.5,,14.73,,0.6,6.63,14.69,98.0,Satisfactory
Hyderabad,2015-07-09,24.42,,13.43,,0.59,6.99,16.3,91.0,Satisfactory
Hyderabad,2015-07-10,24.97,,13.12,,0.58,9.0,17.02,94.0,Satisfactory
Hyderabad,2015-07-11,24.71,,15.31,,0.64,8.24,16.06,91.0,Satisfactory
Hyderabad,2015-07-12,32.54,,20.23,,0.79,9.07,17.01,98.0,Satisfactory
Hyderabad,2015-07-13,32.46,,16.24,,0.64,8.3,20.17,117.0,Moderate
