City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Jaipur,2017-06-19,64.78,99.43,,4.73,0.73,7.29,11.1,116.0,Moderate
Jaipur,2017-06-20,70.1,75.55,,8.17,0.81,9.02,13.83,149.0,Moderate
Jaipur,2017-06-21,67.5,93.8,,5.1,0.71,9.26,38.19,126.0,Moderate
Jaipur,2017-06-22,24.8,31.95,,5.04,0.74,8.89,44.67,85.0,Satisfactory
Jaipur,2017-06-23,32.3,47.4,,3.8,0.68,8.39,39.16,62.0,Satisfactory
Jaipur,2017-06-24,55.36,73.69,,13.26,0.77,9.33,10.76,77.0,Satisfactory
Jaipur,2017-06-25,47.62,79.52,,0.89,0.73,9.15,9.38,86.0,Satisfactory
Jaipur,2017-06-26,61.34,100.61,,1.19,1.01,8.55,13.56,90.0,Satisfactory
Jaipur,2017-06-27,36.51,65.54,,0.63,0.82,9.33,4.17,85.0,Satisfactory
Jaipur,2017-06-28,19.66,23.81,,0.34,0.86,8.56,1.34,59.0,Satisfactory
Jaipur,2017-06-29,16.8,14.47,,,0.67,8.49,1.27,50.0,Good
Jaipur,2017-06-30,14.37,23.25,,,0.57,8.89,1.21,43.0,Good
Jaipur,2017-07-01,25.14,26.17,,1.12,0.89,9.53,1.35,55.0,Satisfactory
Jaipur,2017-07-02,28.74,33.12,,1.12,1.02,9.35,1.2,80.0,Satisfactory
Jaipur,2017-07-03,39.4,51.67,,28.45,0.86,10.11,1.17,58.0,Satisfactory
Jaipur,2017-07-04,52.82,76.36,,16.31,0.8,8.95,1.21,78.0,Satisfactory
Jaipur,2017-07-05,56.88,91.07,,6.45,0.74,9.28,1.27,94.0,Satisfactory
Jaipur,2017-07-06,68.1,101.47,,6.36,0.56,9.37,1.17,107.0,Moderate
Jaipur,2017-07-07,60.61,80.86,,6.59,0.64,9.14,1.22,118.0,Moderate
Jaipur,2017-07-08,54.57,1.02,,6.53,0.67,9.27,1.34,96.0,Satisfactory
Jaipur,2017-07-09,46.43,,,5.6,0.64,9.35,1.7,85.0,Satisfactory
