City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Jorapokhar,2017-04-20,,119.49,,,0.32,28.43,18.88,113.0,Moderate
Jorapokhar,2017-04-21,,170.61,,,0.27,29.35,15.85,148.0,Moderate
Jorapokhar,2017-04-22,,124.64,,,0.29,33.34,17.76,135.0,Moderate
Jorapokhar,2017-04-23,,107.36,,,0.31,34.1,21.71,107.0,Moderate
Jorapokhar,2017-04-24,,178.28,,,0.33,38.16,17.94,124.0,Moderate
Jorapokhar,2017-04-25,,178.55,,,0.39,13.11,21.16,156.0,Moderate
Jorapokhar,2017-04-26,,312.48,,,0.31,52.54,24.6,211.0,Poor
Jorapokhar,2017-04-27,,261.1,,,0.32,70.8,24.12,247.0,Poor
Jorapokhar,2017-04-28,,151.89,,,0.28,25.56,17.64,161.0,Moderate
Jorapokhar,2017-04-29,,188.39,,,0.28,57.19,20.48,157.0,Moderate
Jorapokhar,2017-04-30,,99.66,,,0.29,16.33,15.45,120.0,Moderate
Jorapokhar,2017-05-01,,89.09,,,0.33,20.0,12.01,101.0,Moderate
Jorapokhar,2017-05-02,,105.54,,,0.59,46.35,31.84,104.0,Moderate
Jorapokhar,2017-05-03,,87.13,,,0.31,23.9,19.92,91.0,Satisfactory
Jorapokhar,2017-05-04,,121.63,,,0.3,38.21,19.84,96.0,Satisfactory
Jorapokhar,2017-05-05,,124.83,,,0.32,,22.1,121.0,Moderate
Jorapokhar,2017-05-06,,169.22,,,0.36,,29.21,137.0,Moderate
Jorapokhar,2017-05-07,,107.19,,,0.3,,33.89,120.0,Moderate
Jorapokhar,2017-05-08,,103.55,,,0.36,5.62,14.69,103.0,Moderate
Jorapokhar,2017-05-09,,135.11,,,0.29,36.97,,113.0,Moderate
Jorapokhar,2017-05-10,,156.37,,,0.31,59.05,33.75,130.0,Moderate
Jorapokhar,2017-05-11,,128.4,,,0.31,12.28,16.65,136.0,Moderate
Jorapokhar,2017-05-12,,87.52,,,0.33,26.48,18.44,100.0,Satisfactory
Jorapokhar,2017-05-13,,205.38,,,0.3,42.19,19.6,139.0,Moderate
Jorapokhar,2017-05-14,,194.08,,,0.43,28.22,28.14,176.0,Moderate
Jorapokhar,2017-05-15,,149.04,,,0.33,25.57,50.33,152.0,Moderate
Jorapokhar,2017-05-16,,92.3,,,0.27,22.19,50.94,114.0,Moderate
Jorapokhar,2017-05-17,,120.26,,,0.3,18.81,17.59,110.0,Moderate
Jorapokhar,2017-05-18,,115.24,,,0.4,43.43,48.65,112.0,Moderate
Jorapokhar,2017-05-19,,111.91,,,0.39,21.08,36.24,106.0,Moderate
Jorapokhar,2017-05-20,,94.15,,,0.3,59.65,29.28,100.0,Satisfactory
Jorapokhar,2017-05-21,,130.72,,,0.29,52.08,37.25,105.0,Moderate
Jorapokhar,2017-05-22,,154.29,,,0.36,36.18,28.23,130.0,Moderate
Jorapokhar,2017-05-23,,149.02,,,0.44,65.81,34.31,131.0,Moderate
Jorapokhar,2017-05-24,,195.18,,,0.38,23.99,15.75,149.0,Moderate
Jorapokhar,2017-05-25,,136.9,,,0.31,48.14,10.3,146.0,Moderate
Jorapokhar,2017-05-26,,98.77,,,0.28,31.56,6.42,117.0,Moderate
Jorapokhar,2017-05-27,,83.56,,,0.42,39.88,10.19,93.0,Satisfactory
Jorapokhar,2017-05-28,,78.74,,,0.3,30.16,5.72,94.0,Satisfactory
Jorapokhar,2017-05-29,,109.26,,,0.43,38.3,12.95,84.0,Satisfactory
Jorapokhar,2017-05-30,,116.99,,,0.43,38.71,11.59,110.0,Moderate
Jorapokhar,2017-05-31,,129.23,,,0.42,47.44,7.08,116.0,Moderate
Jorapokhar,2017-06-01,,101.19,,,0.39,26.29,16.13,109.0,Moderate
Jorapokhar,2017-06-02,,167.86,,,0.36,46.82,11.6,119.0,Moderate
Jorapokhar,2017-06-03,,197.14,,,0.34,28.47,16.98,155.0,Moderate
Jorapokhar,2017-06-04,,175.7,,,0.38,42.62,22.45,160.0,Moderate
Jorapokhar,2017-06-05,,130.9,,,0.34,34.66,10.02,133.0,Moderate
Jorapokhar,2017-06-06,,119.44,,,0.35,24.31,12.56,126.0,Moderate
Jorapokhar,2017-06-07,,177.78,,,0.4,41.41,10.77,123.0,Moderate
Jorapokhar,2017-06-08,,154.1,,,0.4,41.89,6.7,147.0,Moderate
Jorapokhar,2017-06-09,,105.49,,,0.4,20.14,5.77,125.0,Moderate
