City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Kochi,2020-01-22,46.54,113.87,99.99,27.89,1.25,7.01,19.69,120.0,Moderate
Kochi,2020-01-23,62.48,110.34,73.57,25.35,1.33,6.48,9.54,110.0,Moderate
Kochi,2020-01-24,62.87,114.86,97.8,25.6,1.44,6.91,9.06,111.0,Moderate
Kochi,2020-01-25,61.76,113.7,160.51,22.11,1.34,6.68,11.29,144.0,Moderate
Kochi,2020-01-26,66.76,113.24,165.49,20.7,1.36,6.75,11.43,197.0,Moderate
Kochi,2020-01-27,67.99,114.06,157.29,19.87,1.31,6.21,10.63,179.0,Moderate
Kochi,2020-01-28,68.04,119.42,141.97,20.26,1.38,6.06,9.78,167.0,Moderate
Kochi,2020-01-29,71.79,119.6,133.35,21.6,1.4,4.93,14.14,159.0,Moderate
Kochi,2020-01-30,52.43,99.98,146.26,19.78,1.36,9.03,11.96,153.0,Moderate
Kochi,2020-01-31,46.71,109.08,159.91,19.59,1.32,20.29,14.61,185.0,Moderate
Kochi,2020-02-01,43.87,95.77,108.53,22.65,1.13,20.31,15.89,151.0,Moderate
Kochi,2020-02-02,43.18,83.08,64.08,22.68,0.96,21.4,15.05,104.0,Moderate
Kochi,2020-02-03,53.08,97.71,77.16,13.66,1.08,20.68,14.28,91.0,Satisfactory
Kochi,2020-02-04,61.09,107.42,74.86,2.34,1.33,20.68,15.24,106.0,Moderate
Kochi,2020-02-05,63.96,108.51,59.33,7.67,1.36,13.97,8.47,108.0,Moderate
Kochi,2020-02-06,45.35,96.72,76.55,10.04,1.2,13.44,8.84,95.0,Satisfactory
Kochi,2020-02-07,53.29,108.96,74.31,2.91,1.24,20.96,4.8,104.0,Moderate
Kochi,2020-02-08,49.9,140.63,66.72,2.72,1.18,20.81,8.81,118.0,Moderate
Kochi,2020-02-09,43.48,111.94,55.44,2.51,1.04,21.71,12.56,119.0,Moderate
Kochi,2020-02-10,46.11,123.94,60.21,2.82,1.07,19.31,11.61,109.0,Moderate
Kochi,2020-02-11,46.9,122.94,56.66,2.64,1.13,23.75,12.32,114.0,Moderate
Kochi,2020-02-12,56.29,136.05,63.96,2.94,1.28,23.29,12.4,127.0,Moderate
Kochi,2020-02-13,60.32,136.7,57.2,2.23,1.3,21.96,12.78,122.0,Moderate
Kochi,2020-02-14,59.82,140.51,50.77,1.52,1.31,20.98,9.54,123.0,Moderate
Kochi,2020-02-15,64.43,140.64,56.76,2.11,1.36,20.63,3.79,130.0,Moderate
Kochi,2020-02-16,51.19,115.31,53.11,2.8,1.15,20.7,2.56,117.0,Moderate
Kochi,2020-02-17,62.65,134.46,61.56,3.37,1.31,20.91,10.61,115.0,Moderate
Kochi,2020-02-18,67.72,131.39,50.72,2.26,1.44,21.77,15.38,129.0,Moderate
Kochi,2020-02-19,143.85,201.76,52.08,2.88,1.57,23.25,15.5,277.0,Poor
Kochi,2020-02-20,66.64,120.58,47.8,1.39,1.44,22.34,16.68,191.0,Moderate
Kochi,2020-02-21,69.07,121.04,48.61,1.34,1.48,21.13,14.07,135.0,Moderate
Kochi,2020-02-22,49.41,99.69,56.52,3.96,1.44,20.98,13.13,108.0,Moderate
Kochi,2020-02-23,48.39,85.13,39.28,2.01,1.26,21.0,14.62,90.0,Satisfactory
Kochi,2020-02-24,58.24,109.65,34.51,2.43,1.46,21.84,13.98,96.0,Satisfactory
