City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Lucknow,2015-03-20,742.67,,4.22,,2.19,10.73,66.8,779.0,Severe
Lucknow,2015-03-21,518.1,,4.22,,2.05,10.99,59.02,607.0,Severe
Lucknow,2015-03-22,674.43,,4.22,,2.13,11.33,11.61,707.0,Severe
Lucknow,2015-03-23,41.71,,4.47,,2.33,10.59,14.01,699.0,Severe
Lucknow,2015-03-24,63.06,,4.3,,2.3,13.25,24.94,108.0,Moderate
Lucknow,2015-03-25,50.6,,4.83,,2.29,14.75,23.06,111.0,Moderate
Lucknow,2015-03-26,55.31,,4.22,,2.4,13.48,26.74,116.0,Moderate
Lucknow,2015-03-27,60.99,,4.22,,2.13,11.27,26.71,104.0,Moderate
Lucknow,2015-03-28,58.69,,4.22,,2.16,11.94,26.76,114.0,Moderate
Lucknow,2015-03-29,56.07,,4.9,,2.24,13.86,26.77,124.0,Moderate
Lucknow,2015-03-30,53.07,,6.71,,1.76,7.49,32.13,113.0,Moderate
Lucknow,2015-03-31,40.51,,15.09,,2.36,11.17,18.76,104.0,Moderate
Lucknow,2015-04-01,60.06,,4.77,,2.17,12.14,27.28,124.0,Moderate
Lucknow,2015-04-02,59.78,,4.98,,2.66,12.63,27.54,157.0,Moderate
Lucknow,2015-04-03,75.52,,5.65,,2.37,13.38,22.52,122.0,Moderate
Lucknow,2015-04-04,41.71,,4.3,,1.99,12.6,25.81,144.0,Moderate
Lucknow,2015-04-05,50.51,,4.22,,1.97,10.93,26.59,123.0,Moderate
Lucknow,2015-04-06,37.74,,4.64,,2.15,10.73,23.46,114.0,Moderate
Lucknow,2015-04-07,49.06,,4.47,,2.17,12.01,24.7,120.0,Moderate
Lucknow,2015-04-08,36.35,,4.64,,2.36,14.49,26.18,117.0,Moderate
Lucknow,2015-04-09,37.09,,4.14,,2.23,10.67,26.64,104.0,Moderate
Lucknow,2015-04-10,48.37,,4.22,,2.21,13.69,26.09,108.0,Moderate
Lucknow,2015-04-11,63.86,,4.22,,2.45,24.19,25.95,114.0,Moderate
Lucknow,2015-04-12,54.17,,5.06,,2.35,11.24,20.51,134.0,Moderate
Lucknow,2015-04-13,44.54,,6.16,,2.25,10.94,11.56,103.0,Moderate
Lucknow,2015-04-14,45.94,,6.24,,2.26,12.54,11.41,103.0,Moderate
Lucknow,2015-04-15,44.87,,6.24,,2.28,15.35,11.57,104.0,Moderate
Lucknow,2015-04-16,47.12,,5.65,,2.93,11.25,16.45,104.0,Moderate
Lucknow,2015-04-17,43.82,,3.63,,2.09,8.84,29.6,103.0,Moderate
