City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Mumbai,2018-04-26,25.5,58.53,110.9,,1.96,30.86,46.37,131.0,Moderate
Mumbai,2018-05-06,16.74,,33.53,,1.29,25.48,43.73,64.0,Satisfactory
Mumbai,2018-05-07,18.44,,46.03,,1.3,22.0,34.0,73.0,Satisfactory
Mumbai,2018-05-08,18.07,48.8,64.12,,1.36,19.58,35.44,82.0,Satisfactory
Mumbai,2018-05-09,18.55,62.07,63.4,,1.35,18.59,35.91,84.0,Satisfactory
Mumbai,2018-05-10,22.57,67.03,45.81,,1.3,21.3,37.26,77.0,Satisfactory
Mumbai,2018-05-11,23.57,71.8,46.8,,1.26,24.83,36.59,73.0,Satisfactory
Mumbai,2018-05-12,31.18,91.26,36.18,,1.23,25.71,33.41,86.0,Satisfactory
Mumbai,2018-05-13,24.22,79.1,66.43,,1.36,21.32,39.09,90.0,Satisfactory
Mumbai,2018-05-14,21.81,44.13,34.55,,1.25,22.25,36.71,70.0,Satisfactory
Mumbai,2018-05-15,14.93,52.51,33.43,,1.22,20.01,35.06,64.0,Satisfactory
Mumbai,2018-05-16,17.86,45.85,36.02,,1.21,20.6,30.81,64.0,Satisfactory
Mumbai,2018-05-17,24.73,74.2,33.18,,1.25,15.89,40.12,66.0,Satisfactory
Mumbai,2018-05-18,24.09,72.98,53.35,,1.27,20.46,39.23,85.0,Satisfactory
Mumbai,2018-05-19,23.97,88.35,49.3,,1.32,24.61,34.83,83.0,Satisfactory
Mumbai,2018-05-20,20.7,81.14,48.48,,1.34,22.61,45.24,90.0,Satisfactory
Mumbai,2018-05-21,19.01,79.33,34.1,,1.27,24.7,43.26,76.0,Satisfactory
Mumbai,2018-05-22,21.85,89.75,47.43,,1.32,22.67,44.85,90.0,Satisfactory
Mumbai,2018-05-23,24.32,93.09,31.4,,1.31,23.83,53.32,81.0,Satisfactory
Mumbai,2018-05-24,22.76,88.41,28.02,,1.19,20.43,50.68,92.0,Satisfactory
Mumbai,2018-05-25,15.38,56.32,23.02,,1.06,20.99,49.28,75.0,Satisfactory
