City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Patna,2015-10-01,100.96,,74.68,,1.3,4.65,7.82,237.0,Poor
Patna,2015-10-02,71.2,,55.98,,2.44,4.93,9.04,137.0,Moderate
Patna,2015-10-03,74.28,,45.62,,1.04,4.79,6.25,154.0,Moderate
Patna,2015-10-04,118.5,,71.08,,1.12,7.27,4.84,156.0,Moderate
Patna,2015-10-05,99.12,,79.26,,1.63,4.48,6.12,222.0,Poor
Patna,2015-10-06,107.03,,72.95,,1.52,5.45,8.45,257.0,Poor
Patna,2015-10-07,111.0,,73.08,,1.56,5.5,11.09,246.0,Poor
Patna,2015-10-08,107.48,,86.33,,1.83,5.54,11.14,282.0,Poor
Patna,2015-10-09,121.5,,74.48,,1.18,5.66,10.04,234.0,Poor
Patna,2015-10-15,68.34,,97.33,,1.66,5.3,12.73,128.0,Moderate
Patna,2015-10-16,87.82,,103.79,,1.25,5.53,10.58,165.0,Moderate
Patna,2015-10-17,95.74,,99.85,,1.56,5.16,10.66,193.0,Moderate
Patna,2015-10-18,170.0,,185.88,,2.26,5.73,9.8,259.0,Poor
Patna,2015-10-19,116.35,,107.75,,1.47,5.63,9.33,288.0,Poor
Patna,2015-10-20,83.8,,47.56,,1.27,4.3,12.01,179.0,Moderate
Patna,2015-10-21,98.72,,69.41,,1.63,4.49,10.97,214.0,Poor
Patna,2015-10-22,128.72,,73.24,,1.81,5.69,10.81,260.0,Poor
Patna,2015-10-23,120.64,,64.28,,1.2,5.17,10.64,312.0,Very Poor
Patna,2015-10-24,119.64,,78.22,,1.58,4.45,12.09,274.0,Poor
Patna,2015-10-25,197.17,,157.07,,1.24,4.1,9.82,359.0,Very Poor
Patna,2015-10-26,125.35,,94.09,,1.92,5.38,10.22,294.0,Poor
Patna,2015-10-27,136.26,,81.3,,1.67,5.24,8.7,313.0,Very Poor
Patna,2015-10-28,201.0,,134.55,,1.34,5.1,7.39,306.0,Very Poor
Patna,2015-10-29,66.43,,60.89,,1.16,5.95,8.97,145.0,Moderate
Patna,2015-10-30,66.17,,61.82,,1.59,7.15,8.92,137.0,Moderate
Patna,2015-10-31,116.88,,84.11,,1.8,6.76,8.16,196.0,Moderate
Patna,2015-11-01,192.0,,151.24,,1.58,7.94,6.88,306.0,Very Poor
Patna,2015-11-02,114.42,,103.6,,2.2,7.21,8.04,253.0,Poor
Patna,2015-11-03,132.89,,96.75,,1.42,7.61,7.97,311.0,Very Poor
Patna,2015-11-04,124.45,,59.63,,1.42,7.6,7.97,270.0,Poor
Patna,2015-11-05,128.25,,71.14,,1.57,7.3,8.07,305.0,Very Poor
Patna,2015-11-06,170.54,,111.22,,2.31,7.4,8.11,330.0,Very Poor
Patna,2015-11-07,217.82,,119.82,,2.53,7.46,8.71,355.0,Very Poor
Patna,2015-11-08,211.84,,98.57,,2.41,4.93,8.24,377.0,Very Poor
Patna,2015-11-09,183.37,,112.96,,1.96,3.33,9.27,354.0,Very Poor
Patna,2015-11-10,217.98,,85.53,,1.84,7.83,8.55,361.0,Very Poor
Patna,2015-11-11,225.05,,55.6,,1.46,5.87,6.86,367.0,Very Poor
Patna,2015-11-12,214.09,,66.24,,1.54,8.19,9.32,385.0,Very Poor
Patna,2015-11-13,200.98,,71.77,,1.61,6.51,9.37,374.0,Very Poor
Patna,2015-11-14,240.12,,72.67,,1.71,5.57,9.93,375.0,Very Poor
