City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Shillong,2019-08-27,28.43,37.88,1.39,3.66,0.35,4.99,32.93,47.0,Good
Shillong,2019-08-28,18.42,26.65,1.33,3.64,0.29,5.15,28.46,37.0,Good
Shillong,2019-08-29,18.36,26.11,1.28,3.63,0.31,5.85,33.5,40.0,Good
Shillong,2019-08-30,17.45,25.16,1.27,3.65,0.34,5.97,27.85,35.0,Good
Shillong,2019-08-31,16.96,25.31,1.29,3.65,0.29,5.86,22.17,32.0,Good
Shillong,2019-09-01,8.89,14.37,1.3,3.63,0.23,5.76,29.69,31.0,Good
Shillong,2019-09-02,914.64,985.0,1.36,3.63,0.23,5.56,27.96,1094.0,Severe
Shillong,2019-09-03,917.77,985.0,1.4,3.64,0.19,5.55,25.2,1094.0,Severe
Shillong,2019-09-04,274.92,368.06,1.44,3.66,0.28,5.14,19.11,419.0,Severe
Shillong,2019-09-05,8.35,14.68,1.44,3.64,0.25,4.99,20.95,113.0,Moderate
Shillong,2019-09-06,8.32,16.12,1.44,3.65,0.29,4.93,18.72,25.0,Good
Shillong,2019-09-07,4.2,9.07,1.44,3.65,0.18,5.0,25.14,31.0,Good
Shillong,2019-09-08,4.34,8.67,1.41,3.64,0.18,5.11,28.71,33.0,Good
Shillong,2019-09-09,4.94,10.61,1.45,3.65,0.21,5.14,29.84,35.0,Good
Shillong,2019-09-10,9.82,15.96,1.45,3.65,0.24,5.46,28.78,35.0,Good
Shillong,2019-09-11,11.37,19.57,1.35,3.64,0.29,6.12,25.39,40.0,Good
Shillong,2019-09-12,5.79,10.72,1.32,3.65,0.23,5.69,23.95,30.0,Good
Shillong,2019-09-13,7.94,13.81,1.44,3.64,0.32,5.13,23.52,30.0,Good
Shillong,2019-09-14,5.9,13.28,1.46,3.64,0.17,5.23,34.68,38.0,Good
Shillong,2019-09-15,8.57,16.29,1.46,3.64,0.18,5.27,40.85,51.0,Satisfactory
Shillong,2019-09-16,9.93,18.77,1.5,3.64,0.2,5.2,44.41,60.0,Satisfactory
Shillong,2019-09-17,11.9,22.69,1.46,3.64,0.23,5.34,29.16,41.0,Good
Shillong,2019-09-18,13.02,23.29,0.96,3.66,0.22,5.4,34.46,42.0,Good
Shillong,2019-09-19,13.23,23.69,1.29,3.66,0.27,5.53,31.21,37.0,Good
Shillong,2019-09-20,17.9,27.86,1.46,3.64,0.32,5.63,24.68,32.0,Good
Shillong,2019-09-21,18.81,27.76,1.48,3.66,0.28,5.69,23.7,31.0,Good
Shillong,2019-09-22,14.72,25.65,1.45,3.66,0.27,5.59,25.26,31.0,Good
Shillong,2019-09-23,10.24,18.57,1.51,3.65,0.35,5.54,31.03,44.0,Good
Shillong,2019-09-24,13.24,22.97,1.52,3.66,0.49,5.49,27.48,43.0,Good
Shillong,2019-09-25,8.71,13.85,1.52,3.66,0.43,5.48,24.93,38.0,Good
Shillong,2019-09-26,6.63,12.66,1.52,3.66,0.4,5.55,25.75,40.0,Good
Shillong,2019-09-27,13.14,21.3,1.55,3.66,0.46,5.66,26.7,40.0,Good
Shillong,2019-09-28,8.52,15.84,1.53,3.66,0.24,5.68,37.11,49.0,Good
Shillong,2019-09-29,8.08,15.48,1.55,3.66,0.26,5.63,33.34,38.0,Good
Shillong,2019-09-30,11.79,20.79,1.54,3.67,0.46,5.68,31.49,46.0,Good
Shillong,2019-10-01,5.11,10.05,1.53,3.68,0.32,5.69,31.71,40.0,Good
Shillong,2019-10-02,15.38,21.8,1.58,3.66,0.29,5.75,38.39,47.0,Good
Shillong,2019-10-03,16.97,26.93,1.57,3.67,0.53,5.87,31.82,59.0,Satisfactory
Shillong,2019-10-04,17.43,26.69,1.52,3.67,0.46,5.98,43.49,56.0,Satisfactory
Shillong,2019-10-05,19.67,32.09,0.63,3.62,0.29,5.77,41.42,49.0,Good
Shillong,2019-10-06,,31.21,0.0,,0.27,5.5,50.34,58.0,Satisfactory
Shillong,2019-10-07,,33.73,0.0,,0.3,5.56,44.83,54.0,Satisfactory
Shillong,2019-10-08,,20.9,0.0,,0.29,5.46,40.26,48.0,Good
Shillong,2019-10-09,,27.61,0.0,,0.52,5.55,33.87,57.0,Satisfactory
Shillong,2019-10-10,,20.78,0.0,,0.47,5.58,32.71,48.0,Good
Shillong,2019-10-11,17.72,19.46,0.76,3.62,0.44,5.76,29.2,45.0,Good
Shillong,2019-10-12,21.02,34.85,1.58,3.66,0.31,6.14,36.64,46.0,Good
Shillong,2019-10-13,17.32,27.42,1.51,3.65,0.26,6.26,35.77,44.0,Good
Shillong,2019-10-14,17.79,31.72,1.48,3.65,0.31,6.44,35.82,46.0,Good
Shillong,2019-10-15,15.29,24.25,1.56,3.65,0.3,6.41,36.76,52.0,Satisfactory
Shillong,2019-10-16,16.72,27.24,1.54,3.66,0.33,6.5,30.84,36.0,Good
Shillong,2019-10-17,20.46,31.51,1.53,3.63,0.38,6.61,31.97,40.0,Good
Shillong,2019-10-18,23.3,32.77,1.58,3.65,0.43,6.5,38.16,54.0,Satisfactory
Shillong,2019-10-19,26.66,39.31,1.57,3.66,0.31,6.58,42.52,55.0,Satisfactory
Shillong,2019-10-20,33.46,45.42,1.53,3.64,0.29,6.59,51.02,61.0,Satisfactory
Shillong,2019-10-21,23.1,37.19,1.56,3.66,0.22,6.73,83.65,92.0,Satisfactory
Shillong,2019-10-22,25.22,42.73,1.55,3.65,0.31,6.81,67.23,87.0,Satisfactory
Shillong,2019-10-23,32.95,54.63,1.51,3.66,0.46,6.99,51.26,73.0,Satisfactory
Shillong,2019-10-24,18.23,27.05,1.5,3.64,0.41,7.2,41.31,61.0,Satisfactory
Shillong,2019-10-25,9.46,15.75,1.58,3.68,0.36,6.54,28.51,42.0,Good
Shillong,2019-11-22,13.06,15.63,0.55,1.54,0.31,3.48,8.86,22.0,Good
Shillong,2019-11-23,6.56,8.7,0.36,0.98,0.06,2.08,8.83,14.0,Good
Shillong,2019-11-24,13.61,18.78,0.73,1.87,0.15,3.96,16.16,32.0,Good
Shillong,2019-11-25,10.31,13.97,0.62,1.6,0.17,3.38,10.43,22.0,Good
Shillong,2019-11-26,16.74,22.3,0.75,2.03,0.2,4.43,16.75,30.0,Good
Shillong,2019-11-27,12.69,15.68,0.54,1.64,0.17,3.58,11.6,29.0,Good
Shillong,2019-11-28,12.47,17.01,0.75,1.89,0.12,4.23,18.27,28.0,Good
Shillong,2019-11-29,10.44,2.86,0.92,2.66,0.16,5.91,32.86,49.0,Good
Shillong,2019-11-30,6.88,4.28,1.08,2.56,0.19,5.74,29.19,29.0,Good
Shillong,2019-12-03,5.92,9.08,0.77,2.07,0.21,4.67,17.24,17.0,Good
Shillong,2019-12-04,4.46,2.1,0.52,1.33,0.15,3.09,9.59,10.0,Good
Shillong,2019-12-05,2.67,4.46,0.84,1.92,0.15,4.36,24.15,24.0,Good
Shillong,2019-12-06,3.71,2.12,0.82,1.93,0.15,4.35,27.75,28.0,Good
Shillong,2019-12-07,2.69,4.74,0.71,1.73,0.13,3.92,23.42,23.0,Good
Shillong,2019-12-08,13.22,2.08,0.78,1.85,0.14,4.16,23.65,24.0,Good
Shillong,2019-12-09,7.06,10.39,0.79,1.89,0.32,4.25,22.99,23.0,Good
Shillong,2019-12-10,12.52,9.11,0.71,1.69,0.2,3.83,14.36,21.0,Good
Shillong,2019-12-11,21.1,9.35,0.73,1.76,0.38,3.98,18.38,35.0,Good
Shillong,2019-12-12,13.29,8.72,0.67,1.62,0.15,3.65,16.67,22.0,Good
