City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Talcher,2018-02-07,123.61,322.43,43.73,7.3,2.46,,29.76,303.0,Very Poor
Talcher,2018-02-08,135.85,341.78,54.67,6.63,2.5,,18.54,311.0,Very Poor
Talcher,2018-02-09,172.05,381.02,93.33,10.19,2.62,,17.65,321.0,Very Poor
Talcher,2018-02-10,143.05,314.95,139.18,9.55,2.56,,11.32,343.0,Very Poor
Talcher,2018-02-12,117.74,264.67,46.24,9.65,1.62,38.32,28.32,292.0,Poor
Talcher,2018-02-13,173.67,411.74,88.22,8.64,2.09,63.77,18.61,343.0,Very Poor
Talcher,2018-02-14,73.52,209.94,29.99,10.55,0.58,51.74,14.69,269.0,Poor
Talcher,2018-02-15,145.63,280.32,61.35,8.53,1.3,54.35,23.31,243.0,Poor
Talcher,2018-02-16,193.1,415.79,139.34,6.54,1.77,66.46,26.16,350.0,Very Poor
Talcher,2018-02-17,174.89,336.83,93.46,5.88,1.42,69.76,25.58,362.0,Very Poor
Talcher,2018-02-18,209.23,448.44,140.12,5.42,1.96,79.83,24.45,369.0,Very Poor
Talcher,2018-02-19,138.1,293.77,89.11,5.73,1.3,57.58,23.4,356.0,Very Poor
Talcher,2018-02-20,135.54,290.37,55.72,8.2,1.23,39.42,21.31,305.0,Very Poor
Talcher,2018-02-21,183.64,337.62,97.52,7.93,1.54,57.99,25.19,320.0,Very Poor
Talcher,2018-02-22,238.35,529.88,195.22,7.69,2.73,72.67,24.42,474.0,Severe
Talcher,2018-02-23,223.24,428.19,183.72,9.87,2.56,78.68,23.63,452.0,Severe
Talcher,2018-02-24,172.69,365.85,80.14,15.4,2.34,57.81,29.15,356.0,Very Poor
Talcher,2018-02-25,174.97,356.57,65.96,15.49,2.12,51.47,25.24,334.0,Very Poor
Talcher,2018-02-26,207.2,446.6,106.99,12.05,2.41,59.2,21.31,400.0,Very Poor
Talcher,2018-02-27,159.51,373.57,99.82,10.19,2.08,51.38,21.7,378.0,Very Poor
Talcher,2018-02-28,202.82,450.74,153.57,13.07,2.69,45.31,20.57,368.0,Very Poor
Talcher,2018-03-01,186.41,378.45,124.82,30.09,2.05,38.16,21.77,367.0,Very Poor
Talcher,2018-03-02,198.3,392.54,118.98,28.91,2.43,50.51,26.23,365.0,Very Poor
Talcher,2018-03-03,166.3,395.0,90.31,27.32,2.35,47.24,27.58,348.0,Very Poor
Talcher,2018-03-04,283.31,488.72,185.73,28.93,3.3,52.69,30.91,484.0,Severe
Talcher,2018-03-05,173.38,404.44,104.99,25.67,2.27,50.81,24.1,396.0,Very Poor
Talcher,2018-03-06,145.3,329.78,82.66,23.23,1.93,57.6,23.11,341.0,Very Poor
Talcher,2018-03-07,147.24,333.81,101.13,25.13,2.05,59.84,29.6,320.0,Very Poor
Talcher,2018-03-08,111.63,241.12,67.24,24.24,1.46,53.04,28.35,295.0,Poor
Talcher,2018-03-09,179.03,312.37,88.72,23.86,1.97,40.02,36.28,258.0,Poor
Talcher,2018-03-10,144.24,279.06,97.95,26.96,2.06,32.51,29.23,329.0,Very Poor
Talcher,2018-03-11,82.18,164.53,59.55,23.7,1.69,60.2,6.41,323.0,Very Poor
Talcher,2018-03-12,169.33,393.78,71.18,22.33,2.07,30.63,20.93,355.0,Very Poor
Talcher,2018-03-20,331.81,382.08,184.13,25.29,3.34,4.21,36.52,463.0,Severe
Talcher,2018-03-21,217.86,358.15,155.71,26.85,2.97,24.63,21.34,425.0,Severe
Talcher,2018-03-22,100.51,230.12,44.97,23.66,1.86,11.95,27.49,306.0,Very Poor
Talcher,2018-03-23,108.45,251.27,38.95,18.29,2.07,22.95,40.37,206.0,Poor
Talcher,2018-03-24,90.03,210.68,22.1,7.36,1.9,31.73,40.66,251.0,Poor
Talcher,2018-03-25,64.52,143.31,17.79,11.14,1.46,43.94,33.19,168.0,Moderate
Talcher,2018-03-26,93.41,244.58,26.93,11.43,1.84,38.31,42.6,148.0,Moderate
Talcher,2018-03-27,155.14,352.21,75.12,10.83,2.74,56.31,25.25,288.0,Poor
Talcher,2018-03-28,183.49,355.28,142.85,10.97,3.19,70.46,21.09,354.0,Very Poor
Talcher,2018-03-29,61.01,146.11,44.85,13.12,1.61,50.21,26.21,230.0,Poor
Talcher,2018-03-30,53.41,132.9,17.71,11.73,1.58,31.26,42.14,130.0,Moderate
Talcher,2018-03-31,60.32,150.73,12.5,13.34,1.6,16.81,47.11,127.0,Moderate
Talcher,2018-04-01,75.21,131.5,12.5,12.21,1.49,18.46,40.31,134.0,Moderate
Talcher,2018-04-02,29.93,90.34,65.58,17.55,1.8,31.76,38.27,139.0,Moderate
Talcher,2018-04-03,39.69,133.54,9.8,12.03,1.62,34.72,43.94,99.0,Satisfactory
Talcher,2018-04-04,53.48,113.22,22.98,10.65,1.57,73.0,16.1,120.0,Moderate
Talcher,2018-04-14,,22.63,8.89,11.31,4.27,57.3,27.68,128.0,Moderate
Talcher,2018-04-15,35.65,141.11,24.66,7.71,4.66,66.74,34.42,154.0,Moderate
Talcher,2018-04-16,110.34,217.23,51.83,7.68,4.92,64.34,31.88,193.0,Moderate
Talcher,2018-04-17,64.68,126.32,15.87,7.6,4.23,51.99,34.67,200.0,Moderate
Talcher,2018-04-18,108.11,166.64,59.86,21.67,5.23,78.88,39.53,215.0,Poor
Talcher,2018-04-19,59.36,135.68,49.46,34.95,1.71,72.84,29.51,267.0,Poor
Talcher,2018-04-20,34.41,81.16,41.96,32.72,1.62,57.56,15.98,96.0,Satisfactory
Talcher,2018-04-21,51.96,99.53,47.44,32.33,2.16,73.72,18.02,110.0,Moderate
Talcher,2018-04-22,102.35,38.76,43.08,31.9,1.48,60.16,12.32,139.0,Moderate
Talcher,2018-04-23,45.11,70.31,29.43,28.91,1.65,53.17,16.11,89.0,Satisfactory
Talcher,2018-04-24,82.83,177.12,53.61,32.86,1.98,66.41,27.05,145.0,Moderate
Talcher,2018-04-25,90.72,373.29,56.89,24.09,1.89,67.61,4.84,196.0,Moderate
Talcher,2018-04-26,43.09,139.17,52.85,44.13,1.39,48.03,39.63,126.0,Moderate
Talcher,2018-04-27,20.11,97.93,34.1,31.23,1.52,39.12,21.48,101.0,Moderate
Talcher,2018-04-28,30.96,115.35,28.2,34.62,1.43,37.6,22.32,104.0,Moderate
Talcher,2018-04-29,37.37,98.75,24.23,29.58,1.87,43.48,23.55,100.0,Satisfactory
Talcher,2018-04-30,51.56,96.27,14.61,27.75,1.75,43.16,22.65,100.0,Satisfactory
Talcher,2018-05-01,39.03,73.5,42.01,38.3,1.66,49.11,23.49,98.0,Satisfactory
Talcher,2018-05-02,38.9,92.05,31.09,25.61,1.65,55.71,14.33,94.0,Satisfactory
Talcher,2018-05-03,72.57,103.33,45.6,37.2,1.75,53.83,23.47,112.0,Moderate
Talcher,2018-05-04,46.59,115.67,6.53,25.57,1.71,33.35,23.78,104.0,Moderate
Talcher,2018-05-05,43.79,118.46,5.39,24.9,1.67,30.29,22.29,114.0,Moderate
Talcher,2018-05-06,42.56,109.73,13.85,24.21,1.63,29.71,15.95,109.0,Moderate
Talcher,2018-05-07,67.72,179.63,17.14,24.5,1.91,33.27,19.8,128.0,Moderate
Talcher,2018-05-08,51.0,147.09,21.32,24.68,1.76,30.18,22.49,140.0,Moderate
Talcher,2018-05-09,66.42,164.92,23.4,25.38,1.75,32.91,35.76,138.0,Moderate
Talcher,2018-05-10,60.01,168.17,34.67,25.92,1.76,40.89,33.96,155.0,Moderate
Talcher,2018-05-11,46.17,103.29,41.23,50.62,1.47,38.16,27.77,124.0,Moderate
Talcher,2018-05-12,42.77,120.6,18.39,25.25,1.72,26.0,29.31,111.0,Moderate
Talcher,2018-05-13,53.33,92.78,12.04,25.97,1.87,36.8,31.89,103.0,Moderate
Talcher,2018-05-14,32.69,62.61,21.93,28.19,1.6,42.03,21.26,95.0,Satisfactory
Talcher,2018-05-15,77.37,146.11,43.15,29.18,2.1,48.15,18.44,139.0,Moderate
Talcher,2018-05-16,66.31,127.03,12.01,25.13,1.81,31.47,24.2,119.0,Moderate
Talcher,2018-05-17,49.13,108.26,9.14,26.44,1.72,34.42,27.45,122.0,Moderate
Talcher,2018-05-18,59.5,161.8,14.61,27.58,1.87,33.1,19.26,110.0,Moderate
Talcher,2018-05-19,69.14,120.9,23.79,27.74,1.88,43.34,19.73,141.0,Moderate
Talcher,2018-05-20,38.38,92.97,9.08,26.73,1.67,31.95,21.94,107.0,Moderate
Talcher,2018-05-21,84.96,143.73,24.69,21.07,2.15,43.6,28.68,108.0,Moderate
Talcher,2018-05-22,80.66,147.79,8.18,13.52,1.98,32.74,22.57,163.0,Moderate
Talcher,2018-05-23,36.34,74.74,7.91,13.87,1.75,28.21,14.98,124.0,Moderate
Talcher,2018-05-24,39.91,84.57,9.34,14.47,1.71,29.27,12.84,91.0,Satisfactory
Talcher,2018-05-25,25.78,84.37,11.65,14.18,1.68,27.9,9.61,88.0,Satisfactory
Talcher,2018-05-26,31.1,86.26,33.93,19.82,1.64,28.88,6.28,90.0,Satisfactory
Talcher,2018-05-27,36.97,94.18,16.91,14.32,1.71,27.79,10.35,89.0,Satisfactory
Talcher,2018-05-28,38.07,104.7,20.39,12.86,1.73,30.21,10.5,102.0,Moderate
Talcher,2018-05-29,40.07,113.21,11.0,12.69,1.78,26.53,22.41,111.0,Moderate
Talcher,2018-05-30,33.75,74.44,14.57,12.61,1.91,36.4,23.4,104.0,Moderate
Talcher,2018-05-31,79.39,162.66,25.46,11.41,2.28,31.34,22.59,108.0,Moderate
Talcher,2018-06-01,54.6,114.36,19.45,13.24,1.94,42.47,11.59,182.0,Moderate
Talcher,2018-06-02,49.37,98.48,19.01,13.0,1.94,35.35,10.14,98.0,Satisfactory
Talcher,2018-06-03,132.55,206.24,16.1,13.43,2.35,48.31,16.25,201.0,Poor
Talcher,2018-06-04,69.21,165.95,24.3,10.1,2.12,51.73,22.1,148.0,Moderate
Talcher,2018-06-05,53.57,106.84,11.98,12.93,1.85,37.53,15.38,125.0,Moderate
Talcher,2018-06-06,57.77,113.57,8.91,13.74,1.86,44.62,9.14,106.0,Moderate
