City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Thiruvananthapuram,2017-06-16,38.0,10.0,6.2,,0.71,4.1,18.3,63.0,Satisfactory
Thiruvananthapuram,2017-06-19,24.0,36.0,3.3,,0.73,4.5,19.1,40.0,Good
Thiruvananthapuram,2017-06-21,24.0,36.0,3.3,,0.73,4.5,19.1,40.0,Good
Thiruvananthapuram,2017-06-22,16.25,37.12,6.17,,0.84,3.47,15.48,42.0,Good
Thiruvananthapuram,2017-06-23,15.08,31.09,4.65,,0.71,4.65,17.54,47.0,Good
Thiruvananthapuram,2017-06-24,11.15,22.15,4.69,,0.6,4.12,16.65,44.0,Good
Thiruvananthapuram,2017-06-25,12.25,23.53,4.29,,0.56,3.83,18.7,38.0,Good
Thiruvananthapuram,2017-06-26,10.06,22.58,4.13,,0.47,3.73,19.53,37.0,Good
Thiruvananthapuram,2017-06-27,13.03,21.61,5.03,,0.64,4.0,14.46,46.0,Good
Thiruvananthapuram,2017-06-28,14.19,31.38,5.22,,0.64,4.59,15.22,45.0,Good
Thiruvananthapuram,2017-06-29,15.81,38.45,4.3,,0.57,3.77,15.44,48.0,Good
Thiruvananthapuram,2017-06-30,14.91,36.71,4.71,,0.56,3.28,16.46,45.0,Good
Thiruvananthapuram,2017-07-01,14.69,39.71,3.84,,0.68,3.34,13.63,49.0,Good
Thiruvananthapuram,2017-07-02,10.59,27.62,2.57,,0.57,4.14,14.29,39.0,Good
Thiruvananthapuram,2017-07-03,10.4,22.56,3.51,,0.65,4.6,21.13,39.0,Good
Thiruvananthapuram,2017-07-04,19.2,43.69,5.3,,0.66,3.86,19.87,40.0,Good
Thiruvananthapuram,2017-07-05,22.43,68.32,4.38,,0.7,3.49,19.37,60.0,Satisfactory
Thiruvananthapuram,2017-07-06,19.08,55.04,3.99,,0.59,3.18,18.33,63.0,Satisfactory
Thiruvananthapuram,2017-07-07,18.61,49.78,4.69,,0.65,3.9,16.48,52.0,Satisfactory
Thiruvananthapuram,2017-07-08,33.78,47.71,6.0,,0.75,3.98,16.13,54.0,Satisfactory
Thiruvananthapuram,2017-07-09,14.47,31.62,4.3,,0.53,3.57,18.74,53.0,Satisfactory
Thiruvananthapuram,2017-07-10,15.94,31.78,5.31,,0.68,4.36,17.31,47.0,Good
Thiruvananthapuram,2017-07-11,8.74,18.65,4.21,,0.53,5.05,16.83,41.0,Good
Thiruvananthapuram,2017-07-12,17.33,36.27,5.55,,0.65,4.06,15.24,39.0,Good
Thiruvananthapuram,2017-07-13,17.62,47.88,4.69,,0.63,2.88,15.47,48.0,Good
Thiruvananthapuram,2017-07-14,14.44,46.79,5.3,,0.55,4.29,16.82,43.0,Good
Thiruvananthapuram,2017-07-15,19.42,60.83,5.4,,0.58,3.28,16.23,59.0,Satisfactory
Thiruvananthapuram,2017-07-16,18.97,43.6,4.42,,0.51,4.34,15.52,52.0,Satisfactory
Thiruvananthapuram,2017-07-17,19.72,52.15,4.83,,0.46,3.32,14.89,48.0,Good
Thiruvananthapuram,2017-07-18,17.01,54.44,4.59,,0.55,4.07,14.13,54.0,Satisfactory
Thiruvananthapuram,2017-07-19,14.38,38.51,4.04,,0.47,3.6,14.04,47.0,Good
Thiruvananthapuram,2017-07-20,13.47,35.72,3.72,,0.63,4.36,12.35,43.0,Good
Thiruvananthapuram,2017-07-21,7.42,22.98,3.79,,0.49,3.33,14.18,37.0,Good
Thiruvananthapuram,2017-07-24,14.2,60.84,5.96,,0.82,4.47,17.67,61.0,Satisfactory
