City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Visakhapatnam,2016-07-01,44.92,82.5,40.24,62.45,1.0,38.67,10.45,82.0,Satisfactory
Visakhapatnam,2016-07-05,17.0,68.0,17.66,15.8,0.66,20.08,30.54,68.0,Satisfactory
Visakhapatnam,2016-07-06,30.54,77.06,35.0,13.88,0.99,9.0,30.3,77.0,Satisfactory
Visakhapatnam,2016-07-07,35.33,84.31,34.22,12.06,0.84,5.07,25.24,81.0,Satisfactory
Visakhapatnam,2016-07-08,40.64,92.73,47.01,11.91,1.07,6.57,16.24,112.0,Moderate
Visakhapatnam,2016-07-09,33.25,77.65,39.49,12.77,1.0,8.79,18.38,81.0,Satisfactory
Visakhapatnam,2016-07-10,26.64,69.68,26.0,12.82,0.88,9.97,27.98,81.0,Satisfactory
Visakhapatnam,2016-07-11,23.92,70.52,29.35,12.46,0.89,9.72,24.73,79.0,Satisfactory
Visakhapatnam,2016-07-12,28.42,84.49,29.47,13.49,1.09,8.99,27.01,79.0,Satisfactory
Visakhapatnam,2016-07-13,35.71,75.77,33.88,13.12,1.07,9.33,28.83,90.0,Satisfactory
Visakhapatnam,2016-07-14,37.09,98.23,34.78,13.3,1.09,9.28,33.36,93.0,Satisfactory
Visakhapatnam,2016-07-15,43.67,103.08,32.98,13.52,1.02,6.74,26.01,112.0,Moderate
Visakhapatnam,2016-07-16,44.76,111.15,31.05,13.58,1.1,4.76,33.86,104.0,Moderate
Visakhapatnam,2016-07-17,41.11,94.44,32.94,13.17,1.1,7.73,29.34,102.0,Moderate
Visakhapatnam,2016-07-18,46.5,96.07,35.16,13.99,1.09,11.05,39.16,95.0,Satisfactory
Visakhapatnam,2016-07-19,33.54,80.51,56.61,8.69,1.9,11.57,28.7,127.0,Moderate
Visakhapatnam,2016-07-20,11.98,103.34,35.25,16.1,0.95,19.13,67.74,135.0,Moderate
Visakhapatnam,2016-07-21,2.0,57.56,9.35,13.88,0.7,11.33,49.86,58.0,Satisfactory
Visakhapatnam,2016-07-22,21.8,85.88,39.49,14.99,1.19,23.29,33.72,86.0,Satisfactory
Visakhapatnam,2016-07-23,27.32,83.02,23.47,14.76,0.78,18.54,47.74,105.0,Moderate
Visakhapatnam,2016-07-24,,103.9,44.21,2.5,1.2,32.99,40.39,103.0,Moderate
Visakhapatnam,2016-07-25,22.75,58.38,26.61,16.37,0.79,25.13,32.89,84.0,Satisfactory
Visakhapatnam,2016-07-26,23.34,80.58,52.91,13.21,1.34,31.7,42.77,155.0,Moderate
Visakhapatnam,2016-07-27,24.49,66.8,39.32,15.34,0.94,35.21,28.28,138.0,Moderate
Visakhapatnam,2016-07-28,21.85,68.36,34.93,12.91,0.98,28.09,18.39,78.0,Satisfactory
Visakhapatnam,2016-07-29,23.4,81.96,25.91,11.19,1.11,31.45,20.92,79.0,Satisfactory
Visakhapatnam,2016-07-30,29.12,77.05,21.1,15.58,0.89,26.82,41.79,95.0,Satisfactory
Visakhapatnam,2016-07-31,22.44,68.42,29.94,10.37,1.15,30.72,37.79,90.0,Satisfactory
Visakhapatnam,2016-08-01,23.82,62.12,31.25,12.06,1.05,38.43,24.1,105.0,Moderate
Visakhapatnam,2016-08-02,16.53,44.53,28.07,11.49,0.94,46.26,16.92,67.0,Satisfactory
Visakhapatnam,2016-08-03,18.76,43.55,32.4,9.98,1.04,29.69,13.1,73.0,Satisfactory
Visakhapatnam,2016-08-04,23.64,52.09,32.14,11.62,1.1,26.89,13.39,79.0,Satisfactory
Visakhapatnam,2016-08-05,27.8,82.45,31.16,11.67,1.25,32.89,17.76,89.0,Satisfactory
Visakhapatnam,2016-08-06,24.73,89.99,27.66,11.63,1.17,32.63,21.29,95.0,Satisfactory
Visakhapatnam,2016-08-07,25.74,86.21,25.72,7.13,0.96,34.28,25.35,89.0,Satisfactory
Visakhapatnam,2016-08-08,30.37,92.09,27.86,17.47,1.07,27.96,22.94,94.0,Satisfactory
Visakhapatnam,2016-08-09,36.85,103.97,30.27,22.93,1.25,44.65,28.44,103.0,Moderate
Visakhapatnam,2016-08-10,23.77,96.36,30.2,13.62,1.09,37.9,24.9,101.0,Moderate
Visakhapatnam,2016-08-11,23.39,85.46,16.74,13.05,0.64,35.36,29.24,93.0,Satisfactory
Visakhapatnam,2016-08-12,39.42,107.82,17.44,15.32,0.62,47.11,28.33,85.0,Satisfactory
Visakhapatnam,2016-08-13,34.14,106.86,29.63,13.73,1.18,31.44,36.75,106.0,Moderate
Visakhapatnam,2016-08-14,28.14,93.6,24.89,13.82,1.02,35.15,35.95,101.0,Moderate
Visakhapatnam,2016-08-15,27.92,78.98,28.18,13.08,1.07,35.46,25.98,89.0,Satisfactory
Visakhapatnam,2016-08-16,25.7,80.46,34.38,12.96,1.15,26.2,24.28,83.0,Satisfactory
Visakhapatnam,2016-08-17,28.17,101.92,32.06,11.37,1.03,32.12,28.17,90.0,Satisfactory
Visakhapatnam,2016-08-18,26.93,102.19,31.19,10.95,1.1,39.42,33.16,102.0,Moderate
Visakhapatnam,2016-08-19,33.79,101.42,26.9,12.64,1.11,39.92,47.65,102.0,Moderate
Visakhapatnam,2016-08-20,33.73,102.06,22.76,13.38,1.02,35.43,42.24,102.0,Moderate
Visakhapatnam,2016-08-21,38.2,107.83,21.06,13.87,0.98,31.97,57.54,111.0,Moderate
Visakhapatnam,2016-08-22,47.01,111.73,24.39,13.95,1.17,37.63,49.99,108.0,Moderate
Visakhapatnam,2016-08-23,31.59,97.97,23.78,12.53,0.87,37.4,44.39,102.0,Moderate
Visakhapatnam,2016-08-24,30.39,89.86,29.1,12.71,0.86,38.41,42.86,93.0,Satisfactory
Visakhapatnam,2016-08-25,30.35,77.62,28.26,10.98,0.79,28.78,44.58,87.0,Satisfactory
Visakhapatnam,2016-08-26,32.44,72.64,27.26,12.54,0.64,30.59,41.06,87.0,Satisfactory
Visakhapatnam,2016-08-27,17.78,63.29,18.95,10.75,0.39,28.17,35.82,66.0,Satisfactory
Visakhapatnam,2016-08-28,9.53,32.93,11.25,10.66,0.43,11.18,43.5,63.0,Satisfactory
Visakhapatnam,2016-08-29,8.91,34.51,10.85,9.96,0.41,11.8,41.29,53.0,Satisfactory
Visakhapatnam,2016-08-30,10.56,35.2,12.65,9.48,0.47,12.63,38.43,60.0,Satisfactory
Visakhapatnam,2016-08-31,26.85,54.03,22.46,9.75,0.6,27.67,48.49,77.0,Satisfactory
Visakhapatnam,2016-09-01,29.45,66.39,28.34,8.69,0.8,37.97,41.44,77.0,Satisfactory
Visakhapatnam,2016-09-02,26.88,74.2,22.46,8.49,0.64,36.41,39.52,71.0,Satisfactory
Visakhapatnam,2016-09-03,26.75,57.16,29.98,7.5,0.79,27.0,19.97,68.0,Satisfactory
Visakhapatnam,2016-09-04,37.11,57.14,23.37,8.45,0.46,21.12,17.67,67.0,Satisfactory
Visakhapatnam,2016-09-05,43.77,101.71,23.82,8.17,0.66,25.75,45.94,101.0,Moderate
Visakhapatnam,2016-09-06,42.4,91.61,32.18,8.91,0.79,28.26,58.59,102.0,Moderate
Visakhapatnam,2016-09-07,42.73,94.73,30.6,10.34,0.66,24.68,46.0,101.0,Moderate
Visakhapatnam,2016-09-08,42.7,101.98,32.4,11.0,0.7,31.11,40.2,98.0,Satisfactory
Visakhapatnam,2016-09-09,46.08,91.88,27.44,12.77,0.69,34.53,40.09,96.0,Satisfactory
Visakhapatnam,2016-09-10,63.33,98.79,39.99,13.62,1.06,30.31,27.79,98.0,Satisfactory
Visakhapatnam,2016-09-11,52.77,88.89,33.93,10.4,0.87,30.83,70.49,160.0,Moderate
Visakhapatnam,2016-09-12,41.43,79.75,29.73,18.81,0.71,31.09,72.47,188.0,Moderate
Visakhapatnam,2016-09-13,22.89,54.42,25.98,17.05,0.59,18.84,27.81,73.0,Satisfactory
Visakhapatnam,2016-09-14,28.28,55.62,25.46,11.15,0.73,15.97,32.27,64.0,Satisfactory
Visakhapatnam,2016-09-15,13.46,27.95,12.09,10.1,0.51,12.08,42.39,71.0,Satisfactory
Visakhapatnam,2016-09-16,24.93,47.83,19.28,9.54,0.58,20.6,37.3,65.0,Satisfactory
Visakhapatnam,2016-09-17,33.68,71.78,28.37,10.65,0.78,35.63,25.04,65.0,Satisfactory
Visakhapatnam,2016-09-18,39.38,79.07,25.96,9.04,0.66,41.44,31.44,86.0,Satisfactory
Visakhapatnam,2016-09-19,36.02,92.91,34.87,7.14,0.58,25.49,57.61,151.0,Moderate
Visakhapatnam,2016-09-20,23.1,46.12,11.92,10.99,0.6,10.69,32.1,46.0,Good
Visakhapatnam,2016-09-21,13.75,29.45,14.1,12.09,0.4,10.11,26.54,49.0,Good
Visakhapatnam,2016-09-22,12.67,27.2,8.45,15.01,0.42,15.35,38.02,55.0,Satisfactory
Visakhapatnam,2016-09-23,19.93,33.15,18.05,11.57,0.94,15.79,35.97,90.0,Satisfactory
Visakhapatnam,2016-09-24,27.57,55.19,29.57,9.9,1.27,19.36,22.13,78.0,Satisfactory
Visakhapatnam,2016-09-25,23.78,51.23,21.16,9.16,1.02,15.03,30.47,85.0,Satisfactory
Visakhapatnam,2016-09-26,36.71,64.6,39.43,8.64,1.3,19.0,25.59,89.0,Satisfactory
Visakhapatnam,2016-09-27,62.52,103.15,70.43,9.34,1.91,20.52,16.48,108.0,Moderate
Visakhapatnam,2016-09-28,72.4,118.07,46.51,9.35,1.44,11.11,21.68,130.0,Moderate
Visakhapatnam,2016-09-29,60.73,92.72,39.43,12.31,1.28,18.29,25.04,113.0,Moderate
Visakhapatnam,2016-09-30,54.76,96.82,51.48,14.59,1.3,22.54,17.98,104.0,Moderate
Visakhapatnam,2016-10-01,40.24,72.92,35.6,12.82,1.01,16.68,25.81,94.0,Satisfactory
Visakhapatnam,2016-10-02,71.57,99.21,44.87,10.45,1.18,16.61,53.92,132.0,Moderate
Visakhapatnam,2016-10-03,42.06,113.21,34.26,12.73,0.82,29.0,42.97,133.0,Moderate
Visakhapatnam,2016-10-04,44.1,93.36,41.13,14.02,1.03,24.17,25.85,104.0,Moderate
Visakhapatnam,2016-10-05,53.43,101.42,40.98,15.85,1.03,25.07,20.23,100.0,Satisfactory
Visakhapatnam,2016-10-06,51.42,94.82,44.03,16.59,0.97,17.9,31.39,105.0,Moderate
Visakhapatnam,2016-10-07,37.61,79.35,41.06,16.35,0.76,13.62,19.19,85.0,Satisfactory
Visakhapatnam,2016-10-08,50.36,102.59,53.46,14.86,1.23,20.11,11.78,95.0,Satisfactory
Visakhapatnam,2016-10-09,43.12,87.66,34.46,14.2,0.82,19.9,16.01,97.0,Satisfactory
Visakhapatnam,2016-10-10,45.73,92.35,38.55,14.28,1.06,22.14,26.02,90.0,Satisfactory
Visakhapatnam,2016-10-11,43.88,83.88,31.25,15.63,1.15,11.31,28.35,108.0,Moderate
Visakhapatnam,2016-10-13,51.4,107.77,26.03,10.81,0.84,13.92,57.18,105.0,Moderate
Visakhapatnam,2016-10-14,89.96,94.0,71.16,12.63,1.34,17.6,14.47,110.0,Moderate
Visakhapatnam,2016-10-17,61.38,115.67,25.08,16.18,0.89,13.44,59.75,110.0,Moderate
Visakhapatnam,2016-10-18,65.83,112.08,37.2,16.54,1.1,14.24,47.41,123.0,Moderate
Visakhapatnam,2016-10-19,66.14,105.53,33.13,16.96,1.04,12.48,42.08,121.0,Moderate
Visakhapatnam,2016-10-20,64.67,112.79,37.63,14.86,1.13,15.17,43.97,116.0,Moderate
Visakhapatnam,2016-10-21,64.92,101.08,43.29,14.18,1.23,13.5,33.92,118.0,Moderate
Visakhapatnam,2016-10-22,66.93,100.71,51.78,15.93,1.34,18.09,28.29,122.0,Moderate
Visakhapatnam,2016-10-23,62.97,103.08,46.25,9.58,1.19,26.49,30.0,109.0,Moderate
Visakhapatnam,2016-10-24,63.12,103.67,60.72,14.34,1.5,33.28,38.47,126.0,Moderate
Visakhapatnam,2016-10-25,60.85,108.64,50.81,18.51,1.29,22.65,39.3,142.0,Moderate
Visakhapatnam,2016-10-26,63.31,96.76,48.9,19.04,1.21,15.88,44.27,110.0,Moderate
Visakhapatnam,2016-10-27,47.62,101.06,17.43,17.51,0.8,12.67,53.25,104.0,Moderate
Visakhapatnam,2016-10-28,44.65,76.94,22.73,18.43,1.01,6.99,53.31,147.0,Moderate
Visakhapatnam,2016-10-29,44.44,81.9,18.04,14.71,0.86,7.73,26.08,91.0,Satisfactory
Visakhapatnam,2016-10-30,44.81,74.15,15.52,12.08,0.79,14.42,44.42,76.0,Satisfactory
Visakhapatnam,2016-10-31,58.43,96.69,19.39,11.75,0.97,10.38,52.16,89.0,Satisfactory
Visakhapatnam,2016-11-01,64.91,93.18,29.3,10.9,1.06,11.89,38.43,117.0,Moderate
Visakhapatnam,2016-11-02,37.5,65.46,13.81,10.7,0.77,7.61,34.08,82.0,Satisfactory
Visakhapatnam,2016-11-03,29.34,53.15,13.97,10.38,0.77,9.45,36.52,67.0,Satisfactory
Visakhapatnam,2016-11-04,12.94,30.1,13.97,8.39,0.67,5.62,24.79,55.0,Satisfactory
Visakhapatnam,2016-11-05,18.14,36.89,16.19,7.69,0.71,8.4,31.53,56.0,Satisfactory
Visakhapatnam,2016-11-06,48.11,92.4,32.12,8.72,1.05,14.04,38.94,83.0,Satisfactory
Visakhapatnam,2016-11-07,71.88,112.68,35.49,9.21,1.21,12.59,40.8,113.0,Moderate
Visakhapatnam,2016-11-08,67.16,105.6,46.62,10.33,1.46,18.95,34.74,133.0,Moderate
Visakhapatnam,2016-11-09,63.98,104.47,58.66,12.69,1.61,26.27,39.16,114.0,Moderate
Visakhapatnam,2016-11-10,60.85,101.39,32.27,15.22,1.81,32.42,29.42,112.0,Moderate
Visakhapatnam,2016-11-11,68.5,94.0,49.08,15.74,1.64,19.71,56.0,114.0,Moderate
Visakhapatnam,2016-11-12,56.0,94.0,43.0,16.97,1.62,19.54,67.32,132.0,Moderate
Visakhapatnam,2016-11-13,78.65,120.82,16.77,15.63,1.2,8.27,80.0,129.0,Moderate
Visakhapatnam,2016-11-14,77.51,115.91,16.63,14.09,1.15,9.79,75.77,163.0,Moderate
Visakhapatnam,2016-11-15,68.7,106.53,16.54,12.74,1.13,8.59,70.65,150.0,Moderate
Visakhapatnam,2016-11-16,72.89,108.85,15.26,12.01,1.18,10.66,92.13,127.0,Moderate
Visakhapatnam,2016-11-17,76.4,120.03,18.94,11.23,1.14,12.94,97.23,151.0,Moderate
Visakhapatnam,2016-11-18,71.11,122.95,18.8,10.81,1.11,12.68,91.7,148.0,Moderate
Visakhapatnam,2016-11-19,64.44,113.83,38.44,10.06,1.45,17.52,56.33,120.0,Moderate
Visakhapatnam,2016-11-20,66.78,107.4,42.55,10.25,1.53,16.82,56.55,119.0,Moderate
Visakhapatnam,2016-11-21,66.07,110.91,45.92,12.38,1.59,18.76,48.74,125.0,Moderate
Visakhapatnam,2016-11-22,63.54,100.06,50.9,13.21,1.74,22.0,41.06,116.0,Moderate
Visakhapatnam,2016-11-23,60.96,109.68,57.21,17.92,1.71,22.92,42.1,112.0,Moderate
Visakhapatnam,2016-11-24,61.68,102.75,51.17,19.94,1.6,25.38,40.32,108.0,Moderate
Visakhapatnam,2016-11-25,61.23,102.48,55.92,21.23,1.64,25.54,38.35,109.0,Moderate
Visakhapatnam,2016-11-26,63.17,96.29,65.55,23.54,1.68,40.55,43.78,110.0,Moderate
Visakhapatnam,2016-11-27,61.53,102.83,49.77,21.14,1.58,20.38,53.4,116.0,Moderate
Visakhapatnam,2016-11-28,68.77,105.94,42.25,20.06,1.55,23.3,61.76,125.0,Moderate
Visakhapatnam,2016-11-29,63.62,103.65,49.0,17.8,1.64,24.5,57.9,121.0,Moderate
Visakhapatnam,2016-11-30,66.66,99.53,54.43,17.33,1.53,21.3,63.94,126.0,Moderate
Visakhapatnam,2016-12-01,66.92,108.85,16.29,14.95,1.0,11.07,85.63,144.0,Moderate
Visakhapatnam,2016-12-02,41.55,80.48,19.88,12.69,0.99,6.67,58.45,93.0,Satisfactory
Visakhapatnam,2016-12-03,32.6,67.24,17.54,12.21,0.94,8.0,55.43,82.0,Satisfactory
Visakhapatnam,2016-12-04,52.58,93.04,14.98,13.43,0.98,6.34,88.45,106.0,Moderate
Visakhapatnam,2016-12-05,74.8,113.48,19.03,12.76,1.06,8.32,86.68,131.0,Moderate
Visakhapatnam,2016-12-06,43.18,77.91,18.28,11.01,1.0,10.04,76.9,113.0,Moderate
Visakhapatnam,2016-12-07,50.53,64.11,22.96,11.29,1.04,27.9,68.2,91.0,Satisfactory
Visakhapatnam,2016-12-08,64.4,80.16,44.28,13.02,1.49,34.58,56.16,105.0,Moderate
Visakhapatnam,2016-12-09,65.44,102.77,37.35,14.36,1.41,37.75,68.11,123.0,Moderate
Visakhapatnam,2016-12-10,57.84,116.72,22.09,12.89,1.19,35.72,91.9,120.0,Moderate
Visakhapatnam,2016-12-11,46.03,95.57,13.28,11.64,1.02,33.88,84.98,113.0,Moderate
Visakhapatnam,2016-12-12,40.99,71.42,13.03,10.59,0.96,34.07,87.04,105.0,Moderate
Visakhapatnam,2016-12-13,48.07,84.67,13.73,10.72,0.96,32.54,93.76,117.0,Moderate
Visakhapatnam,2016-12-14,62.66,102.67,15.08,12.02,1.15,31.35,90.96,107.0,Moderate
Visakhapatnam,2016-12-15,71.8,117.17,19.09,11.53,1.18,31.52,83.67,139.0,Moderate
Visakhapatnam,2016-12-16,52.28,113.57,29.97,9.93,1.14,32.89,61.72,119.0,Moderate
Visakhapatnam,2016-12-17,69.5,104.08,49.38,11.01,1.49,31.48,52.04,119.0,Moderate
Visakhapatnam,2016-12-18,59.38,107.2,59.39,12.79,1.48,18.63,56.03,120.0,Moderate
Visakhapatnam,2016-12-19,64.2,104.71,56.34,14.22,1.55,18.98,56.84,119.0,Moderate
Visakhapatnam,2016-12-20,61.85,100.85,56.04,14.55,1.53,19.86,58.88,122.0,Moderate
Visakhapatnam,2016-12-21,63.14,99.22,65.42,17.05,1.82,23.87,54.52,133.0,Moderate
Visakhapatnam,2016-12-22,67.26,102.33,64.63,17.05,1.84,21.77,51.71,120.0,Moderate
Visakhapatnam,2016-12-23,65.86,96.71,52.61,16.19,1.67,20.15,50.28,124.0,Moderate
Visakhapatnam,2016-12-24,79.29,123.67,37.06,14.96,1.48,18.57,83.35,122.0,Moderate
Visakhapatnam,2016-12-25,63.52,101.09,68.48,16.48,1.63,14.27,46.2,126.0,Moderate
Visakhapatnam,2016-12-26,78.21,127.14,24.78,15.44,1.38,12.02,84.24,161.0,Moderate
Visakhapatnam,2016-12-27,66.59,108.45,53.86,15.33,1.55,12.91,55.78,133.0,Moderate
Visakhapatnam,2016-12-28,56.0,94.0,24.23,18.3,1.52,11.0,92.97,127.0,Moderate
Visakhapatnam,2016-12-29,56.0,94.0,44.24,17.17,1.69,8.02,65.25,116.0,Moderate
Visakhapatnam,2016-12-30,56.0,94.0,49.12,15.55,1.67,5.13,65.98,116.0,Moderate
