City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_lag1,PM10_lag1,NOx_lag1,NH3_lag1,CO_lag1,SO2_lag1,O3_lag1,AQI_lag1
Delhi,01-01-2015,313.22,607.98,110.59,33.85,15.2,9.25,41.68,472,Severe,313.22,607.98,110.59,33.85,15.2,9.25,41.68,472
Delhi,02-01-2015,186.18,269.55,88.14,31.83,9.54,6.65,29.97,454,Severe,313.22,607.98,110.59,33.85,15.2,9.25,41.68,472
Delhi,03-01-2015,87.18,131.9,47.95,69.55,10.61,2.65,19.71,143,Moderate,186.18,269.55,88.14,31.83,9.54,6.65,29.97,454
Delhi,04-01-2015,151.84,241.84,48.62,130.36,11.54,4.63,25.36,319,Very Poor,87.18,131.9,47.95,69.55,10.61,2.65,19.71,143
Delhi,05-01-2015,146.6,219.13,38.25,122.88,9.2,3.33,23.2,325,Very Poor,151.84,241.84,48.62,130.36,11.54,4.63,25.36,319
Delhi,06-01-2015,149.58,252.1,42.46,134.97,9.44,3.66,26.83,318,Very Poor,146.6,219.13,38.25,122.88,9.2,3.33,23.2,325
Delhi,07-01-2015,217.87,376.51,52.41,134.82,9.78,5.82,28.96,353,Very Poor,149.58,252.1,42.46,134.97,9.44,3.66,26.83,318
Delhi,08-01-2015,229.9,360.95,51.21,138.13,11.01,3.31,30.51,383,Very Poor,217.87,376.51,52.41,134.82,9.78,5.82,28.96,353
Delhi,09-01-2015,201.66,397.43,45.6,140.6,11.09,3.48,32.94,375,Very Poor,229.9,360.95,51.21,138.13,11.01,3.31,30.51,383
Delhi,10-01-2015,221.02,361.74,55.19,134.06,9.7,5.91,34.12,376,Very Poor,201.66,397.43,45.6,140.6,11.09,3.48,32.94,375
Delhi,11-01-2015,205.41,393.2,57.88,131.1,10.98,5.54,50.37,379,Very Poor,221.02,361.74,55.19,134.06,9.7,5.91,34.12,376
Delhi,12-01-2015,212.41,345.63,54.66,148.51,9.3,5.17,40.08,375,Very Poor,205.41,393.2,57.88,131.1,10.98,5.54,50.37,379
Delhi,13-01-2015,197.61,301.04,62.95,145.48,11.52,5.95,39.54,366,Very Poor,212.41,345.63,54.66,148.51,9.3,5.17,40.08,375
Delhi,14-01-2015,164.39,227.38,48.09,166.7,10.32,4.85,42.05,353,Very Poor,197.61,301.04,62.95,145.48,11.52,5.95,39.54,366
Delhi,15-01-2015,166.19,283.93,79.73,124.64,10.81,6.94,43.25,340,Very Poor,164.39,227.38,48.09,166.7,10.32,4.85,42.05,353
Delhi,16-01-2015,174.98,309.99,70.6,136.4,11.46,4.69,34.7,356,Very Poor,166.19,283.93,79.73,124.64,10.81,6.94,43.25,340
Delhi,17-01-2015,196.46,356.2,80.18,125.49,8.87,5.13,25.77,360,Very Poor,174.98,309.99,70.6,136.4,11.46,4.69,34.7,356
Delhi,18-01-2015,201.51,359.75,75.83,120.45,8.99,5.43,23.22,370,Very Poor,196.46,356.2,80.18,125.49,8.87,5.13,25.77,360
