City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_lag1,PM10_lag1,NOx_lag1,NH3_lag1,CO_lag1,SO2_lag1,O3_lag1,AQI_lag1
Guwahati,17-02-2019,50.82,118.01,16.56,29.24,0.48,14.03,17.67,92,Satisfactory,50.82,118.01,16.56,29.24,0.48,14.03,17.67,92
Guwahati,18-02-2019,58.31,85.39,17.63,23.6,0.47,14.47,33.85,122,Moderate,50.82,118.01,16.56,29.24,0.48,14.03,17.67,92
Guwahati,19-02-2019,59.88,78.04,15.51,19.03,0.51,16.42,41.23,80,Satisfactory,58.31,85.39,17.63,23.6,0.47,14.47,33.85,122
Guwahati,20-02-2019,55.61,92.36,17.3,16.68,0.49,27.07,44.89,105,Moderate,59.88,78.04,15.51,19.03,0.51,16.42,41.23,80
Guwahati,21-02-2019,83.66,134.1,40.44,17.55,1.09,25.9,43.69,105,Moderate,55.61,92.36,17.3,16.68,0.49,27.07,44.89,105
Guwahati,22-02-2019,141.8,243.91,119.49,23.72,1.52,23.99,32.2,293,Poor,83.66,134.1,40.44,17.55,1.09,25.9,43.69,105
Guwahati,23-02-2019,133.26,219.95,101.61,23.86,1.13,25.62,36.21,321,Very Poor,141.8,243.91,119.49,23.72,1.52,23.99,32.2,293
Guwahati,24-02-2019,69.9,114.89,31.77,23.12,0.54,18.96,21.58,206,Poor,133.26,219.95,101.61,23.86,1.13,25.62,36.21,321
Guwahati,25-02-2019,129.88,234.82,76.53,24.91,1.8,19.02,20.15,308,Very Poor,69.9,114.89,31.77,23.12,0.54,18.96,21.58,206
Guwahati,26-02-2019,94.29,173.04,97.08,28.03,1.11,16.71,16.98,285,Poor,129.88,234.82,76.53,24.91,1.8,19.02,20.15,308
Guwahati,27-02-2019,60.89,98.85,33.42,27.84,0.64,17.6,30.81,152,Moderate,94.29,173.04,97.08,28.03,1.11,16.71,16.98,285
Guwahati,28-02-2019,62,76.05,22.6,25.34,0.67,15.72,19.09,93,Satisfactory,60.89,98.85,33.42,27.84,0.64,17.6,30.81,152
