City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Guwahati,2019-02-17,50.82,118.01,16.56,29.24,0.48,14.03,17.67,92.0,Satisfactory
Guwahati,2019-02-18,58.31,85.39,17.63,23.6,0.47,14.47,33.85,122.0,Moderate
Guwahati,2019-02-19,59.88,78.04,15.51,19.03,0.51,16.42,41.23,80.0,Satisfactory
Guwahati,2019-02-20,55.61,92.36,17.3,16.68,0.49,27.07,44.89,105.0,Moderate
Guwahati,2019-02-21,83.66,134.1,40.44,17.55,1.09,25.9,43.69,105.0,Moderate
Guwahati,2019-02-22,141.8,243.91,119.49,23.72,1.52,23.99,32.2,293.0,Poor
Guwahati,2019-02-23,133.26,219.95,101.61,23.86,1.13,25.62,36.21,321.0,Very Poor
Guwahati,2019-02-24,69.9,114.89,31.77,23.12,0.54,18.96,21.58,206.0,Poor
Guwahati,2019-02-25,129.88,234.82,76.53,24.91,1.8,19.02,20.15,308.0,Very Poor
Guwahati,2019-02-26,94.29,173.04,97.08,28.03,1.11,16.71,16.98,285.0,Poor
Guwahati,2019-02-27,60.89,98.85,33.42,27.84,0.64,17.6,30.81,152.0,Moderate
Guwahati,2019-02-28,62.0,76.05,22.6,25.34,0.67,15.72,19.09,93.0,Satisfactory
Guwahati,2019-03-01,69.01,104.75,42.29,22.89,0.85,16.11,18.39,113.0,Moderate
Guwahati,2019-03-02,89.55,152.36,83.29,18.52,1.06,22.36,36.19,183.0,Moderate
Guwahati,2019-03-03,106.89,199.74,102.36,18.98,1.26,21.78,29.67,226.0,Poor
Guwahati,2019-03-04,97.6,185.68,86.63,21.65,0.92,16.91,30.05,277.0,Poor
Guwahati,2019-03-05,68.21,119.93,15.53,18.33,0.62,20.25,47.8,126.0,Moderate
Guwahati,2019-03-06,63.29,90.92,17.98,21.26,0.54,19.66,43.86,148.0,Moderate
Guwahati,2019-03-07,74.81,112.75,44.42,23.67,0.85,16.5,25.03,102.0,Moderate
Guwahati,2019-03-08,104.14,177.76,95.72,24.09,1.19,19.3,24.21,236.0,Poor
Guwahati,2019-03-09,116.75,206.29,105.15,23.52,1.19,18.87,18.93,265.0,Poor
Guwahati,2019-03-10,124.9,237.1,74.24,21.46,1.09,24.61,46.36,303.0,Very Poor
Guwahati,2019-03-11,124.94,213.84,74.55,23.91,1.31,23.78,37.83,267.0,Poor
Guwahati,2019-03-12,123.34,206.87,88.79,25.52,0.99,23.95,48.98,316.0,Very Poor
Guwahati,2019-03-13,100.41,187.83,47.03,19.71,1.03,21.27,47.36,212.0,Poor
Guwahati,2019-03-14,138.45,258.63,100.02,22.77,1.29,23.2,41.21,303.0,Very Poor
Guwahati,2019-03-15,138.03,280.4,88.13,27.43,1.23,20.42,31.23,321.0,Very Poor
Guwahati,2019-03-16,131.69,322.56,69.62,26.43,1.03,17.5,17.1,312.0,Very Poor
Guwahati,2019-03-17,105.33,191.58,48.6,24.28,1.12,21.56,34.22,231.0,Poor
Guwahati,2019-03-18,153.22,269.54,104.49,25.47,1.61,27.63,28.29,308.0,Very Poor
Guwahati,2019-03-19,91.58,145.24,44.67,25.42,0.9,21.79,46.73,303.0,Very Poor
Guwahati,2019-03-20,66.5,100.2,30.58,21.3,0.82,20.72,42.59,118.0,Moderate
Guwahati,2019-03-21,73.33,200.77,23.67,17.6,0.59,22.51,59.44,148.0,Moderate
Guwahati,2019-03-22,53.17,244.18,13.07,14.5,0.4,24.26,65.28,198.0,Moderate
Guwahati,2019-03-23,67.46,139.67,19.48,14.17,0.72,24.23,43.92,150.0,Moderate
Guwahati,2019-03-24,70.83,143.99,30.63,14.97,0.86,26.9,49.96,123.0,Moderate
Guwahati,2019-03-25,118.05,236.55,92.58,18.56,1.21,25.51,47.1,268.0,Poor
Guwahati,2019-03-26,119.32,225.03,82.09,23.34,1.12,24.25,34.24,306.0,Very Poor
Guwahati,2019-03-27,62.29,87.81,17.76,22.19,0.67,17.84,30.71,156.0,Moderate
Guwahati,2019-03-28,79.69,138.38,45.75,22.37,0.93,21.41,41.97,109.0,Moderate
Guwahati,2019-03-29,114.47,203.18,104.59,25.66,1.26,23.39,34.37,258.0,Poor
Guwahati,2019-03-30,140.62,225.28,63.81,25.77,1.26,34.54,26.71,300.0,Poor
Guwahati,2019-03-31,48.63,64.89,18.25,23.15,0.5,19.19,45.26,236.0,Poor
Guwahati,2019-04-01,35.72,50.06,22.08,17.19,0.76,18.67,43.8,74.0,Satisfactory
Guwahati,2019-04-02,58.96,91.04,37.05,18.8,0.76,22.37,36.43,109.0,Moderate
Guwahati,2019-04-03,23.13,153.45,18.32,14.1,0.43,26.11,63.06,99.0,Satisfactory
Guwahati,2019-04-04,29.99,62.01,16.7,13.07,0.37,32.4,55.27,120.0,Moderate
