City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_lag1,PM10_lag1,NOx_lag1,NH3_lag1,CO_lag1,SO2_lag1,O3_lag1,AQI_lag1
Hyderabad,31-03-2015,47.03,,26.65,,0.81,13.2,25.13,120,Moderate,47.03,,26.65,,0.81,13.2,25.13,120
Hyderabad,01-04-2015,40.62,,21.59,,0.81,7.89,34.19,112,Moderate,47.03,,26.65,,0.81,13.2,25.13,120
Hyderabad,05-04-2015,50.87,,35.91,,0.99,13.35,38.52,85,Satisfactory,40.62,,21.59,,0.81,7.89,34.19,112
Hyderabad,06-04-2015,83,,22.63,,0.89,8.89,33.67,141,Moderate,50.87,,35.91,,0.99,13.35,38.52,85
Hyderabad,07-04-2015,112.21,,31.52,,1.05,11.21,30.68,197,Moderate,83,,22.63,,0.89,8.89,33.67,141
Hyderabad,08-04-2015,38.67,,17.66,,0.73,7.58,23.53,177,Moderate,112.21,,31.52,,1.05,11.21,30.68,197
Hyderabad,09-04-2015,33.88,,31.61,,0.8,8.28,21.58,104,Moderate,38.67,,17.66,,0.73,7.58,23.53,177
Hyderabad,10-04-2015,30.88,,34.32,,0.76,8.46,22.8,106,Moderate,33.88,,31.61,,0.8,8.28,21.58,104
Hyderabad,11-04-2015,42.88,,32.06,,0.87,8.13,32.93,105,Moderate,30.88,,34.32,,0.76,8.46,22.8,106
Hyderabad,12-04-2015,26.38,,13.55,,1.41,2.93,32.86,128,Moderate,42.88,,32.06,,0.87,8.13,32.93,105
Hyderabad,13-04-2015,56.39,,27.53,,1.13,13.04,40.11,133,Moderate,26.38,,13.55,,1.41,2.93,32.86,128
Hyderabad,14-04-2015,158.32,,29.34,,0.95,8.23,40.52,312,Very Poor,56.39,,27.53,,1.13,13.04,40.11,133
Hyderabad,15-04-2015,44.79,,23.62,,0.8,7.6,30.83,179,Moderate,158.32,,29.34,,0.95,8.23,40.52,312
Hyderabad,16-04-2015,30.21,,20.24,,0.76,8.08,33.59,112,Moderate,44.79,,23.62,,0.8,7.6,30.83,179
Hyderabad,17-04-2015,39.04,,26.86,,0.84,9.56,39.94,106,Moderate,30.21,,20.24,,0.76,8.08,33.59,112
Hyderabad,18-04-2015,76,,67.91,,1.3,11.04,35.28,147,Moderate,39.04,,26.86,,0.84,9.56,39.94,106
Hyderabad,19-04-2015,54.25,,31.05,,1,8.83,41.52,139,Moderate,76,,67.91,,1.3,11.04,35.28,147
Hyderabad,20-04-2015,41.38,,24.21,,0.86,8.48,32.44,118,Moderate,54.25,,31.05,,1,8.83,41.52,139
Hyderabad,21-04-2015,75.08,,27.87,,0.81,9.56,29.91,123,Moderate,41.38,,24.21,,0.86,8.48,32.44,118
Hyderabad,22-04-2015,39.71,,36.38,,1.02,8.24,23.51,157,Moderate,75.08,,27.87,,0.81,9.56,29.91,123
Hyderabad,23-04-2015,87.54,,28.48,,1.14,5.43,37.94,149,Moderate,39.71,,36.38,,1.02,8.24,23.51,157
Hyderabad,24-04-2015,39.38,,21.07,,0.76,9.61,42.52,165,Moderate,87.54,,28.48,,1.14,5.43,37.94,149
Hyderabad,25-04-2015,35.61,,35.3,,0.81,3.43,51.44,119,Moderate,39.38,,21.07,,0.76,9.61,42.52,165
Hyderabad,27-04-2015,40.78,,32.78,,0.89,15.72,39.31,86,Satisfactory,35.61,,35.3,,0.81,3.43,51.44,119
Hyderabad,28-04-2015,46.62,,25.34,,0.83,9.63,39.74,124,Moderate,40.78,,32.78,,0.89,15.72,39.31,86
