City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_lag1,PM10_lag1,NOx_lag1,NH3_lag1,CO_lag1,SO2_lag1,O3_lag1,AQI_lag1
Kolkata,2018-04-10,34.38,57.0,,2.52,1.0,25.46,,57.0,Satisfactory,,,,,,,,
Kolkata,2018-04-11,29.0,50.87,45.29,3.59,0.98,10.32,30.99,73.0,Satisfactory,34.38,57.0,,2.52,1.0,25.46,,57.0
Kolkata,2018-04-12,21.7,43.04,42.54,3.77,0.73,,43.72,60.0,Satisfactory,29.0,50.87,45.29,3.59,0.98,10.32,30.99,73.0
Kolkata,2018-04-13,23.09,46.49,36.72,3.88,0.98,,41.65,74.0,Satisfactory,21.7,43.04,42.54,3.77,0.73,,43.72,60.0
Kolkata,2018-04-14,21.56,42.1,29.43,4.22,1.0,,44.07,83.0,Satisfactory,23.09,46.49,36.72,3.88,0.98,,41.65,74.0
Kolkata,2018-04-15,30.28,54.89,45.52,2.87,0.81,,63.88,95.0,Satisfactory,21.56,42.1,29.43,4.22,1.0,,44.07,83.0
Kolkata,2018-04-16,26.72,51.27,31.56,3.7,1.11,,49.57,88.0,Satisfactory,30.28,54.89,45.52,2.87,0.81,,63.88,95.0
Kolkata,2018-04-17,24.37,40.66,39.05,2.12,1.15,,36.86,69.0,Satisfactory,26.72,51.27,31.56,3.7,1.11,,49.57,88.0
Kolkata,2018-05-19,8.61,27.5,51.04,14.51,0.0,7.86,,64.0,Satisfactory,24.37,40.66,39.05,2.12,1.15,,36.86,69.0
Kolkata,2018-06-04,4.99,12.03,37.34,7.2,0.0,40.43,21.69,51.0,Satisfactory,8.61,27.5,51.04,14.51,0.0,7.86,,64.0
Kolkata,2018-06-07,3.56,7.12,52.07,20.31,0.0,81.59,47.39,101.0,Moderate,4.99,12.03,37.34,7.2,0.0,40.43,21.69,51.0
Kolkata,2018-06-15,51.23,133.18,34.66,10.5,0.0,,,122.0,Moderate,3.56,7.12,52.07,20.31,0.0,81.59,47.39,101.0
Kolkata,2018-06-16,47.55,128.66,24.51,7.4,0.72,7.3,27.24,119.0,Moderate,51.23,133.18,34.66,10.5,0.0,,,122.0
Kolkata,2018-06-17,45.04,107.03,47.18,4.9,1.63,1.34,,113.0,Moderate,47.55,128.66,24.51,7.4,0.72,7.3,27.24,119.0
Kolkata,2018-06-18,50.1,105.68,36.5,8.55,1.47,3.02,72.28,107.0,Moderate,45.04,107.03,47.18,4.9,1.63,1.34,,113.0
Kolkata,2018-06-19,39.25,87.24,33.45,12.06,1.35,1.93,81.12,148.0,Moderate,50.1,105.68,36.5,8.55,1.47,3.02,72.28,107.0
Kolkata,2018-06-20,24.44,53.19,43.79,9.14,1.7,6.88,49.58,94.0,Satisfactory,39.25,87.24,33.45,12.06,1.35,1.93,81.12,148.0
Kolkata,2018-06-21,31.68,60.16,43.04,6.52,1.42,1.31,13.47,100.0,Satisfactory,24.44,53.19,43.79,9.14,1.7,6.88,49.58,94.0
Kolkata,2018-06-22,25.22,48.96,29.07,6.53,0.39,2.31,30.32,60.0,Satisfactory,31.68,60.16,43.04,6.52,1.42,1.31,13.47,100.0
Kolkata,2018-06-23,22.95,44.58,26.85,5.38,0.38,1.06,22.84,47.0,Good,25.22,48.96,29.07,6.53,0.39,2.31,30.32,60.0
Kolkata,2018-06-24,24.61,46.54,26.32,3.96,0.4,1.1,23.13,48.0,Good,22.95,44.58,26.85,5.38,0.38,1.06,22.84,47.0
Kolkata,2018-06-25,28.6,45.36,45.37,3.62,0.41,1.11,13.56,50.0,Good,24.61,46.54,26.32,3.96,0.4,1.1,23.13,48.0
Kolkata,2018-06-26,30.5,46.08,38.33,3.19,0.38,2.29,34.84,61.0,Satisfactory,28.6,45.36,45.37,3.62,0.41,1.11,13.56,50.0
Kolkata,2018-06-27,22.66,33.83,31.65,3.68,0.38,1.22,20.27,53.0,Satisfactory,30.5,46.08,38.33,3.19,0.38,2.29,34.84,61.0
Kolkata,2018-06-28,24.4,26.42,22.79,6.38,0.31,1.06,23.24,34.0,Good,22.66,33.83,31.65,3.68,0.38,1.22,20.27,53.0
Kolkata,2018-06-29,16.11,35.0,24.17,5.29,0.33,4.46,27.59,46.0,Good,24.4,26.42,22.79,6.38,0.31,1.06,23.24,34.0
Kolkata,2018-06-30,28.7,55.13,18.5,4.44,0.32,4.76,31.3,50.0,Good,16.11,35.0,24.17,5.29,0.33,4.46,27.59,46.0
Kolkata,2018-07-01,27.7,57.99,14.73,3.71,0.32,11.14,37.19,58.0,Satisfactory,28.7,55.13,18.5,4.44,0.32,4.76,31.3,50.0
Kolkata,2018-07-02,29.26,55.35,20.51,2.88,0.37,9.13,40.46,62.0,Satisfactory,27.7,57.99,14.73,3.71,0.32,11.14,37.19,58.0
Kolkata,2018-07-03,27.81,50.73,33.96,1.65,0.39,1.63,21.63,50.0,Good,29.26,55.35,20.51,2.88,0.37,9.13,40.46,62.0
Kolkata,2018-07-04,33.61,53.17,38.44,3.36,0.43,2.12,17.4,58.0,Satisfactory,27.81,50.73,33.96,1.65,0.39,1.63,21.63,50.0
Kolkata,2018-07-05,42.66,47.83,48.15,25.45,0.41,6.57,10.01,57.0,Satisfactory,33.61,53.17,38.44,3.36,0.43,2.12,17.4,58.0
Kolkata,2018-07-06,40.26,65.18,55.18,1.52,0.44,1.09,20.83,77.0,Satisfactory,42.66,47.83,48.15,25.45,0.41,6.57,10.01,57.0
Kolkata,2018-07-07,18.54,37.89,39.9,4.06,0.36,1.29,16.83,65.0,Satisfactory,40.26,65.18,55.18,1.52,0.44,1.09,20.83,77.0
Kolkata,2018-07-08,9.84,28.42,20.99,5.91,0.3,1.35,27.19,36.0,Good,18.54,37.89,39.9,4.06,0.36,1.29,16.83,65.0
Kolkata,2018-07-09,15.7,30.91,43.82,3.46,0.36,1.16,16.92,36.0,Good,9.84,28.42,20.99,5.91,0.3,1.35,27.19,36.0
Kolkata,2018-07-10,18.81,38.66,42.01,1.93,0.37,1.23,14.0,56.0,Satisfactory,15.7,30.91,43.82,3.46,0.36,1.16,16.92,36.0
Kolkata,2018-07-11,18.01,36.07,33.98,5.65,0.38,1.11,18.3,49.0,Good,18.81,38.66,42.01,1.93,0.37,1.23,14.0,56.0
Kolkata,2018-07-12,18.38,36.92,32.37,11.69,0.4,1.28,16.2,42.0,Good,18.01,36.07,33.98,5.65,0.38,1.11,18.3,49.0
Kolkata,2018-07-13,13.55,40.49,34.51,10.37,0.38,0.97,13.9,39.0,Good,18.38,36.92,32.37,11.69,0.4,1.28,16.2,42.0
Kolkata,2018-07-14,12.25,30.87,26.11,9.79,0.37,1.01,12.06,41.0,Good,13.55,40.49,34.51,10.37,0.38,0.97,13.9,39.0
Kolkata,2018-07-15,7.72,19.72,18.71,9.52,0.37,1.08,17.87,28.0,Good,12.25,30.87,26.11,9.79,0.37,1.01,12.06,41.0
Kolkata,2018-07-16,7.64,20.65,27.0,8.72,0.37,1.0,16.58,26.0,Good,7.72,19.72,18.71,9.52,0.37,1.08,17.87,28.0
Kolkata,2018-07-17,12.9,28.06,39.08,8.99,0.38,1.24,13.37,42.0,Good,7.64,20.65,27.0,8.72,0.37,1.0,16.58,26.0
Kolkata,2018-07-18,14.91,29.44,34.29,10.72,0.51,1.03,11.05,46.0,Good,12.9,28.06,39.08,8.99,0.38,1.24,13.37,42.0
Kolkata,2018-07-19,16.16,33.09,37.31,6.39,0.76,1.01,17.28,46.0,Good,14.91,29.44,34.29,10.72,0.51,1.03,11.05,46.0
Kolkata,2018-07-20,17.75,37.53,34.09,6.78,0.77,1.51,10.65,56.0,Satisfactory,16.16,33.09,37.31,6.39,0.76,1.01,17.28,46.0
Kolkata,2018-07-21,6.06,16.48,19.28,7.47,0.63,1.34,16.18,36.0,Good,17.75,37.53,34.09,6.78,0.77,1.51,10.65,56.0
Kolkata,2018-07-22,6.68,12.6,20.14,4.9,0.64,1.63,20.36,34.0,Good,6.06,16.48,19.28,7.47,0.63,1.34,16.18,36.0
Kolkata,2018-07-23,22.03,36.75,41.7,3.33,0.7,1.38,15.98,38.0,Good,6.68,12.6,20.14,4.9,0.64,1.63,20.36,34.0
Kolkata,2018-07-24,23.92,47.38,40.73,2.84,0.71,2.74,16.67,56.0,Satisfactory,22.03,36.75,41.7,3.33,0.7,1.38,15.98,38.0
Kolkata,2018-07-25,32.59,62.02,48.06,1.93,0.74,1.8,11.77,59.0,Satisfactory,23.92,47.38,40.73,2.84,0.71,2.74,16.67,56.0
