City,Date,PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_lag1,PM10_lag1,NOx_lag1,NH3_lag1,CO_lag1,SO2_lag1,O3_lag1,AQI_lag1
Visakhapatnam,01-07-2016,44.92,82.5,40.24,62.45,1,38.67,10.45,82,Satisfactory,44.92,82.5,40.24,62.45,1,38.67,10.45,82
Visakhapatnam,05-07-2016,17,68,17.66,15.8,0.66,20.08,30.54,68,Satisfactory,44.92,82.5,40.24,62.45,1,38.67,10.45,82
Visakhapatnam,06-07-2016,30.54,77.06,35,13.88,0.99,9,30.3,77,Satisfactory,17,68,17.66,15.8,0.66,20.08,30.54,68
Visakhapatnam,07-07-2016,35.33,84.31,34.22,12.06,0.84,5.07,25.24,81,Satisfactory,30.54,77.06,35,13.88,0.99,9,30.3,77
Visakhapatnam,08-07-2016,40.64,92.73,47.01,11.91,1.07,6.57,16.24,112,Moderate,35.33,84.31,34.22,12.06,0.84,5.07,25.24,81
Visakhapatnam,09-07-2016,33.25,77.65,39.49,12.77,1,8.79,18.38,81,Satisfactory,40.64,92.73,47.01,11.91,1.07,6.57,16.24,112
Visakhapatnam,10-07-2016,26.64,69.68,26,12.82,0.88,9.97,27.98,81,Satisfactory,33.25,77.65,39.49,12.77,1,8.79,18.38,81
Visakhapatnam,11-07-2016,23.92,70.52,29.35,12.46,0.89,9.72,24.73,79,Satisfactory,26.64,69.68,26,12.82,0.88,9.97,27.98,81
Visakhapatnam,12-07-2016,28.42,84.49,29.47,13.49,1.09,8.99,27.01,79,Satisfactory,23.92,70.52,29.35,12.46,0.89,9.72,24.73,79
Visakhapatnam,13-07-2016,35.71,75.77,33.88,13.12,1.07,9.33,28.83,90,Satisfactory,28.42,84.49,29.47,13.49,1.09,8.99,27.01,79
Visakhapatnam,14-07-2016,37.09,98.23,34.78,13.3,1.09,9.28,33.36,93,Satisfactory,35.71,75.77,33.88,13.12,1.07,9.33,28.83,90
Visakhapatnam,15-07-2016,43.67,103.08,32.98,13.52,1.02,6.74,26.01,112,Moderate,37.09,98.23,34.78,13.3,1.09,9.28,33.36,93
Visakhapatnam,16-07-2016,44.76,111.15,31.05,13.58,1.1,4.76,33.86,104,Moderate,43.67,103.08,32.98,13.52,1.02,6.74,26.01,112
Visakhapatnam,17-07-2016,41.11,94.44,32.94,13.17,1.1,7.73,29.34,102,Moderate,44.76,111.15,31.05,13.58,1.1,4.76,33.86,104
Visakhapatnam,18-07-2016,46.5,96.07,35.16,13.99,1.09,11.05,39.16,95,Satisfactory,41.11,94.44,32.94,13.17,1.1,7.73,29.34,102
Visakhapatnam,19-07-2016,33.54,80.51,56.61,8.69,1.9,11.57,28.7,127,Moderate,46.5,96.07,35.16,13.99,1.09,11.05,39.16,95
Visakhapatnam,20-07-2016,11.98,103.34,35.25,16.1,0.95,19.13,67.74,135,Moderate,33.54,80.51,56.61,8.69,1.9,11.57,28.7,127
Visakhapatnam,21-07-2016,2,57.56,9.35,13.88,0.7,11.33,49.86,58,Satisfactory,11.98,103.34,35.25,16.1,0.95,19.13,67.74,135
Visakhapatnam,22-07-2016,21.8,85.88,39.49,14.99,1.19,23.29,33.72,86,Satisfactory,2,57.56,9.35,13.88,0.7,11.33,49.86,58
Visakhapatnam,23-07-2016,27.32,83.02,23.47,14.76,0.78,18.54,47.74,105,Moderate,21.8,85.88,39.49,14.99,1.19,23.29,33.72,86
Visakhapatnam,24-07-2016,,103.9,44.21,2.5,1.2,32.99,40.39,103,Moderate,27.32,83.02,23.47,14.76,0.78,18.54,47.74,105
Visakhapatnam,25-07-2016,22.75,58.38,26.61,16.37,0.79,25.13,32.89,84,Satisfactory,,103.9,44.21,2.5,1.2,32.99,40.39,103
Visakhapatnam,26-07-2016,23.34,80.58,52.91,13.21,1.34,31.7,42.77,155,Moderate,22.75,58.38,26.61,16.37,0.79,25.13,32.89,84
Visakhapatnam,27-07-2016,24.49,66.8,39.32,15.34,0.94,35.21,28.28,138,Moderate,23.34,80.58,52.91,13.21,1.34,31.7,42.77,155
Visakhapatnam,28-07-2016,21.85,68.36,34.93,12.91,0.98,28.09,18.39,78,Satisfactory,24.49,66.8,39.32,15.34,0.94,35.21,28.28,138
Visakhapatnam,29-07-2016,23.4,81.96,25.91,11.19,1.11,31.45,20.92,79,Satisfactory,21.85,68.36,34.93,12.91,0.98,28.09,18.39,78
Visakhapatnam,30-07-2016,29.12,77.05,21.1,15.58,0.89,26.82,41.79,95,Satisfactory,23.4,81.96,25.91,11.19,1.11,31.45,20.92,79
Visakhapatnam,31-07-2016,22.44,68.42,29.94,10.37,1.15,30.72,37.79,90,Satisfactory,29.12,77.05,21.1,15.58,0.89,26.82,41.79,95
Visakhapatnam,01-08-2016,23.82,62.12,31.25,12.06,1.05,38.43,24.1,105,Moderate,22.44,68.42,29.94,10.37,1.15,30.72,37.79,90
Visakhapatnam,02-08-2016,16.53,44.53,28.07,11.49,0.94,46.26,16.92,67,Satisfactory,23.82,62.12,31.25,12.06,1.05,38.43,24.1,105
Visakhapatnam,03-08-2016,18.76,43.55,32.4,9.98,1.04,29.69,13.1,73,Satisfactory,16.53,44.53,28.07,11.49,0.94,46.26,16.92,67
Visakhapatnam,04-08-2016,23.64,52.09,32.14,11.62,1.1,26.89,13.39,79,Satisfactory,18.76,43.55,32.4,9.98,1.04,29.69,13.1,73
Visakhapatnam,05-08-2016,27.8,82.45,31.16,11.67,1.25,32.89,17.76,89,Satisfactory,23.64,52.09,32.14,11.62,1.1,26.89,13.39,79
Visakhapatnam,06-08-2016,24.73,89.99,27.66,11.63,1.17,32.63,21.29,95,Satisfactory,27.8,82.45,31.16,11.67,1.25,32.89,17.76,89
Visakhapatnam,07-08-2016,25.74,86.21,25.72,7.13,0.96,34.28,25.35,89,Satisfactory,24.73,89.99,27.66,11.63,1.17,32.63,21.29,95
Visakhapatnam,08-08-2016,30.37,92.09,27.86,17.47,1.07,27.96,22.94,94,Satisfactory,25.74,86.21,25.72,7.13,0.96,34.28,25.35,89
Visakhapatnam,09-08-2016,36.85,103.97,30.27,22.93,1.25,44.65,28.44,103,Moderate,30.37,92.09,27.86,17.47,1.07,27.96,22.94,94
Visakhapatnam,10-08-2016,23.77,96.36,30.2,13.62,1.09,37.9,24.9,101,Moderate,36.85,103.97,30.27,22.93,1.25,44.65,28.44,103
Visakhapatnam,11-08-2016,23.39,85.46,16.74,13.05,0.64,35.36,29.24,93,Satisfactory,23.77,96.36,30.2,13.62,1.09,37.9,24.9,101
Visakhapatnam,12-08-2016,39.42,107.82,17.44,15.32,0.62,47.11,28.33,85,Satisfactory,23.39,85.46,16.74,13.05,0.64,35.36,29.24,93
Visakhapatnam,13-08-2016,34.14,106.86,29.63,13.73,1.18,31.44,36.75,106,Moderate,39.42,107.82,17.44,15.32,0.62,47.11,28.33,85
Visakhapatnam,14-08-2016,28.14,93.6,24.89,13.82,1.02,35.15,35.95,101,Moderate,34.14,106.86,29.63,13.73,1.18,31.44,36.75,106
Visakhapatnam,15-08-2016,27.92,78.98,28.18,13.08,1.07,35.46,25.98,89,Satisfactory,28.14,93.6,24.89,13.82,1.02,35.15,35.95,101
Visakhapatnam,16-08-2016,25.7,80.46,34.38,12.96,1.15,26.2,24.28,83,Satisfactory,27.92,78.98,28.18,13.08,1.07,35.46,25.98,89
Visakhapatnam,17-08-2016,28.17,101.92,32.06,11.37,1.03,32.12,28.17,90,Satisfactory,25.7,80.46,34.38,12.96,1.15,26.2,24.28,83
Visakhapatnam,18-08-2016,26.93,102.19,31.19,10.95,1.1,39.42,33.16,102,Moderate,28.17,101.92,32.06,11.37,1.03,32.12,28.17,90
Visakhapatnam,19-08-2016,33.79,101.42,26.9,12.64,1.11,39.92,47.65,102,Moderate,26.93,102.19,31.19,10.95,1.1,39.42,33.16,102
Visakhapatnam,20-08-2016,33.73,102.06,22.76,13.38,1.02,35.43,42.24,102,Moderate,33.79,101.42,26.9,12.64,1.11,39.92,47.65,102
Visakhapatnam,21-08-2016,38.2,107.83,21.06,13.87,0.98,31.97,57.54,111,Moderate,33.73,102.06,22.76,13.38,1.02,35.43,42.24,102
Visakhapatnam,22-08-2016,47.01,111.73,24.39,13.95,1.17,37.63,49.99,108,Moderate,38.2,107.83,21.06,13.87,0.98,31.97,57.54,111
Visakhapatnam,23-08-2016,31.59,97.97,23.78,12.53,0.87,37.4,44.39,102,Moderate,47.01,111.73,24.39,13.95,1.17,37.63,49.99,108
Visakhapatnam,24-08-2016,30.39,89.86,29.1,12.71,0.86,38.41,42.86,93,Satisfactory,31.59,97.97,23.78,12.53,0.87,37.4,44.39,102
Visakhapatnam,25-08-2016,30.35,77.62,28.26,10.98,0.79,28.78,44.58,87,Satisfactory,30.39,89.86,29.1,12.71,0.86,38.41,42.86,93
Visakhapatnam,26-08-2016,32.44,72.64,27.26,12.54,0.64,30.59,41.06,87,Satisfactory,30.35,77.62,28.26,10.98,0.79,28.78,44.58,87
Visakhapatnam,27-08-2016,17.78,63.29,18.95,10.75,0.39,28.17,35.82,66,Satisfactory,32.44,72.64,27.26,12.54,0.64,30.59,41.06,87
Visakhapatnam,28-08-2016,9.53,32.93,11.25,10.66,0.43,11.18,43.5,63,Satisfactory,17.78,63.29,18.95,10.75,0.39,28.17,35.82,66
Visakhapatnam,29-08-2016,8.91,34.51,10.85,9.96,0.41,11.8,41.29,53,Satisfactory,9.53,32.93,11.25,10.66,0.43,11.18,43.5,63
Visakhapatnam,30-08-2016,10.56,35.2,12.65,9.48,0.47,12.63,38.43,60,Satisfactory,8.91,34.51,10.85,9.96,0.41,11.8,41.29,53
Visakhapatnam,31-08-2016,26.85,54.03,22.46,9.75,0.6,27.67,48.49,77,Satisfactory,10.56,35.2,12.65,9.48,0.47,12.63,38.43,60
Visakhapatnam,01-09-2016,29.45,66.39,28.34,8.69,0.8,37.97,41.44,77,Satisfactory,26.85,54.03,22.46,9.75,0.6,27.67,48.49,77
Visakhapatnam,02-09-2016,26.88,74.2,22.46,8.49,0.64,36.41,39.52,71,Satisfactory,29.45,66.39,28.34,8.69,0.8,37.97,41.44,77
Visakhapatnam,03-09-2016,26.75,57.16,29.98,7.5,0.79,27,19.97,68,Satisfactory,26.88,74.2,22.46,8.49,0.64,36.41,39.52,71
Visakhapatnam,04-09-2016,37.11,57.14,23.37,8.45,0.46,21.12,17.67,67,Satisfactory,26.75,57.16,29.98,7.5,0.79,27,19.97,68
Visakhapatnam,05-09-2016,43.77,101.71,23.82,8.17,0.66,25.75,45.94,101,Moderate,37.11,57.14,23.37,8.45,0.46,21.12,17.67,67
Visakhapatnam,06-09-2016,42.4,91.61,32.18,8.91,0.79,28.26,58.59,102,Moderate,43.77,101.71,23.82,8.17,0.66,25.75,45.94,101
Visakhapatnam,07-09-2016,42.73,94.73,30.6,10.34,0.66,24.68,46,101,Moderate,42.4,91.61,32.18,8.91,0.79,28.26,58.59,102
Visakhapatnam,08-09-2016,42.7,101.98,32.4,11,0.7,31.11,40.2,98,Satisfactory,42.73,94.73,30.6,10.34,0.66,24.68,46,101
Visakhapatnam,09-09-2016,46.08,91.88,27.44,12.77,0.69,34.53,40.09,96,Satisfactory,42.7,101.98,32.4,11,0.7,31.11,40.2,98
Visakhapatnam,10-09-2016,63.33,98.79,39.99,13.62,1.06,30.31,27.79,98,Satisfactory,46.08,91.88,27.44,12.77,0.69,34.53,40.09,96
